Policy,Distribution,Avg_Median_Sec,Avg_P90_Sec,Avg_P99_Sec
MRU,Gamma,36.223400100000006,47.1552249,88976.66401990697
FIFO,Gamma,35.02450765,6426.4732676899675,88990.19862851096
LIFO,Gamma,34.47484415,21845.364813649987,89296.80305388896
LFU,Gamma,33.0141689,5897.264030499971,89534.69456409596
LRU,Gamma,35.594653,539.350834119972,92376.03465697197
RR,Gamma,38.488871849999995,48.32637972,92852.55941296599
RR,Normal,40.77274475,72958.99336123999,93456.14953477497
LIFO,Normal,39.4236468,70955.51660600999,93528.59679244096
FIFO,Normal,33.79060255,68447.55972771998,94034.00819183198
LFU,Normal,38.678964099999995,69587.70899423,94206.82897123098
MRU,Normal,40.5666029,71510.09102554,94297.29767096798
LRU,Normal,40.91423515,70810.63473911998,94322.05570517399
RR,Poisson,39.075620099999995,61997.85364079999,91766.61431791197
LFU,Poisson,35.8696276,58375.77344207,91930.77840962599
MRU,Poisson,38.40108275,58945.93960636998,92999.56979699197
FIFO,Poisson,37.88480725,60502.88160002,93560.26464041797
LRU,Poisson,37.603560400000006,57984.44154662998,93829.57869705897
LIFO,Poisson,36.3192542,60959.28497610999,93905.95164774798
FIFO,PowerLaw,36.34635195,74395.71428106,94087.82530850898
LIFO,PowerLaw,31.51291435,69963.70971368998,94307.88433307098
LRU,PowerLaw,38.8039545,70858.01785034,94368.55737628997
MRU,PowerLaw,39.1847041,72083.08503336,94452.694547881
LFU,PowerLaw,34.9194962,68899.84870685,96021.18062158799
RR,PowerLaw,36.26633115,71279.58197341,96058.19332753398
LFU,Uniform,39.845407699999996,75200.94021027,94147.98280212199
MRU,Uniform,33.46009855,72889.88655192,94186.82551372299
LIFO,Uniform,37.99065505,78138.14517475,94452.65530404699
RR,Uniform,42.388090950000006,73772.71969209998,94679.90587724198
FIFO,Uniform,41.0217016,72823.17308805,95323.82980903499
LRU,Uniform,44.19233685,74794.65216830999,95532.40211481998
