VirtualTime_Sec,RequestID,ModelID,OriginNode,EndNode,Operation,Size_GB,Duration_Sec,Description
0.000520,100,c2f663ff-c0c2-4cb0-9200-6ac1159cc3c0,client_1,coordinator_0,NET_TRANSFER,0.000100,0.000520,Request Model ID
0.001040,100,c2f663ff-c0c2-4cb0-9200-6ac1159cc3c0,coordinator_0,client_1,NET_TRANSFER,0.000100,0.000520,Signal: Cache Miss / Request Weights
1.601540,100,c2f663ff-c0c2-4cb0-9200-6ac1159cc3c0,client_1,coordinator_0,NET_TRANSFER,8.000000,1.600500,Upload Model Weights
2.002040,100,c2f663ff-c0c2-4cb0-9200-6ac1159cc3c0,coordinator_0,worker_3,NET_TRANSFER,2.000000,0.400500,Distribute Layer
3.335373,100,c2f663ff-c0c2-4cb0-9200-6ac1159cc3c0,worker_3,worker_3,DISK_LOAD,2.000000,1.333333,Disk -> RAM
3.366623,100,c2f663ff-c0c2-4cb0-9200-6ac1159cc3c0,worker_3,worker_3,MEM_MOVE,2.000000,0.031250,RAM -> VRAM
3.416623,100,c2f663ff-c0c2-4cb0-9200-6ac1159cc3c0,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
3.416623,100,c2f663ff-c0c2-4cb0-9200-6ac1159cc3c0,worker_3,worker_3,MEM_MOVE,0.000000,0.000000,Wipe/Deallocate Layer
3.417143,100,c2f663ff-c0c2-4cb0-9200-6ac1159cc3c0,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.000520,Signal Finished
3.817643,100,c2f663ff-c0c2-4cb0-9200-6ac1159cc3c0,coordinator_0,worker_4,NET_TRANSFER,2.000000,0.400500,Distribute Layer
5.150977,100,c2f663ff-c0c2-4cb0-9200-6ac1159cc3c0,worker_4,worker_4,DISK_LOAD,2.000000,1.333333,Disk -> RAM
5.182227,100,c2f663ff-c0c2-4cb0-9200-6ac1159cc3c0,worker_4,worker_4,MEM_MOVE,2.000000,0.031250,RAM -> VRAM
5.232227,100,c2f663ff-c0c2-4cb0-9200-6ac1159cc3c0,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
5.232227,100,c2f663ff-c0c2-4cb0-9200-6ac1159cc3c0,worker_4,worker_4,MEM_MOVE,0.000000,0.000000,Wipe/Deallocate Layer
5.232747,100,c2f663ff-c0c2-4cb0-9200-6ac1159cc3c0,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.000520,Signal Finished
5.633247,100,c2f663ff-c0c2-4cb0-9200-6ac1159cc3c0,coordinator_0,worker_1,NET_TRANSFER,2.000000,0.400500,Distribute Layer
6.966580,100,c2f663ff-c0c2-4cb0-9200-6ac1159cc3c0,worker_1,worker_1,DISK_LOAD,2.000000,1.333333,Disk -> RAM
6.997830,100,c2f663ff-c0c2-4cb0-9200-6ac1159cc3c0,worker_1,worker_1,MEM_MOVE,2.000000,0.031250,RAM -> VRAM
7.047830,100,c2f663ff-c0c2-4cb0-9200-6ac1159cc3c0,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
7.047830,100,c2f663ff-c0c2-4cb0-9200-6ac1159cc3c0,worker_1,worker_1,MEM_MOVE,0.000000,0.000000,Wipe/Deallocate Layer
7.048350,100,c2f663ff-c0c2-4cb0-9200-6ac1159cc3c0,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.000520,Signal Finished
7.448850,100,c2f663ff-c0c2-4cb0-9200-6ac1159cc3c0,coordinator_0,worker_2,NET_TRANSFER,2.000000,0.400500,Distribute Layer
8.782183,100,c2f663ff-c0c2-4cb0-9200-6ac1159cc3c0,worker_2,worker_2,DISK_LOAD,2.000000,1.333333,Disk -> RAM
8.813433,100,c2f663ff-c0c2-4cb0-9200-6ac1159cc3c0,worker_2,worker_2,MEM_MOVE,2.000000,0.031250,RAM -> VRAM
8.863433,100,c2f663ff-c0c2-4cb0-9200-6ac1159cc3c0,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
8.863433,100,c2f663ff-c0c2-4cb0-9200-6ac1159cc3c0,worker_2,worker_2,MEM_MOVE,0.000000,0.000000,Wipe/Deallocate Layer
8.863953,100,c2f663ff-c0c2-4cb0-9200-6ac1159cc3c0,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.000520,Signal Finished
8.864473,101,4580f4c2-ea44-429e-8ca6-cf83d521a185,client_1,coordinator_0,NET_TRANSFER,0.000100,0.000520,Request Model ID
8.864993,101,4580f4c2-ea44-429e-8ca6-cf83d521a185,coordinator_0,client_1,NET_TRANSFER,0.000100,0.000520,Signal: Cache Miss / Request Weights
12.065493,101,4580f4c2-ea44-429e-8ca6-cf83d521a185,client_1,coordinator_0,NET_TRANSFER,16.000000,3.200500,Upload Model Weights
