VirtualTime_Sec,RequestID,ModelID,OriginNode,EndNode,Operation,Size_GB,Duration_Sec,Description
0.158000,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,client_10,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.316000,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,coordinator_0,client_10,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
28763.219816,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,client_10,coordinator_0,NET_TRANSFER,359.534423,28762.903816,Upload Model Weights
29694.094700,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,coordinator_0,worker_1,NET_TRANSFER,11.634061,930.874884,Distribute Layer ID: ccb68ef8
29694.185591,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_1,worker_1,DISK_LOAD,11.634061,0.090891,"Disk -> RAM [Model: 3c337794, Layer: ccb68ef8]"
29694.276482,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_1,worker_1,MEM_MOVE,11.634061,0.090891,"RAM -> VRAM [Model: 3c337794, Layer: ccb68ef8]"
29694.326482,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
29694.484482,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
30787.656841,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,coordinator_0,worker_2,NET_TRANSFER,13.662779,1093.172359,Distribute Layer ID: 55f35942
30787.814841,1000,7fb6ec30-81de-4cef-b5db-67ab0498695a,client_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
30787.972841,2000,3690018c-acdb-403a-8f9a-f993cbf79f56,client_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
30788.079582,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_2,worker_2,DISK_LOAD,13.662779,0.106740,"Disk -> RAM [Model: 3c337794, Layer: 55f35942]"
30788.186322,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_2,worker_2,MEM_MOVE,13.662779,0.106740,"RAM -> VRAM [Model: 3c337794, Layer: 55f35942]"
30788.236322,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
30788.394322,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
31465.491339,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,coordinator_0,worker_3,NET_TRANSFER,8.461838,677.097017,Distribute Layer ID: 3d7b5c41
31465.557447,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_3,worker_3,DISK_LOAD,8.461838,0.066108,"Disk -> RAM [Model: 3c337794, Layer: 3d7b5c41]"
31465.623556,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_3,worker_3,MEM_MOVE,8.461838,0.066108,"RAM -> VRAM [Model: 3c337794, Layer: 3d7b5c41]"
31465.673556,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
31465.831556,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
32001.627478,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,coordinator_0,worker_4,NET_TRANSFER,6.695574,535.795922,Distribute Layer ID: 420d7225
32001.679787,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_4,worker_4,DISK_LOAD,6.695574,0.052309,"Disk -> RAM [Model: 3c337794, Layer: 420d7225]"
32001.732096,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_4,worker_4,MEM_MOVE,6.695574,0.052309,"RAM -> VRAM [Model: 3c337794, Layer: 420d7225]"
32001.782096,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
32001.940096,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
33001.366574,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,coordinator_0,worker_1,NET_TRANSFER,12.490956,999.426478,Distribute Layer ID: 3ffbf9e7
33001.464160,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_1,worker_1,DISK_LOAD,12.490956,0.097586,"Disk -> RAM [Model: 3c337794, Layer: 3ffbf9e7]"
33001.561745,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_1,worker_1,MEM_MOVE,12.490956,0.097586,"RAM -> VRAM [Model: 3c337794, Layer: 3ffbf9e7]"
33001.611745,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
33001.769745,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
33484.400173,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,coordinator_0,worker_2,NET_TRANSFER,6.031005,482.630428,Distribute Layer ID: 635953c6
33484.447290,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_2,worker_2,DISK_LOAD,6.031005,0.047117,"Disk -> RAM [Model: 3c337794, Layer: 635953c6]"
33484.494408,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_2,worker_2,MEM_MOVE,6.031005,0.047117,"RAM -> VRAM [Model: 3c337794, Layer: 635953c6]"
33484.544408,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
33484.702408,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
33920.604225,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,coordinator_0,worker_3,NET_TRANSFER,5.446898,435.901817,Distribute Layer ID: 9980a7ad
33920.646779,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_3,worker_3,DISK_LOAD,5.446898,0.042554,"Disk -> RAM [Model: 3c337794, Layer: 9980a7ad]"
33920.689332,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_3,worker_3,MEM_MOVE,5.446898,0.042554,"RAM -> VRAM [Model: 3c337794, Layer: 9980a7ad]"
33920.739332,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
33920.897332,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
34940.598021,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,coordinator_0,worker_4,NET_TRANSFER,12.744384,1019.700688,Distribute Layer ID: 6a343a3e
34940.697586,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_4,worker_4,DISK_LOAD,12.744384,0.099565,"Disk -> RAM [Model: 3c337794, Layer: 6a343a3e]"
34940.797152,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_4,worker_4,MEM_MOVE,12.744384,0.099565,"RAM -> VRAM [Model: 3c337794, Layer: 6a343a3e]"
34940.847152,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
34941.005152,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
35937.797350,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,coordinator_0,worker_1,NET_TRANSFER,12.458027,996.792198,Distribute Layer ID: 61fb14e9
35937.894678,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_1,worker_1,DISK_LOAD,12.458027,0.097328,"Disk -> RAM [Model: 3c337794, Layer: 61fb14e9]"
35937.992006,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_1,worker_1,MEM_MOVE,12.458027,0.097328,"RAM -> VRAM [Model: 3c337794, Layer: 61fb14e9]"
35938.042006,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
35938.200006,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
36414.146667,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,coordinator_0,worker_2,NET_TRANSFER,5.947458,475.946661,Distribute Layer ID: a8499050
36414.193131,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_2,worker_2,DISK_LOAD,5.947458,0.046465,"Disk -> RAM [Model: 3c337794, Layer: a8499050]"
36414.239596,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_2,worker_2,MEM_MOVE,5.947458,0.046465,"RAM -> VRAM [Model: 3c337794, Layer: a8499050]"
36414.289596,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
36414.447596,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
37366.478765,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,coordinator_0,worker_3,NET_TRANSFER,11.898515,952.031169,Distribute Layer ID: 33f7707d
37366.571722,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_3,worker_3,DISK_LOAD,11.898515,0.092957,"Disk -> RAM [Model: 3c337794, Layer: 33f7707d]"
37366.664679,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_3,worker_3,MEM_MOVE,11.898515,0.092957,"RAM -> VRAM [Model: 3c337794, Layer: 33f7707d]"
37366.714679,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
37366.872679,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
38443.464269,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,coordinator_0,worker_4,NET_TRANSFER,13.455520,1076.591590,Distribute Layer ID: accb4123
38443.569391,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_4,worker_4,DISK_LOAD,13.455520,0.105121,"Disk -> RAM [Model: 3c337794, Layer: accb4123]"
38443.674512,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_4,worker_4,MEM_MOVE,13.455520,0.105121,"RAM -> VRAM [Model: 3c337794, Layer: accb4123]"
38443.724512,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
38443.882512,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
38893.808940,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,coordinator_0,worker_1,NET_TRANSFER,5.622205,449.926428,Distribute Layer ID: 017ed7ba
38893.852863,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_1,worker_1,DISK_LOAD,5.622205,0.043923,"Disk -> RAM [Model: 3c337794, Layer: 017ed7ba]"
38893.896787,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_1,worker_1,MEM_MOVE,5.622205,0.043923,"RAM -> VRAM [Model: 3c337794, Layer: 017ed7ba]"
38893.946787,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
38894.104787,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
39888.053085,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,coordinator_0,worker_2,NET_TRANSFER,12.422479,993.948299,Distribute Layer ID: 2929d461
39888.150136,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_2,worker_2,DISK_LOAD,12.422479,0.097051,"Disk -> RAM [Model: 3c337794, Layer: 2929d461]"
39888.247187,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_2,worker_2,MEM_MOVE,12.422479,0.097051,"RAM -> VRAM [Model: 3c337794, Layer: 2929d461]"
39888.297187,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
39888.455187,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
40756.721594,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,coordinator_0,worker_3,NET_TRANSFER,10.851455,868.266407,Distribute Layer ID: dd30d3b5
40756.806371,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_3,worker_3,DISK_LOAD,10.851455,0.084777,"Disk -> RAM [Model: 3c337794, Layer: dd30d3b5]"
40756.891148,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_3,worker_3,MEM_MOVE,10.851455,0.084777,"RAM -> VRAM [Model: 3c337794, Layer: dd30d3b5]"
40756.941148,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
40757.099148,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
41751.503655,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,coordinator_0,worker_4,NET_TRANSFER,12.428181,994.404507,Distribute Layer ID: c8c9c47e
41751.600750,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_4,worker_4,DISK_LOAD,12.428181,0.097095,"Disk -> RAM [Model: 3c337794, Layer: c8c9c47e]"
41751.697846,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_4,worker_4,MEM_MOVE,12.428181,0.097095,"RAM -> VRAM [Model: 3c337794, Layer: c8c9c47e]"
41751.747846,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
41751.905846,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
42701.109467,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,coordinator_0,worker_1,NET_TRANSFER,11.863170,949.203621,Distribute Layer ID: bde75bec
42701.202148,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_1,worker_1,DISK_LOAD,11.863170,0.092681,"Disk -> RAM [Model: 3c337794, Layer: bde75bec]"
42701.294829,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_1,worker_1,MEM_MOVE,11.863170,0.092681,"RAM -> VRAM [Model: 3c337794, Layer: bde75bec]"
42701.344829,10000,3c337794-dcf8-4cfe-b4cc-1e6174500665,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
