VirtualTime_Sec,RequestID,ModelID,OriginNode,EndNode,Operation,Size_GB,Duration_Sec,Description
0.158000,10000,f7f7457d-2fff-461d-81ca-3c852a58d83a,client_10,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.316000,10000,f7f7457d-2fff-461d-81ca-3c852a58d83a,coordinator_0,client_10,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
0.474000,5000,7b7f5fd7-2b18-49b5-b988-3e61d8e46cda,client_5,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.632000,3000,288c58d5-eb9a-4280-a82a-b87e9d15e4e9,coordinator_0,client_3,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
49396.880081,10000,f7f7457d-2fff-461d-81ca-3c852a58d83a,client_10,coordinator_0,NET_TRANSFER,617.451226,49396.248081,Upload Model Weights
49397.038081,7000,f49e6216-d6b5-4d1f-8362-b69301df29ba,coordinator_0,client_7,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
49397.196081,2000,ce103a47-8b1d-4624-8a7f-ed98775020d4,client_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
49397.354081,4000,e6472b2e-6586-4a13-9c86-4fdec7b2e8de,client_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
49397.512081,9000,288c58d5-eb9a-4280-a82a-b87e9d15e4e9,client_9,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
49397.670081,1000,ce103a47-8b1d-4624-8a7f-ed98775020d4,client_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
49397.828081,6000,e6472b2e-6586-4a13-9c86-4fdec7b2e8de,client_6,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
49397.986081,7000,f49e6216-d6b5-4d1f-8362-b69301df29ba,client_7,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
78392.197804,7000,f49e6216-d6b5-4d1f-8362-b69301df29ba,client_7,coordinator_0,NET_TRANSFER,362.425772,28994.211723,Upload Model Weights
78392.355804,3000,288c58d5-eb9a-4280-a82a-b87e9d15e4e9,client_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
122793.609170,3000,288c58d5-eb9a-4280-a82a-b87e9d15e4e9,client_3,coordinator_0,NET_TRANSFER,555.013792,44401.253366,Upload Model Weights
122793.767170,9000,288c58d5-eb9a-4280-a82a-b87e9d15e4e9,coordinator_0,client_9,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
167195.020537,9000,288c58d5-eb9a-4280-a82a-b87e9d15e4e9,client_9,coordinator_0,NET_TRANSFER,555.013792,44401.253366,Upload Model Weights
167195.178537,8000,7b7f5fd7-2b18-49b5-b988-3e61d8e46cda,client_8,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
168410.843353,10000,f7f7457d-2fff-461d-81ca-3c852a58d83a,coordinator_0,worker_4,NET_TRANSFER,15.193935,1215.664817,Distribute Layer ID: 77034ef4
168410.962056,10000,f7f7457d-2fff-461d-81ca-3c852a58d83a,worker_4,worker_4,DISK_LOAD,15.193935,0.118703,"Disk -> RAM [Model: f7f7457d, Layer: 77034ef4]"
168411.080759,10000,f7f7457d-2fff-461d-81ca-3c852a58d83a,worker_4,worker_4,MEM_MOVE,15.193935,0.118703,"RAM -> VRAM [Model: f7f7457d, Layer: 77034ef4]"
168411.130759,10000,f7f7457d-2fff-461d-81ca-3c852a58d83a,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
168411.288759,10000,f7f7457d-2fff-461d-81ca-3c852a58d83a,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
169342.015111,10000,f7f7457d-2fff-461d-81ca-3c852a58d83a,coordinator_0,worker_1,NET_TRANSFER,11.632204,930.726353,Distribute Layer ID: ea33f293
169342.105988,10000,f7f7457d-2fff-461d-81ca-3c852a58d83a,worker_1,worker_1,DISK_LOAD,11.632204,0.090877,"Disk -> RAM [Model: f7f7457d, Layer: ea33f293]"
169342.196865,10000,f7f7457d-2fff-461d-81ca-3c852a58d83a,worker_1,worker_1,MEM_MOVE,11.632204,0.090877,"RAM -> VRAM [Model: f7f7457d, Layer: ea33f293]"
169342.246865,10000,f7f7457d-2fff-461d-81ca-3c852a58d83a,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
169342.404865,10000,f7f7457d-2fff-461d-81ca-3c852a58d83a,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
169860.201420,10000,f7f7457d-2fff-461d-81ca-3c852a58d83a,coordinator_0,worker_2,NET_TRANSFER,6.470582,517.796556,Distribute Layer ID: 54095e67
169860.251972,10000,f7f7457d-2fff-461d-81ca-3c852a58d83a,worker_2,worker_2,DISK_LOAD,6.470582,0.050551,"Disk -> RAM [Model: f7f7457d, Layer: 54095e67]"
169860.302523,10000,f7f7457d-2fff-461d-81ca-3c852a58d83a,worker_2,worker_2,MEM_MOVE,6.470582,0.050551,"RAM -> VRAM [Model: f7f7457d, Layer: 54095e67]"
169860.352523,10000,f7f7457d-2fff-461d-81ca-3c852a58d83a,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
169860.510523,10000,f7f7457d-2fff-461d-81ca-3c852a58d83a,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
171039.431577,10000,f7f7457d-2fff-461d-81ca-3c852a58d83a,coordinator_0,worker_3,NET_TRANSFER,14.734638,1178.921054,Distribute Layer ID: 09c51f7f
171039.546691,10000,f7f7457d-2fff-461d-81ca-3c852a58d83a,worker_3,worker_3,DISK_LOAD,14.734638,0.115114,"Disk -> RAM [Model: f7f7457d, Layer: 09c51f7f]"
171039.661806,10000,f7f7457d-2fff-461d-81ca-3c852a58d83a,worker_3,worker_3,MEM_MOVE,14.734638,0.115114,"RAM -> VRAM [Model: f7f7457d, Layer: 09c51f7f]"
171039.819806,8000,7b7f5fd7-2b18-49b5-b988-3e61d8e46cda,coordinator_0,client_8,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
171039.869806,10000,f7f7457d-2fff-461d-81ca-3c852a58d83a,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
171040.027806,10000,f7f7457d-2fff-461d-81ca-3c852a58d83a,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
171787.630789,10000,f7f7457d-2fff-461d-81ca-3c852a58d83a,coordinator_0,worker_4,NET_TRANSFER,9.343162,747.602983,Distribute Layer ID: 356043be
171787.703783,10000,f7f7457d-2fff-461d-81ca-3c852a58d83a,worker_4,worker_4,DISK_LOAD,9.343162,0.072993,"Disk -> RAM [Model: f7f7457d, Layer: 356043be]"
171787.776776,10000,f7f7457d-2fff-461d-81ca-3c852a58d83a,worker_4,worker_4,MEM_MOVE,9.343162,0.072993,"RAM -> VRAM [Model: f7f7457d, Layer: 356043be]"
204958.231152,8000,7b7f5fd7-2b18-49b5-b988-3e61d8e46cda,client_8,coordinator_0,NET_TRANSFER,414.628805,33170.454376,Upload Model Weights
204958.281152,10000,f7f7457d-2fff-461d-81ca-3c852a58d83a,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
204958.439152,10000,f7f7457d-2fff-461d-81ca-3c852a58d83a,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
205405.377227,10000,f7f7457d-2fff-461d-81ca-3c852a58d83a,coordinator_0,worker_1,NET_TRANSFER,5.584851,446.938074,Distribute Layer ID: c0d6f039
205405.420858,10000,f7f7457d-2fff-461d-81ca-3c852a58d83a,worker_1,worker_1,DISK_LOAD,5.584851,0.043632,"Disk -> RAM [Model: f7f7457d, Layer: c0d6f039]"
205405.464490,10000,f7f7457d-2fff-461d-81ca-3c852a58d83a,worker_1,worker_1,MEM_MOVE,5.584851,0.043632,"RAM -> VRAM [Model: f7f7457d, Layer: c0d6f039]"
205405.514490,10000,f7f7457d-2fff-461d-81ca-3c852a58d83a,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
205405.672490,10000,f7f7457d-2fff-461d-81ca-3c852a58d83a,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
206264.418672,10000,f7f7457d-2fff-461d-81ca-3c852a58d83a,coordinator_0,worker_2,NET_TRANSFER,10.732452,858.746182,Distribute Layer ID: 650ad556
206264.502520,10000,f7f7457d-2fff-461d-81ca-3c852a58d83a,worker_2,worker_2,DISK_LOAD,10.732452,0.083847,"Disk -> RAM [Model: f7f7457d, Layer: 650ad556]"
206264.586367,10000,f7f7457d-2fff-461d-81ca-3c852a58d83a,worker_2,worker_2,MEM_MOVE,10.732452,0.083847,"RAM -> VRAM [Model: f7f7457d, Layer: 650ad556]"
206264.636367,10000,f7f7457d-2fff-461d-81ca-3c852a58d83a,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
206264.794367,10000,f7f7457d-2fff-461d-81ca-3c852a58d83a,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
207142.855926,10000,f7f7457d-2fff-461d-81ca-3c852a58d83a,coordinator_0,worker_3,NET_TRANSFER,10.973894,878.061559,Distribute Layer ID: 8ca2d6e3
207142.941659,10000,f7f7457d-2fff-461d-81ca-3c852a58d83a,worker_3,worker_3,DISK_LOAD,10.973894,0.085734,"Disk -> RAM [Model: f7f7457d, Layer: 8ca2d6e3]"
207143.027393,10000,f7f7457d-2fff-461d-81ca-3c852a58d83a,worker_3,worker_3,MEM_MOVE,10.973894,0.085734,"RAM -> VRAM [Model: f7f7457d, Layer: 8ca2d6e3]"
207143.077393,10000,f7f7457d-2fff-461d-81ca-3c852a58d83a,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
207143.235393,10000,f7f7457d-2fff-461d-81ca-3c852a58d83a,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
208129.235926,10000,f7f7457d-2fff-461d-81ca-3c852a58d83a,coordinator_0,worker_4,NET_TRANSFER,12.323132,986.000533,Distribute Layer ID: fb2eab58
208129.332200,10000,f7f7457d-2fff-461d-81ca-3c852a58d83a,worker_4,worker_4,DISK_LOAD,12.323132,0.096274,"Disk -> RAM [Model: f7f7457d, Layer: fb2eab58]"
208129.428474,10000,f7f7457d-2fff-461d-81ca-3c852a58d83a,worker_4,worker_4,MEM_MOVE,12.323132,0.096274,"RAM -> VRAM [Model: f7f7457d, Layer: fb2eab58]"
208129.478474,10000,f7f7457d-2fff-461d-81ca-3c852a58d83a,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
208129.636474,10000,f7f7457d-2fff-461d-81ca-3c852a58d83a,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
