VirtualTime_Sec,RequestID,ModelID,OriginNode,EndNode,Operation,Size_GB,Duration_Sec,Description
0.158000,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,client_10,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.316000,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,coordinator_0,client_10,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
47604.080993,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,client_10,coordinator_0,NET_TRANSFER,595.045187,47603.764993,Upload Model Weights
48716.608319,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,coordinator_0,worker_2,NET_TRANSFER,13.904717,1112.527325,Distribute Layer ID: 82decbb2
48716.716949,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_2,worker_2,DISK_LOAD,13.904717,0.108631,"Disk -> RAM [Model: 15e9bfb8, Layer: 82decbb2]"
48716.825580,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_2,worker_2,MEM_MOVE,13.904717,0.108631,"RAM -> VRAM [Model: 15e9bfb8, Layer: 82decbb2]"
48716.875580,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
48717.033580,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
49439.744788,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,coordinator_0,worker_3,NET_TRANSFER,9.032015,722.711208,Distribute Layer ID: 7341365d
49439.815351,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_3,worker_3,DISK_LOAD,9.032015,0.070563,"Disk -> RAM [Model: 15e9bfb8, Layer: 7341365d]"
49439.885913,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_3,worker_3,MEM_MOVE,9.032015,0.070563,"RAM -> VRAM [Model: 15e9bfb8, Layer: 7341365d]"
49439.935913,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
49440.093913,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
49958.177706,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,coordinator_0,worker_4,NET_TRANSFER,6.474172,518.083793,Distribute Layer ID: f1d51bf5
49958.228286,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_4,worker_4,DISK_LOAD,6.474172,0.050579,"Disk -> RAM [Model: 15e9bfb8, Layer: f1d51bf5]"
49958.278865,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_4,worker_4,MEM_MOVE,6.474172,0.050579,"RAM -> VRAM [Model: 15e9bfb8, Layer: f1d51bf5]"
49958.328865,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
49958.486865,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
50652.957463,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,coordinator_0,worker_1,NET_TRANSFER,8.679007,694.470598,Distribute Layer ID: d79413a6
50653.025268,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_1,worker_1,DISK_LOAD,8.679007,0.067805,"Disk -> RAM [Model: 15e9bfb8, Layer: d79413a6]"
50653.093073,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_1,worker_1,MEM_MOVE,8.679007,0.067805,"RAM -> VRAM [Model: 15e9bfb8, Layer: d79413a6]"
50653.143073,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
50653.301073,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
51055.151208,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,coordinator_0,worker_2,NET_TRANSFER,5.021252,401.850135,Distribute Layer ID: 1fe4c2f1
51055.190437,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_2,worker_2,DISK_LOAD,5.021252,0.039229,"Disk -> RAM [Model: 15e9bfb8, Layer: 1fe4c2f1]"
51055.229665,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_2,worker_2,MEM_MOVE,5.021252,0.039229,"RAM -> VRAM [Model: 15e9bfb8, Layer: 1fe4c2f1]"
51055.279665,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
51055.437665,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
51987.167531,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,coordinator_0,worker_3,NET_TRANSFER,11.644748,931.729865,Distribute Layer ID: 7475c1fc
51987.258505,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_3,worker_3,DISK_LOAD,11.644748,0.090975,"Disk -> RAM [Model: 15e9bfb8, Layer: 7475c1fc]"
51987.349480,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_3,worker_3,MEM_MOVE,11.644748,0.090975,"RAM -> VRAM [Model: 15e9bfb8, Layer: 7475c1fc]"
51987.399480,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
51987.557480,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
53058.997487,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,coordinator_0,worker_4,NET_TRANSFER,13.391125,1071.440007,Distribute Layer ID: c98f68ba
53059.102105,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_4,worker_4,DISK_LOAD,13.391125,0.104618,"Disk -> RAM [Model: 15e9bfb8, Layer: c98f68ba]"
53059.206723,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_4,worker_4,MEM_MOVE,13.391125,0.104618,"RAM -> VRAM [Model: 15e9bfb8, Layer: c98f68ba]"
53059.256723,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
53059.414723,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
53826.582339,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,coordinator_0,worker_1,NET_TRANSFER,9.587720,767.167616,Distribute Layer ID: f613e869
53826.657243,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_1,worker_1,DISK_LOAD,9.587720,0.074904,"Disk -> RAM [Model: 15e9bfb8, Layer: f613e869]"
53826.732147,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_1,worker_1,MEM_MOVE,9.587720,0.074904,"RAM -> VRAM [Model: 15e9bfb8, Layer: f613e869]"
53826.782147,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
53826.940147,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
54580.292218,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,coordinator_0,worker_2,NET_TRANSFER,9.415026,753.352070,Distribute Layer ID: 1dfa1edb
54580.365773,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_2,worker_2,DISK_LOAD,9.415026,0.073555,"Disk -> RAM [Model: 15e9bfb8, Layer: 1dfa1edb]"
54580.439328,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_2,worker_2,MEM_MOVE,9.415026,0.073555,"RAM -> VRAM [Model: 15e9bfb8, Layer: 1dfa1edb]"
54580.489328,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
54580.647328,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
55493.315703,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,coordinator_0,worker_3,NET_TRANSFER,11.406480,912.668375,Distribute Layer ID: cb78364f
55493.404816,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_3,worker_3,DISK_LOAD,11.406480,0.089113,"Disk -> RAM [Model: 15e9bfb8, Layer: cb78364f]"
55493.493929,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_3,worker_3,MEM_MOVE,11.406480,0.089113,"RAM -> VRAM [Model: 15e9bfb8, Layer: cb78364f]"
55493.543929,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
55493.701929,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
56414.020039,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,coordinator_0,worker_4,NET_TRANSFER,11.502101,920.318110,Distribute Layer ID: 256e0fed
56414.109899,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_4,worker_4,DISK_LOAD,11.502101,0.089860,"Disk -> RAM [Model: 15e9bfb8, Layer: 256e0fed]"
56414.199759,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_4,worker_4,MEM_MOVE,11.502101,0.089860,"RAM -> VRAM [Model: 15e9bfb8, Layer: 256e0fed]"
56414.249759,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
56414.407759,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
57290.229132,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,coordinator_0,worker_1,NET_TRANSFER,10.945892,875.821373,Distribute Layer ID: 52dbc5e2
57290.314647,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_1,worker_1,DISK_LOAD,10.945892,0.085515,"Disk -> RAM [Model: 15e9bfb8, Layer: 52dbc5e2]"
57290.400162,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_1,worker_1,MEM_MOVE,10.945892,0.085515,"RAM -> VRAM [Model: 15e9bfb8, Layer: 52dbc5e2]"
57290.450162,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
57290.608162,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
58389.933984,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,coordinator_0,worker_2,NET_TRANSFER,13.739698,1099.325822,Distribute Layer ID: d230fc04
58390.041325,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_2,worker_2,DISK_LOAD,13.739698,0.107341,"Disk -> RAM [Model: 15e9bfb8, Layer: d230fc04]"
58390.148667,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_2,worker_2,MEM_MOVE,13.739698,0.107341,"RAM -> VRAM [Model: 15e9bfb8, Layer: d230fc04]"
58390.198667,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
58390.356667,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
59240.602996,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,coordinator_0,worker_3,NET_TRANSFER,10.626204,850.246329,Distribute Layer ID: 97313bd2
59240.686013,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_3,worker_3,DISK_LOAD,10.626204,0.083017,"Disk -> RAM [Model: 15e9bfb8, Layer: 97313bd2]"
59240.769030,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_3,worker_3,MEM_MOVE,10.626204,0.083017,"RAM -> VRAM [Model: 15e9bfb8, Layer: 97313bd2]"
59240.819030,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
59240.977030,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
60244.478057,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,coordinator_0,worker_4,NET_TRANSFER,12.541888,1003.501026,Distribute Layer ID: ccc9d1fd
60244.576040,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_4,worker_4,DISK_LOAD,12.541888,0.097983,"Disk -> RAM [Model: 15e9bfb8, Layer: ccc9d1fd]"
60244.674024,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_4,worker_4,MEM_MOVE,12.541888,0.097983,"RAM -> VRAM [Model: 15e9bfb8, Layer: ccc9d1fd]"
60244.724024,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
60244.882024,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
61048.211547,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,coordinator_0,worker_1,NET_TRANSFER,10.039744,803.329524,Distribute Layer ID: 821e2398
61048.289983,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_1,worker_1,DISK_LOAD,10.039744,0.078436,"Disk -> RAM [Model: 15e9bfb8, Layer: 821e2398]"
61048.368418,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_1,worker_1,MEM_MOVE,10.039744,0.078436,"RAM -> VRAM [Model: 15e9bfb8, Layer: 821e2398]"
61048.418418,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
61048.576418,10000,15e9bfb8-7420-4d05-9182-cc87154f5012,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
