VirtualTime_Sec,RequestID,ModelID,OriginNode,EndNode,Operation,Size_GB,Duration_Sec,Description
0.158000,10000,3bdaca3f-9866-4649-83a1-4d50e0acb3ab,coordinator_0,client_10,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
0.316000,1000,aaee52aa-d3f8-4ff9-8dd7-38076255d0b8,client_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.474000,1000,aaee52aa-d3f8-4ff9-8dd7-38076255d0b8,coordinator_0,client_1,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
42396.871090,1000,aaee52aa-d3f8-4ff9-8dd7-38076255d0b8,client_1,coordinator_0,NET_TRANSFER,529.953089,42396.397090,Upload Model Weights
43109.118800,1000,aaee52aa-d3f8-4ff9-8dd7-38076255d0b8,coordinator_0,worker_3,NET_TRANSFER,8.901221,712.247710,Distribute Layer ID: 5a2d1421
43109.188341,1000,aaee52aa-d3f8-4ff9-8dd7-38076255d0b8,worker_3,worker_3,DISK_LOAD,8.901221,0.069541,"Disk -> RAM [Model: aaee52aa, Layer: 5a2d1421]"
43109.257882,1000,aaee52aa-d3f8-4ff9-8dd7-38076255d0b8,worker_3,worker_3,MEM_MOVE,8.901221,0.069541,"RAM -> VRAM [Model: aaee52aa, Layer: 5a2d1421]"
43109.307882,1000,aaee52aa-d3f8-4ff9-8dd7-38076255d0b8,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
43109.465882,1000,aaee52aa-d3f8-4ff9-8dd7-38076255d0b8,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
43849.163120,1000,aaee52aa-d3f8-4ff9-8dd7-38076255d0b8,coordinator_0,worker_4,NET_TRANSFER,9.244340,739.697238,Distribute Layer ID: e56548a1
43849.235341,1000,aaee52aa-d3f8-4ff9-8dd7-38076255d0b8,worker_4,worker_4,DISK_LOAD,9.244340,0.072221,"Disk -> RAM [Model: aaee52aa, Layer: e56548a1]"
43849.307563,1000,aaee52aa-d3f8-4ff9-8dd7-38076255d0b8,worker_4,worker_4,MEM_MOVE,9.244340,0.072221,"RAM -> VRAM [Model: aaee52aa, Layer: e56548a1]"
43849.357563,1000,aaee52aa-d3f8-4ff9-8dd7-38076255d0b8,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
43849.515563,1000,aaee52aa-d3f8-4ff9-8dd7-38076255d0b8,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
44274.360224,1000,aaee52aa-d3f8-4ff9-8dd7-38076255d0b8,coordinator_0,worker_1,NET_TRANSFER,5.308683,424.844662,Distribute Layer ID: 83a660ca
44274.518224,2000,1995db75-b8ca-46c0-a1a8-0fdaa815ebfd,client_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
44274.676224,3000,9ca711c5-0a92-4794-83ef-a5b5fc70a7bc,client_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
44274.834224,4000,69d5c278-5f6e-489d-9324-f1bbdf808253,client_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
44274.992224,5000,a7d6817e-da45-4df6-a173-af19b7826523,client_5,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
44275.150224,6000,8af101f1-e31b-47ef-ad79-f3947178fb6a,client_6,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
44275.308224,7000,8b3ce6d8-eb2d-42a3-8d40-959b0ba1ca4e,client_7,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
44275.466224,8000,9ca711c5-0a92-4794-83ef-a5b5fc70a7bc,client_8,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
44275.624224,9000,3f9b43ea-7198-47b6-beaf-8eac65357a05,client_9,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
44275.782224,10000,3bdaca3f-9866-4649-83a1-4d50e0acb3ab,client_10,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
88250.837753,10000,3bdaca3f-9866-4649-83a1-4d50e0acb3ab,client_10,coordinator_0,NET_TRANSFER,549.686319,43975.055529,Upload Model Weights
88250.879228,1000,aaee52aa-d3f8-4ff9-8dd7-38076255d0b8,worker_1,worker_1,DISK_LOAD,5.308683,0.041474,"Disk -> RAM [Model: aaee52aa, Layer: 83a660ca]"
88250.920702,1000,aaee52aa-d3f8-4ff9-8dd7-38076255d0b8,worker_1,worker_1,MEM_MOVE,5.308683,0.041474,"RAM -> VRAM [Model: aaee52aa, Layer: 83a660ca]"
88250.970702,1000,aaee52aa-d3f8-4ff9-8dd7-38076255d0b8,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
88251.128702,1000,aaee52aa-d3f8-4ff9-8dd7-38076255d0b8,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
88820.039815,1000,aaee52aa-d3f8-4ff9-8dd7-38076255d0b8,coordinator_0,worker_2,NET_TRANSFER,7.109514,568.911113,Distribute Layer ID: 10893e8d
88820.095358,1000,aaee52aa-d3f8-4ff9-8dd7-38076255d0b8,worker_2,worker_2,DISK_LOAD,7.109514,0.055543,"Disk -> RAM [Model: aaee52aa, Layer: 10893e8d]"
88820.150901,1000,aaee52aa-d3f8-4ff9-8dd7-38076255d0b8,worker_2,worker_2,MEM_MOVE,7.109514,0.055543,"RAM -> VRAM [Model: aaee52aa, Layer: 10893e8d]"
88820.200901,1000,aaee52aa-d3f8-4ff9-8dd7-38076255d0b8,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
88820.358901,1000,aaee52aa-d3f8-4ff9-8dd7-38076255d0b8,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
89431.501697,1000,aaee52aa-d3f8-4ff9-8dd7-38076255d0b8,coordinator_0,worker_3,NET_TRANSFER,7.637410,611.142796,Distribute Layer ID: a388fa2f
89431.561364,1000,aaee52aa-d3f8-4ff9-8dd7-38076255d0b8,worker_3,worker_3,DISK_LOAD,7.637410,0.059667,"Disk -> RAM [Model: aaee52aa, Layer: a388fa2f]"
89431.621031,1000,aaee52aa-d3f8-4ff9-8dd7-38076255d0b8,worker_3,worker_3,MEM_MOVE,7.637410,0.059667,"RAM -> VRAM [Model: aaee52aa, Layer: a388fa2f]"
89431.671031,1000,aaee52aa-d3f8-4ff9-8dd7-38076255d0b8,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
89431.829031,1000,aaee52aa-d3f8-4ff9-8dd7-38076255d0b8,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
89941.670600,1000,aaee52aa-d3f8-4ff9-8dd7-38076255d0b8,coordinator_0,worker_4,NET_TRANSFER,6.371145,509.841569,Distribute Layer ID: 1b59c10d
89941.720375,1000,aaee52aa-d3f8-4ff9-8dd7-38076255d0b8,worker_4,worker_4,DISK_LOAD,6.371145,0.049775,"Disk -> RAM [Model: aaee52aa, Layer: 1b59c10d]"
89941.770149,1000,aaee52aa-d3f8-4ff9-8dd7-38076255d0b8,worker_4,worker_4,MEM_MOVE,6.371145,0.049775,"RAM -> VRAM [Model: aaee52aa, Layer: 1b59c10d]"
