VirtualTime_Sec,RequestID,ModelID,OriginNode,EndNode,Operation,Size_GB,Duration_Sec,Description
0.158000,10000,f2261856-cd42-455e-80f0-b4904b9cbd37,coordinator_0,client_10,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
0.316000,1000,17dc8bc4-e847-493e-94d6-e89641f98d75,client_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.474000,1000,17dc8bc4-e847-493e-94d6-e89641f98d75,coordinator_0,client_1,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
33521.479700,1000,17dc8bc4-e847-493e-94d6-e89641f98d75,client_1,coordinator_0,NET_TRANSFER,419.010696,33521.005700,Upload Model Weights
33978.014990,1000,17dc8bc4-e847-493e-94d6-e89641f98d75,coordinator_0,worker_4,NET_TRANSFER,5.704816,456.535290,Distribute Layer ID: 5c7b32f7
33978.059559,1000,17dc8bc4-e847-493e-94d6-e89641f98d75,worker_4,worker_4,DISK_LOAD,5.704816,0.044569,"Disk -> RAM [Model: 17dc8bc4, Layer: 5c7b32f7]"
33978.104128,1000,17dc8bc4-e847-493e-94d6-e89641f98d75,worker_4,worker_4,MEM_MOVE,5.704816,0.044569,"RAM -> VRAM [Model: 17dc8bc4, Layer: 5c7b32f7]"
33978.154128,1000,17dc8bc4-e847-493e-94d6-e89641f98d75,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
33978.312128,1000,17dc8bc4-e847-493e-94d6-e89641f98d75,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
34941.485008,1000,17dc8bc4-e847-493e-94d6-e89641f98d75,coordinator_0,worker_1,NET_TRANSFER,12.037786,963.172880,Distribute Layer ID: 80b90cc5
34941.579053,1000,17dc8bc4-e847-493e-94d6-e89641f98d75,worker_1,worker_1,DISK_LOAD,12.037786,0.094045,"Disk -> RAM [Model: 17dc8bc4, Layer: 80b90cc5]"
34941.673098,1000,17dc8bc4-e847-493e-94d6-e89641f98d75,worker_1,worker_1,MEM_MOVE,12.037786,0.094045,"RAM -> VRAM [Model: 17dc8bc4, Layer: 80b90cc5]"
34941.723098,1000,17dc8bc4-e847-493e-94d6-e89641f98d75,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
34941.881098,1000,17dc8bc4-e847-493e-94d6-e89641f98d75,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
36147.545985,1000,17dc8bc4-e847-493e-94d6-e89641f98d75,coordinator_0,worker_2,NET_TRANSFER,15.068936,1205.664887,Distribute Layer ID: 6f98f2eb
36147.663711,1000,17dc8bc4-e847-493e-94d6-e89641f98d75,worker_2,worker_2,DISK_LOAD,15.068936,0.117726,"Disk -> RAM [Model: 17dc8bc4, Layer: 6f98f2eb]"
36147.781437,1000,17dc8bc4-e847-493e-94d6-e89641f98d75,worker_2,worker_2,MEM_MOVE,15.068936,0.117726,"RAM -> VRAM [Model: 17dc8bc4, Layer: 6f98f2eb]"
36147.831437,1000,17dc8bc4-e847-493e-94d6-e89641f98d75,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
36147.989437,1000,17dc8bc4-e847-493e-94d6-e89641f98d75,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
36841.412488,1000,17dc8bc4-e847-493e-94d6-e89641f98d75,coordinator_0,worker_3,NET_TRANSFER,8.665913,693.423050,Distribute Layer ID: dd6cc67c
36841.480190,1000,17dc8bc4-e847-493e-94d6-e89641f98d75,worker_3,worker_3,DISK_LOAD,8.665913,0.067702,"Disk -> RAM [Model: 17dc8bc4, Layer: dd6cc67c]"
36841.547893,1000,17dc8bc4-e847-493e-94d6-e89641f98d75,worker_3,worker_3,MEM_MOVE,8.665913,0.067702,"RAM -> VRAM [Model: 17dc8bc4, Layer: dd6cc67c]"
36841.597893,1000,17dc8bc4-e847-493e-94d6-e89641f98d75,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
36841.755893,1000,17dc8bc4-e847-493e-94d6-e89641f98d75,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
37571.331630,1000,17dc8bc4-e847-493e-94d6-e89641f98d75,coordinator_0,worker_4,NET_TRANSFER,9.117822,729.575737,Distribute Layer ID: 15587acd
