VirtualTime_Sec,RequestID,ModelID,OriginNode,EndNode,Operation,Size_GB,Duration_Sec,Description
0.158000,2000,a5de5746-1f2e-46f6-ab61-df5f077b9afe,client_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.316000,2000,a5de5746-1f2e-46f6-ab61-df5f077b9afe,coordinator_0,client_2,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
31906.025606,2000,a5de5746-1f2e-46f6-ab61-df5f077b9afe,client_2,coordinator_0,NET_TRANSFER,398.819495,31905.709606,Upload Model Weights
32988.725711,2000,a5de5746-1f2e-46f6-ab61-df5f077b9afe,coordinator_0,worker_2,NET_TRANSFER,13.531876,1082.700105,Distribute Layer ID: f1abccfe
32988.883711,3000,b59aaade-dc00-4140-885d-40fdeb620827,client_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
32988.989429,2000,a5de5746-1f2e-46f6-ab61-df5f077b9afe,worker_2,worker_2,DISK_LOAD,13.531876,0.105718,"Disk -> RAM [Model: a5de5746, Layer: f1abccfe]"
32989.095147,2000,a5de5746-1f2e-46f6-ab61-df5f077b9afe,worker_2,worker_2,MEM_MOVE,13.531876,0.105718,"RAM -> VRAM [Model: a5de5746, Layer: f1abccfe]"
32989.145147,2000,a5de5746-1f2e-46f6-ab61-df5f077b9afe,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
32989.303147,2000,a5de5746-1f2e-46f6-ab61-df5f077b9afe,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
33469.074171,2000,a5de5746-1f2e-46f6-ab61-df5f077b9afe,coordinator_0,worker_3,NET_TRANSFER,5.995263,479.771024,Distribute Layer ID: 28d282bf
33469.121009,2000,a5de5746-1f2e-46f6-ab61-df5f077b9afe,worker_3,worker_3,DISK_LOAD,5.995263,0.046838,"Disk -> RAM [Model: a5de5746, Layer: 28d282bf]"
33469.167847,2000,a5de5746-1f2e-46f6-ab61-df5f077b9afe,worker_3,worker_3,MEM_MOVE,5.995263,0.046838,"RAM -> VRAM [Model: a5de5746, Layer: 28d282bf]"
33469.217847,2000,a5de5746-1f2e-46f6-ab61-df5f077b9afe,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
33469.375847,2000,a5de5746-1f2e-46f6-ab61-df5f077b9afe,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
34262.290593,2000,a5de5746-1f2e-46f6-ab61-df5f077b9afe,coordinator_0,worker_4,NET_TRANSFER,9.909559,792.914746,Distribute Layer ID: 58b19969
34262.368011,2000,a5de5746-1f2e-46f6-ab61-df5f077b9afe,worker_4,worker_4,DISK_LOAD,9.909559,0.077418,"Disk -> RAM [Model: a5de5746, Layer: 58b19969]"
34262.445430,2000,a5de5746-1f2e-46f6-ab61-df5f077b9afe,worker_4,worker_4,MEM_MOVE,9.909559,0.077418,"RAM -> VRAM [Model: a5de5746, Layer: 58b19969]"
34262.495430,2000,a5de5746-1f2e-46f6-ab61-df5f077b9afe,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
34262.653430,2000,a5de5746-1f2e-46f6-ab61-df5f077b9afe,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
35289.807822,2000,a5de5746-1f2e-46f6-ab61-df5f077b9afe,coordinator_0,worker_1,NET_TRANSFER,12.837555,1027.154392,Distribute Layer ID: fa1ddbe3
35289.965822,4000,f319f5e1-3184-443e-a18d-be28351dc039,client_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
35290.066115,2000,a5de5746-1f2e-46f6-ab61-df5f077b9afe,worker_1,worker_1,DISK_LOAD,12.837555,0.100293,"Disk -> RAM [Model: a5de5746, Layer: fa1ddbe3]"
35290.166409,2000,a5de5746-1f2e-46f6-ab61-df5f077b9afe,worker_1,worker_1,MEM_MOVE,12.837555,0.100293,"RAM -> VRAM [Model: a5de5746, Layer: fa1ddbe3]"
35290.216409,2000,a5de5746-1f2e-46f6-ab61-df5f077b9afe,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
35290.374409,2000,a5de5746-1f2e-46f6-ab61-df5f077b9afe,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
35762.526964,2000,a5de5746-1f2e-46f6-ab61-df5f077b9afe,coordinator_0,worker_2,NET_TRANSFER,5.900032,472.152555,Distribute Layer ID: 72845841
35762.573058,2000,a5de5746-1f2e-46f6-ab61-df5f077b9afe,worker_2,worker_2,DISK_LOAD,5.900032,0.046094,"Disk -> RAM [Model: a5de5746, Layer: 72845841]"
35762.619152,2000,a5de5746-1f2e-46f6-ab61-df5f077b9afe,worker_2,worker_2,MEM_MOVE,5.900032,0.046094,"RAM -> VRAM [Model: a5de5746, Layer: 72845841]"
35762.669152,2000,a5de5746-1f2e-46f6-ab61-df5f077b9afe,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
35762.827152,2000,a5de5746-1f2e-46f6-ab61-df5f077b9afe,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
36226.367981,2000,a5de5746-1f2e-46f6-ab61-df5f077b9afe,coordinator_0,worker_3,NET_TRANSFER,5.792385,463.540829,Distribute Layer ID: 3fd04221
36226.413234,2000,a5de5746-1f2e-46f6-ab61-df5f077b9afe,worker_3,worker_3,DISK_LOAD,5.792385,0.045253,"Disk -> RAM [Model: a5de5746, Layer: 3fd04221]"
36226.458487,2000,a5de5746-1f2e-46f6-ab61-df5f077b9afe,worker_3,worker_3,MEM_MOVE,5.792385,0.045253,"RAM -> VRAM [Model: a5de5746, Layer: 3fd04221]"
36226.508487,2000,a5de5746-1f2e-46f6-ab61-df5f077b9afe,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
36226.666487,2000,a5de5746-1f2e-46f6-ab61-df5f077b9afe,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
36997.562524,2000,a5de5746-1f2e-46f6-ab61-df5f077b9afe,coordinator_0,worker_4,NET_TRANSFER,9.634325,770.896037,Distribute Layer ID: 50a193a0
36997.637792,2000,a5de5746-1f2e-46f6-ab61-df5f077b9afe,worker_4,worker_4,DISK_LOAD,9.634325,0.075268,"Disk -> RAM [Model: a5de5746, Layer: 50a193a0]"
36997.713060,2000,a5de5746-1f2e-46f6-ab61-df5f077b9afe,worker_4,worker_4,MEM_MOVE,9.634325,0.075268,"RAM -> VRAM [Model: a5de5746, Layer: 50a193a0]"
36997.763060,2000,a5de5746-1f2e-46f6-ab61-df5f077b9afe,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
36997.921060,2000,a5de5746-1f2e-46f6-ab61-df5f077b9afe,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
37583.940709,2000,a5de5746-1f2e-46f6-ab61-df5f077b9afe,coordinator_0,worker_1,NET_TRANSFER,7.323371,586.019648,Distribute Layer ID: 4f878f19
37583.997923,2000,a5de5746-1f2e-46f6-ab61-df5f077b9afe,worker_1,worker_1,DISK_LOAD,7.323371,0.057214,"Disk -> RAM [Model: a5de5746, Layer: 4f878f19]"
37584.055136,2000,a5de5746-1f2e-46f6-ab61-df5f077b9afe,worker_1,worker_1,MEM_MOVE,7.323371,0.057214,"RAM -> VRAM [Model: a5de5746, Layer: 4f878f19]"
37584.105136,2000,a5de5746-1f2e-46f6-ab61-df5f077b9afe,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
37584.263136,2000,a5de5746-1f2e-46f6-ab61-df5f077b9afe,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
38089.590356,2000,a5de5746-1f2e-46f6-ab61-df5f077b9afe,coordinator_0,worker_2,NET_TRANSFER,6.314715,505.327219,Distribute Layer ID: f0587196
38089.639689,2000,a5de5746-1f2e-46f6-ab61-df5f077b9afe,worker_2,worker_2,DISK_LOAD,6.314715,0.049334,"Disk -> RAM [Model: a5de5746, Layer: f0587196]"
38089.689023,2000,a5de5746-1f2e-46f6-ab61-df5f077b9afe,worker_2,worker_2,MEM_MOVE,6.314715,0.049334,"RAM -> VRAM [Model: a5de5746, Layer: f0587196]"
38089.739023,2000,a5de5746-1f2e-46f6-ab61-df5f077b9afe,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
