VirtualTime_Sec,RequestID,ModelID,OriginNode,EndNode,Operation,Size_GB,Duration_Sec,Description
0.158000,10000,319199f3-bb3d-492b-9d40-dfcb7e9b277b,client_10,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.316000,10000,319199f3-bb3d-492b-9d40-dfcb7e9b277b,coordinator_0,client_10,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
38681.871773,10000,319199f3-bb3d-492b-9d40-dfcb7e9b277b,client_10,coordinator_0,NET_TRANSFER,483.517572,38681.555773,Upload Model Weights
39365.213871,10000,319199f3-bb3d-492b-9d40-dfcb7e9b277b,coordinator_0,worker_2,NET_TRANSFER,8.539901,683.342099,Distribute Layer ID: 09222985
39365.280589,10000,319199f3-bb3d-492b-9d40-dfcb7e9b277b,worker_2,worker_2,DISK_LOAD,8.539901,0.066718,"Disk -> RAM [Model: 319199f3, Layer: 09222985]"
39365.347307,10000,319199f3-bb3d-492b-9d40-dfcb7e9b277b,worker_2,worker_2,MEM_MOVE,8.539901,0.066718,"RAM -> VRAM [Model: 319199f3, Layer: 09222985]"
39365.397307,10000,319199f3-bb3d-492b-9d40-dfcb7e9b277b,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
39365.555307,10000,319199f3-bb3d-492b-9d40-dfcb7e9b277b,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
40280.374482,10000,319199f3-bb3d-492b-9d40-dfcb7e9b277b,coordinator_0,worker_3,NET_TRANSFER,11.433365,914.819175,Distribute Layer ID: dd14c9e0
40280.463805,10000,319199f3-bb3d-492b-9d40-dfcb7e9b277b,worker_3,worker_3,DISK_LOAD,11.433365,0.089323,"Disk -> RAM [Model: 319199f3, Layer: dd14c9e0]"
40280.553128,10000,319199f3-bb3d-492b-9d40-dfcb7e9b277b,worker_3,worker_3,MEM_MOVE,11.433365,0.089323,"RAM -> VRAM [Model: 319199f3, Layer: dd14c9e0]"
40280.603128,10000,319199f3-bb3d-492b-9d40-dfcb7e9b277b,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
40280.761128,10000,319199f3-bb3d-492b-9d40-dfcb7e9b277b,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
41191.896085,10000,319199f3-bb3d-492b-9d40-dfcb7e9b277b,coordinator_0,worker_4,NET_TRANSFER,11.387312,911.134957,Distribute Layer ID: a53e771e
41191.985049,10000,319199f3-bb3d-492b-9d40-dfcb7e9b277b,worker_4,worker_4,DISK_LOAD,11.387312,0.088963,"Disk -> RAM [Model: 319199f3, Layer: a53e771e]"
41192.074012,10000,319199f3-bb3d-492b-9d40-dfcb7e9b277b,worker_4,worker_4,MEM_MOVE,11.387312,0.088963,"RAM -> VRAM [Model: 319199f3, Layer: a53e771e]"
41192.124012,10000,319199f3-bb3d-492b-9d40-dfcb7e9b277b,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
41192.282012,10000,319199f3-bb3d-492b-9d40-dfcb7e9b277b,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
42149.464955,10000,319199f3-bb3d-492b-9d40-dfcb7e9b277b,coordinator_0,worker_1,NET_TRANSFER,11.962912,957.182943,Distribute Layer ID: 0f250084
42149.558415,10000,319199f3-bb3d-492b-9d40-dfcb7e9b277b,worker_1,worker_1,DISK_LOAD,11.962912,0.093460,"Disk -> RAM [Model: 319199f3, Layer: 0f250084]"
42149.651876,10000,319199f3-bb3d-492b-9d40-dfcb7e9b277b,worker_1,worker_1,MEM_MOVE,11.962912,0.093460,"RAM -> VRAM [Model: 319199f3, Layer: 0f250084]"
42149.701876,10000,319199f3-bb3d-492b-9d40-dfcb7e9b277b,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
42149.859876,10000,319199f3-bb3d-492b-9d40-dfcb7e9b277b,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
42792.064338,10000,319199f3-bb3d-492b-9d40-dfcb7e9b277b,coordinator_0,worker_2,NET_TRANSFER,8.025681,642.204463,Distribute Layer ID: bffffaef
42792.127039,10000,319199f3-bb3d-492b-9d40-dfcb7e9b277b,worker_2,worker_2,DISK_LOAD,8.025681,0.062701,"Disk -> RAM [Model: 319199f3, Layer: bffffaef]"
42792.189739,10000,319199f3-bb3d-492b-9d40-dfcb7e9b277b,worker_2,worker_2,MEM_MOVE,8.025681,0.062701,"RAM -> VRAM [Model: 319199f3, Layer: bffffaef]"
42792.239739,10000,319199f3-bb3d-492b-9d40-dfcb7e9b277b,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
42792.397739,10000,319199f3-bb3d-492b-9d40-dfcb7e9b277b,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
43808.538410,10000,319199f3-bb3d-492b-9d40-dfcb7e9b277b,coordinator_0,worker_3,NET_TRANSFER,12.699883,1016.140670,Distribute Layer ID: d50c0dd3
43808.637627,10000,319199f3-bb3d-492b-9d40-dfcb7e9b277b,worker_3,worker_3,DISK_LOAD,12.699883,0.099218,"Disk -> RAM [Model: 319199f3, Layer: d50c0dd3]"
43808.736845,10000,319199f3-bb3d-492b-9d40-dfcb7e9b277b,worker_3,worker_3,MEM_MOVE,12.699883,0.099218,"RAM -> VRAM [Model: 319199f3, Layer: d50c0dd3]"
43808.786845,10000,319199f3-bb3d-492b-9d40-dfcb7e9b277b,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
43808.944845,10000,319199f3-bb3d-492b-9d40-dfcb7e9b277b,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
44840.811877,10000,319199f3-bb3d-492b-9d40-dfcb7e9b277b,coordinator_0,worker_4,NET_TRANSFER,12.896463,1031.867032,Distribute Layer ID: 8438a2db
44840.912631,10000,319199f3-bb3d-492b-9d40-dfcb7e9b277b,worker_4,worker_4,DISK_LOAD,12.896463,0.100754,"Disk -> RAM [Model: 319199f3, Layer: 8438a2db]"
44841.013384,10000,319199f3-bb3d-492b-9d40-dfcb7e9b277b,worker_4,worker_4,MEM_MOVE,12.896463,0.100754,"RAM -> VRAM [Model: 319199f3, Layer: 8438a2db]"
44841.063384,10000,319199f3-bb3d-492b-9d40-dfcb7e9b277b,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
44841.221384,10000,319199f3-bb3d-492b-9d40-dfcb7e9b277b,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
45525.954474,10000,319199f3-bb3d-492b-9d40-dfcb7e9b277b,coordinator_0,worker_1,NET_TRANSFER,8.557289,684.733090,Distribute Layer ID: 1ea25672
45526.021328,10000,319199f3-bb3d-492b-9d40-dfcb7e9b277b,worker_1,worker_1,DISK_LOAD,8.557289,0.066854,"Disk -> RAM [Model: 319199f3, Layer: 1ea25672]"
45526.088182,10000,319199f3-bb3d-492b-9d40-dfcb7e9b277b,worker_1,worker_1,MEM_MOVE,8.557289,0.066854,"RAM -> VRAM [Model: 319199f3, Layer: 1ea25672]"
45526.138182,10000,319199f3-bb3d-492b-9d40-dfcb7e9b277b,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
45526.296182,10000,319199f3-bb3d-492b-9d40-dfcb7e9b277b,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
45958.927560,10000,319199f3-bb3d-492b-9d40-dfcb7e9b277b,coordinator_0,worker_2,NET_TRANSFER,5.406017,432.631378,Distribute Layer ID: 9f58a617
45958.969794,10000,319199f3-bb3d-492b-9d40-dfcb7e9b277b,worker_2,worker_2,DISK_LOAD,5.406017,0.042235,"Disk -> RAM [Model: 319199f3, Layer: 9f58a617]"
45959.012029,10000,319199f3-bb3d-492b-9d40-dfcb7e9b277b,worker_2,worker_2,MEM_MOVE,5.406017,0.042235,"RAM -> VRAM [Model: 319199f3, Layer: 9f58a617]"
45959.062029,10000,319199f3-bb3d-492b-9d40-dfcb7e9b277b,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
45959.220029,10000,319199f3-bb3d-492b-9d40-dfcb7e9b277b,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
