VirtualTime_Sec,RequestID,ModelID,OriginNode,EndNode,Operation,Size_GB,Duration_Sec,Description
0.158000,1000,2f4f1857-4ff4-40da-a6d3-ee0e39f95792,client_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.316000,1000,2f4f1857-4ff4-40da-a6d3-ee0e39f95792,coordinator_0,client_1,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
49156.737155,1000,2f4f1857-4ff4-40da-a6d3-ee0e39f95792,client_1,coordinator_0,NET_TRANSFER,614.453389,49156.421155,Upload Model Weights
49979.112852,1000,2f4f1857-4ff4-40da-a6d3-ee0e39f95792,coordinator_0,worker_4,NET_TRANSFER,10.277821,822.375697,Distribute Layer ID: b4315b23
49979.193147,1000,2f4f1857-4ff4-40da-a6d3-ee0e39f95792,worker_4,worker_4,DISK_LOAD,10.277821,0.080295,"Disk -> RAM [Model: 2f4f1857, Layer: b4315b23]"
49979.273443,1000,2f4f1857-4ff4-40da-a6d3-ee0e39f95792,worker_4,worker_4,MEM_MOVE,10.277821,0.080295,"RAM -> VRAM [Model: 2f4f1857, Layer: b4315b23]"
49979.323443,1000,2f4f1857-4ff4-40da-a6d3-ee0e39f95792,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
49979.481443,1000,2f4f1857-4ff4-40da-a6d3-ee0e39f95792,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
50409.737710,1000,2f4f1857-4ff4-40da-a6d3-ee0e39f95792,coordinator_0,worker_1,NET_TRANSFER,5.376328,430.256267,Distribute Layer ID: 4e6db2aa
50409.779712,1000,2f4f1857-4ff4-40da-a6d3-ee0e39f95792,worker_1,worker_1,DISK_LOAD,5.376328,0.042003,"Disk -> RAM [Model: 2f4f1857, Layer: 4e6db2aa]"
50409.821715,1000,2f4f1857-4ff4-40da-a6d3-ee0e39f95792,worker_1,worker_1,MEM_MOVE,5.376328,0.042003,"RAM -> VRAM [Model: 2f4f1857, Layer: 4e6db2aa]"
50409.871715,1000,2f4f1857-4ff4-40da-a6d3-ee0e39f95792,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
50410.029715,1000,2f4f1857-4ff4-40da-a6d3-ee0e39f95792,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
51564.435001,1000,2f4f1857-4ff4-40da-a6d3-ee0e39f95792,coordinator_0,worker_2,NET_TRANSFER,14.428191,1154.405286,Distribute Layer ID: e40c8341
51564.547721,1000,2f4f1857-4ff4-40da-a6d3-ee0e39f95792,worker_2,worker_2,DISK_LOAD,14.428191,0.112720,"Disk -> RAM [Model: 2f4f1857, Layer: e40c8341]"
51564.660441,1000,2f4f1857-4ff4-40da-a6d3-ee0e39f95792,worker_2,worker_2,MEM_MOVE,14.428191,0.112720,"RAM -> VRAM [Model: 2f4f1857, Layer: e40c8341]"
51564.710441,1000,2f4f1857-4ff4-40da-a6d3-ee0e39f95792,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
51564.868441,1000,2f4f1857-4ff4-40da-a6d3-ee0e39f95792,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
52142.152801,1000,2f4f1857-4ff4-40da-a6d3-ee0e39f95792,coordinator_0,worker_3,NET_TRANSFER,7.214180,577.284360,Distribute Layer ID: b6f2822f
52142.209162,1000,2f4f1857-4ff4-40da-a6d3-ee0e39f95792,worker_3,worker_3,DISK_LOAD,7.214180,0.056361,"Disk -> RAM [Model: 2f4f1857, Layer: b6f2822f]"
52142.265523,1000,2f4f1857-4ff4-40da-a6d3-ee0e39f95792,worker_3,worker_3,MEM_MOVE,7.214180,0.056361,"RAM -> VRAM [Model: 2f4f1857, Layer: b6f2822f]"
52142.315523,1000,2f4f1857-4ff4-40da-a6d3-ee0e39f95792,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
52142.473523,1000,2f4f1857-4ff4-40da-a6d3-ee0e39f95792,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
52761.788500,1000,2f4f1857-4ff4-40da-a6d3-ee0e39f95792,coordinator_0,worker_4,NET_TRANSFER,7.739562,619.314977,Distribute Layer ID: 3483618b
52761.848965,1000,2f4f1857-4ff4-40da-a6d3-ee0e39f95792,worker_4,worker_4,DISK_LOAD,7.739562,0.060465,"Disk -> RAM [Model: 2f4f1857, Layer: 3483618b]"
52761.909431,1000,2f4f1857-4ff4-40da-a6d3-ee0e39f95792,worker_4,worker_4,MEM_MOVE,7.739562,0.060465,"RAM -> VRAM [Model: 2f4f1857, Layer: 3483618b]"
