VirtualTime_Sec,RequestID,ModelID,OriginNode,EndNode,Operation,Size_GB,Duration_Sec,Description
0.158000,10000,cb4fbd4c-eba9-4514-8dc1-c77b08e11a12,client_10,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.316000,7000,88e94bfd-99a3-4c19-bc11-d980c4b7f009,client_7,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.474000,8000,0dc89939-b73d-482c-91e6-4446af5b21f1,client_8,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.632000,10000,a64638bf-2485-4931-9735-d641034a34b5,client_10,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.790000,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,client_10,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.948000,9000,412725ac-f385-4bf7-839f-bedab78a03cf,coordinator_0,client_9,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
1.106000,9000,412725ac-f385-4bf7-839f-bedab78a03cf,client_9,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
46928.202552,9000,412725ac-f385-4bf7-839f-bedab78a03cf,client_9,coordinator_0,NET_TRANSFER,586.586832,46927.096552,Upload Model Weights
46928.360552,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,coordinator_0,client_10,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
86370.642560,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,client_10,coordinator_0,NET_TRANSFER,493.026650,39442.282008,Upload Model Weights
87187.594225,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,coordinator_0,worker_2,NET_TRANSFER,10.210021,816.951666,Distribute Layer ID: 3984a23e
87187.673991,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_2,worker_2,DISK_LOAD,10.210021,0.079766,"Disk -> RAM [Model: 359fc947, Layer: 3984a23e]"
87187.753757,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_2,worker_2,MEM_MOVE,10.210021,0.079766,"RAM -> VRAM [Model: 359fc947, Layer: 3984a23e]"
87187.803757,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
87187.803757,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_2,worker_2,MEM_MOVE,0.000000,0.000000,"Wipe/Deallocate Layer from Memory [Model: 359fc947, Layer: 3984a23e]"
87187.961757,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
88104.491238,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,coordinator_0,worker_3,NET_TRANSFER,11.454744,916.529481,Distribute Layer ID: a14549af
88104.580728,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_3,worker_3,DISK_LOAD,11.454744,0.089490,"Disk -> RAM [Model: 359fc947, Layer: a14549af]"
88104.670218,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_3,worker_3,MEM_MOVE,11.454744,0.089490,"RAM -> VRAM [Model: 359fc947, Layer: a14549af]"
88104.720218,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
88104.720218,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_3,worker_3,MEM_MOVE,0.000000,0.000000,"Wipe/Deallocate Layer from Memory [Model: 359fc947, Layer: a14549af]"
88104.878218,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
89056.328165,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,coordinator_0,worker_4,NET_TRANSFER,11.891249,951.449947,Distribute Layer ID: d00a8437
89056.421066,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_4,worker_4,DISK_LOAD,11.891249,0.092900,"Disk -> RAM [Model: 359fc947, Layer: d00a8437]"
89056.513966,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_4,worker_4,MEM_MOVE,11.891249,0.092900,"RAM -> VRAM [Model: 359fc947, Layer: d00a8437]"
89056.563966,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
89056.563966,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_4,worker_4,MEM_MOVE,0.000000,0.000000,"Wipe/Deallocate Layer from Memory [Model: 359fc947, Layer: d00a8437]"
89056.721966,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
89611.529212,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,coordinator_0,worker_1,NET_TRANSFER,6.933216,554.807246,Distribute Layer ID: 7165043f
89611.583378,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_1,worker_1,DISK_LOAD,6.933216,0.054166,"Disk -> RAM [Model: 359fc947, Layer: 7165043f]"
89611.637544,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_1,worker_1,MEM_MOVE,6.933216,0.054166,"RAM -> VRAM [Model: 359fc947, Layer: 7165043f]"
89611.687544,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
89611.687544,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_1,worker_1,MEM_MOVE,0.000000,0.000000,"Wipe/Deallocate Layer from Memory [Model: 359fc947, Layer: 7165043f]"
89611.845544,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
90683.364704,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,coordinator_0,worker_2,NET_TRANSFER,13.392114,1071.519160,Distribute Layer ID: ecb3f669
90683.469330,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_2,worker_2,DISK_LOAD,13.392114,0.104626,"Disk -> RAM [Model: 359fc947, Layer: ecb3f669]"
90683.573956,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_2,worker_2,MEM_MOVE,13.392114,0.104626,"RAM -> VRAM [Model: 359fc947, Layer: ecb3f669]"
90683.623956,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
90683.623956,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_2,worker_2,MEM_MOVE,0.000000,0.000000,"Wipe/Deallocate Layer from Memory [Model: 359fc947, Layer: ecb3f669]"
90683.781956,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
91344.442227,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,coordinator_0,worker_3,NET_TRANSFER,8.256378,660.660272,Distribute Layer ID: 09e78151
91344.506730,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_3,worker_3,DISK_LOAD,8.256378,0.064503,"Disk -> RAM [Model: 359fc947, Layer: 09e78151]"
91344.571233,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_3,worker_3,MEM_MOVE,8.256378,0.064503,"RAM -> VRAM [Model: 359fc947, Layer: 09e78151]"
91344.621233,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
91344.621233,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_3,worker_3,MEM_MOVE,0.000000,0.000000,"Wipe/Deallocate Layer from Memory [Model: 359fc947, Layer: 09e78151]"
91344.779233,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
92206.933601,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,coordinator_0,worker_4,NET_TRANSFER,10.775055,862.154368,Distribute Layer ID: 00cbf3f1
92207.017781,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_4,worker_4,DISK_LOAD,10.775055,0.084180,"Disk -> RAM [Model: 359fc947, Layer: 00cbf3f1]"
92207.101961,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_4,worker_4,MEM_MOVE,10.775055,0.084180,"RAM -> VRAM [Model: 359fc947, Layer: 00cbf3f1]"
92207.151961,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
92207.151961,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_4,worker_4,MEM_MOVE,0.000000,0.000000,"Wipe/Deallocate Layer from Memory [Model: 359fc947, Layer: 00cbf3f1]"
92207.309961,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
93254.601075,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,coordinator_0,worker_1,NET_TRANSFER,13.089264,1047.291114,Distribute Layer ID: 33baa265
93254.703335,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_1,worker_1,DISK_LOAD,13.089264,0.102260,"Disk -> RAM [Model: 359fc947, Layer: 33baa265]"
93254.805595,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_1,worker_1,MEM_MOVE,13.089264,0.102260,"RAM -> VRAM [Model: 359fc947, Layer: 33baa265]"
93254.855595,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
93254.855595,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_1,worker_1,MEM_MOVE,0.000000,0.000000,"Wipe/Deallocate Layer from Memory [Model: 359fc947, Layer: 33baa265]"
93255.013595,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
93866.763856,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,coordinator_0,worker_2,NET_TRANSFER,7.645003,611.750261,Distribute Layer ID: 3ce94a4a
93866.823582,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_2,worker_2,DISK_LOAD,7.645003,0.059727,"Disk -> RAM [Model: 359fc947, Layer: 3ce94a4a]"
93866.883309,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_2,worker_2,MEM_MOVE,7.645003,0.059727,"RAM -> VRAM [Model: 359fc947, Layer: 3ce94a4a]"
93866.933309,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
93866.933309,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_2,worker_2,MEM_MOVE,0.000000,0.000000,"Wipe/Deallocate Layer from Memory [Model: 359fc947, Layer: 3ce94a4a]"
93867.091309,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
94910.782866,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,coordinator_0,worker_3,NET_TRANSFER,13.044269,1043.691557,Distribute Layer ID: dabf33a4
94910.884774,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_3,worker_3,DISK_LOAD,13.044269,0.101908,"Disk -> RAM [Model: 359fc947, Layer: dabf33a4]"
94910.986683,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_3,worker_3,MEM_MOVE,13.044269,0.101908,"RAM -> VRAM [Model: 359fc947, Layer: dabf33a4]"
94911.036683,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
94911.036683,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_3,worker_3,MEM_MOVE,0.000000,0.000000,"Wipe/Deallocate Layer from Memory [Model: 359fc947, Layer: dabf33a4]"
94911.194683,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
95886.313884,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,coordinator_0,worker_4,NET_TRANSFER,12.187115,975.119202,Distribute Layer ID: fdd9d587
95886.409096,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_4,worker_4,DISK_LOAD,12.187115,0.095212,"Disk -> RAM [Model: 359fc947, Layer: fdd9d587]"
95886.504308,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_4,worker_4,MEM_MOVE,12.187115,0.095212,"RAM -> VRAM [Model: 359fc947, Layer: fdd9d587]"
95886.554308,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
95886.554308,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_4,worker_4,MEM_MOVE,0.000000,0.000000,"Wipe/Deallocate Layer from Memory [Model: 359fc947, Layer: fdd9d587]"
95886.712308,7000,88e94bfd-99a3-4c19-bc11-d980c4b7f009,coordinator_0,client_7,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
95886.870308,10000,cb4fbd4c-eba9-4514-8dc1-c77b08e11a12,coordinator_0,client_10,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
130891.679500,10000,cb4fbd4c-eba9-4514-8dc1-c77b08e11a12,client_10,coordinator_0,NET_TRANSFER,437.558240,35004.809192,Upload Model Weights
130891.837500,8000,0dc89939-b73d-482c-91e6-4446af5b21f1,coordinator_0,client_8,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
159322.980586,8000,0dc89939-b73d-482c-91e6-4446af5b21f1,client_8,coordinator_0,NET_TRANSFER,355.387414,28431.143086,Upload Model Weights
159323.138586,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
160057.183856,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,coordinator_0,worker_1,NET_TRANSFER,9.173691,734.045271,Distribute Layer ID: 41ae581b
160057.255526,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_1,worker_1,DISK_LOAD,9.173691,0.071669,"Disk -> RAM [Model: 359fc947, Layer: 41ae581b]"
160057.327195,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_1,worker_1,MEM_MOVE,9.173691,0.071669,"RAM -> VRAM [Model: 359fc947, Layer: 41ae581b]"
160057.377195,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
160057.377195,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_1,worker_1,MEM_MOVE,0.000000,0.000000,"Wipe/Deallocate Layer from Memory [Model: 359fc947, Layer: 41ae581b]"
160057.535195,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
160796.373317,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,coordinator_0,worker_2,NET_TRANSFER,9.233602,738.838122,Distribute Layer ID: b33e492c
160796.445455,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_2,worker_2,DISK_LOAD,9.233602,0.072138,"Disk -> RAM [Model: 359fc947, Layer: b33e492c]"
160796.517593,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_2,worker_2,MEM_MOVE,9.233602,0.072138,"RAM -> VRAM [Model: 359fc947, Layer: b33e492c]"
160796.567593,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
160796.567593,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_2,worker_2,MEM_MOVE,0.000000,0.000000,"Wipe/Deallocate Layer from Memory [Model: 359fc947, Layer: b33e492c]"
160796.725593,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
161886.335778,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,coordinator_0,worker_3,NET_TRANSFER,13.618252,1089.610185,Distribute Layer ID: eca28429
161886.442170,10000,359fc947-be05-47e5-9b7c-cfee8eca1455,worker_3,worker_3,DISK_LOAD,13.618252,0.106393,"Disk -> RAM [Model: 359fc947, Layer: eca28429]"
