VirtualTime_Sec,RequestID,ModelID,OriginNode,EndNode,Operation,Size_GB,Duration_Sec,Description
0.158000,2000,1e6276bc-7964-420f-9554-83a79ca8ce08,client_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.316000,10000,49d44f1e-c509-4ad1-a270-e02a858549de,client_10,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.474000,5000,0bc55349-2370-4af1-bed0-2f19a28471fb,client_5,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.632000,3000,8d095c66-4c27-45d3-a9e5-5b0a274e9941,client_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.790000,5000,0bc55349-2370-4af1-bed0-2f19a28471fb,coordinator_0,client_5,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
30361.096867,5000,0bc55349-2370-4af1-bed0-2f19a28471fb,client_5,coordinator_0,NET_TRANSFER,379.501961,30360.306867,Upload Model Weights
31044.990156,5000,0bc55349-2370-4af1-bed0-2f19a28471fb,coordinator_0,worker_4,NET_TRANSFER,8.546791,683.893289,Distribute Layer ID: d5abf3fa
31045.056928,5000,0bc55349-2370-4af1-bed0-2f19a28471fb,worker_4,worker_4,DISK_LOAD,8.546791,0.066772,"Disk -> RAM [Model: 0bc55349, Layer: d5abf3fa]"
31045.123699,5000,0bc55349-2370-4af1-bed0-2f19a28471fb,worker_4,worker_4,MEM_MOVE,8.546791,0.066772,"RAM -> VRAM [Model: 0bc55349, Layer: d5abf3fa]"
31045.173699,5000,0bc55349-2370-4af1-bed0-2f19a28471fb,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
31045.173699,5000,0bc55349-2370-4af1-bed0-2f19a28471fb,worker_4,worker_4,MEM_MOVE,0.000000,0.000000,"Wipe/Deallocate Layer from Memory [Model: 0bc55349, Layer: d5abf3fa]"
31045.331699,5000,0bc55349-2370-4af1-bed0-2f19a28471fb,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
31498.159623,5000,0bc55349-2370-4af1-bed0-2f19a28471fb,coordinator_0,worker_1,NET_TRANSFER,5.658474,452.827924,Distribute Layer ID: 07389168
31498.203830,5000,0bc55349-2370-4af1-bed0-2f19a28471fb,worker_1,worker_1,DISK_LOAD,5.658474,0.044207,"Disk -> RAM [Model: 0bc55349, Layer: 07389168]"
31498.248037,5000,0bc55349-2370-4af1-bed0-2f19a28471fb,worker_1,worker_1,MEM_MOVE,5.658474,0.044207,"RAM -> VRAM [Model: 0bc55349, Layer: 07389168]"
31498.298037,5000,0bc55349-2370-4af1-bed0-2f19a28471fb,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
31498.298037,5000,0bc55349-2370-4af1-bed0-2f19a28471fb,worker_1,worker_1,MEM_MOVE,0.000000,0.000000,"Wipe/Deallocate Layer from Memory [Model: 0bc55349, Layer: 07389168]"
31498.456037,10000,49d44f1e-c509-4ad1-a270-e02a858549de,coordinator_0,client_10,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
31498.614037,2000,1e6276bc-7964-420f-9554-83a79ca8ce08,coordinator_0,client_2,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
65554.002915,2000,1e6276bc-7964-420f-9554-83a79ca8ce08,client_2,coordinator_0,NET_TRANSFER,425.690486,34055.388878,Upload Model Weights
65554.160915,1000,4a45ae78-ac9b-4072-9587-27fcc2ec267a,client_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
65554.318915,5000,0bc55349-2370-4af1-bed0-2f19a28471fb,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
66001.864896,5000,0bc55349-2370-4af1-bed0-2f19a28471fb,coordinator_0,worker_2,NET_TRANSFER,5.592450,447.545981,Distribute Layer ID: 14c95a41
66001.908587,5000,0bc55349-2370-4af1-bed0-2f19a28471fb,worker_2,worker_2,DISK_LOAD,5.592450,0.043691,"Disk -> RAM [Model: 0bc55349, Layer: 14c95a41]"
66001.952278,5000,0bc55349-2370-4af1-bed0-2f19a28471fb,worker_2,worker_2,MEM_MOVE,5.592450,0.043691,"RAM -> VRAM [Model: 0bc55349, Layer: 14c95a41]"
66002.002278,5000,0bc55349-2370-4af1-bed0-2f19a28471fb,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
66002.002278,5000,0bc55349-2370-4af1-bed0-2f19a28471fb,worker_2,worker_2,MEM_MOVE,0.000000,0.000000,"Wipe/Deallocate Layer from Memory [Model: 0bc55349, Layer: 14c95a41]"
66002.160278,5000,0bc55349-2370-4af1-bed0-2f19a28471fb,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
67012.223175,5000,0bc55349-2370-4af1-bed0-2f19a28471fb,coordinator_0,worker_3,NET_TRANSFER,12.623911,1010.062897,Distribute Layer ID: ccd85b47
67012.321799,5000,0bc55349-2370-4af1-bed0-2f19a28471fb,worker_3,worker_3,DISK_LOAD,12.623911,0.098624,"Disk -> RAM [Model: 0bc55349, Layer: ccd85b47]"
67012.420423,5000,0bc55349-2370-4af1-bed0-2f19a28471fb,worker_3,worker_3,MEM_MOVE,12.623911,0.098624,"RAM -> VRAM [Model: 0bc55349, Layer: ccd85b47]"
67012.470423,5000,0bc55349-2370-4af1-bed0-2f19a28471fb,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
67012.470423,5000,0bc55349-2370-4af1-bed0-2f19a28471fb,worker_3,worker_3,MEM_MOVE,0.000000,0.000000,"Wipe/Deallocate Layer from Memory [Model: 0bc55349, Layer: ccd85b47]"
67012.628423,5000,0bc55349-2370-4af1-bed0-2f19a28471fb,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
67012.786423,7000,e73b7269-f811-4181-96ea-e53cee2fe2c4,client_7,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
67895.442628,5000,0bc55349-2370-4af1-bed0-2f19a28471fb,coordinator_0,worker_4,NET_TRANSFER,11.031328,882.656205,Distribute Layer ID: 7c9bc7c1
67895.528811,5000,0bc55349-2370-4af1-bed0-2f19a28471fb,worker_4,worker_4,DISK_LOAD,11.031328,0.086182,"Disk -> RAM [Model: 0bc55349, Layer: 7c9bc7c1]"
67895.614993,5000,0bc55349-2370-4af1-bed0-2f19a28471fb,worker_4,worker_4,MEM_MOVE,11.031328,0.086182,"RAM -> VRAM [Model: 0bc55349, Layer: 7c9bc7c1]"
67895.664993,5000,0bc55349-2370-4af1-bed0-2f19a28471fb,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
67895.664993,5000,0bc55349-2370-4af1-bed0-2f19a28471fb,worker_4,worker_4,MEM_MOVE,0.000000,0.000000,"Wipe/Deallocate Layer from Memory [Model: 0bc55349, Layer: 7c9bc7c1]"
67895.822993,1000,92bcd898-a229-4fd0-8afd-2b875b67b271,client_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
108555.640917,10000,49d44f1e-c509-4ad1-a270-e02a858549de,client_10,coordinator_0,NET_TRANSFER,508.245849,40659.817924,Upload Model Weights
108555.798917,5000,0bc55349-2370-4af1-bed0-2f19a28471fb,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
109522.811926,5000,0bc55349-2370-4af1-bed0-2f19a28471fb,coordinator_0,worker_1,NET_TRANSFER,12.085788,967.013010,Distribute Layer ID: 465d685c
109522.906347,5000,0bc55349-2370-4af1-bed0-2f19a28471fb,worker_1,worker_1,DISK_LOAD,12.085788,0.094420,"Disk -> RAM [Model: 0bc55349, Layer: 465d685c]"
109523.000767,5000,0bc55349-2370-4af1-bed0-2f19a28471fb,worker_1,worker_1,MEM_MOVE,12.085788,0.094420,"RAM -> VRAM [Model: 0bc55349, Layer: 465d685c]"
