VirtualTime_Sec,RequestID,ModelID,OriginNode,EndNode,Operation,Size_GB,Duration_Sec,Description
0.158000,10000,c32412be-4391-447f-9244-01687475dbe8,client_10,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.316000,4000,ee75911d-c633-49c9-84c1-12bf92fb16c8,coordinator_0,client_4,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
0.474000,5000,ca710bd2-2073-4105-bda8-3aade414f72f,client_5,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.632000,10000,c32412be-4391-447f-9244-01687475dbe8,coordinator_0,client_10,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
0.790000,4000,ee75911d-c633-49c9-84c1-12bf92fb16c8,client_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.948000,6000,082403ac-c049-4d16-a467-4caa1284e6dd,client_6,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
38677.634574,10000,c32412be-4391-447f-9244-01687475dbe8,client_10,coordinator_0,NET_TRANSFER,483.456707,38676.686574,Upload Model Weights
38677.792574,5000,ca710bd2-2073-4105-bda8-3aade414f72f,coordinator_0,client_5,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
69217.151591,5000,ca710bd2-2073-4105-bda8-3aade414f72f,client_5,coordinator_0,NET_TRANSFER,381.740113,30539.359017,Upload Model Weights
69751.792165,5000,ca710bd2-2073-4105-bda8-3aade414f72f,coordinator_0,worker_3,NET_TRANSFER,6.681132,534.640574,Distribute Layer ID: 5413a518
69751.844361,5000,ca710bd2-2073-4105-bda8-3aade414f72f,worker_3,worker_3,DISK_LOAD,6.681132,0.052196,"Disk -> RAM [Model: ca710bd2, Layer: 5413a518]"
69751.896557,5000,ca710bd2-2073-4105-bda8-3aade414f72f,worker_3,worker_3,MEM_MOVE,6.681132,0.052196,"RAM -> VRAM [Model: ca710bd2, Layer: 5413a518]"
69751.946557,5000,ca710bd2-2073-4105-bda8-3aade414f72f,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
69751.946557,5000,ca710bd2-2073-4105-bda8-3aade414f72f,worker_3,worker_3,MEM_MOVE,0.000000,0.000000,"Wipe/Deallocate Layer from Memory [Model: ca710bd2, Layer: 5413a518]"
69752.104557,5000,ca710bd2-2073-4105-bda8-3aade414f72f,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
70475.652583,5000,ca710bd2-2073-4105-bda8-3aade414f72f,coordinator_0,worker_4,NET_TRANSFER,9.042475,723.548026,Distribute Layer ID: af66a3e3
70475.723228,5000,ca710bd2-2073-4105-bda8-3aade414f72f,worker_4,worker_4,DISK_LOAD,9.042475,0.070644,"Disk -> RAM [Model: ca710bd2, Layer: af66a3e3]"
70475.793872,5000,ca710bd2-2073-4105-bda8-3aade414f72f,worker_4,worker_4,MEM_MOVE,9.042475,0.070644,"RAM -> VRAM [Model: ca710bd2, Layer: af66a3e3]"
70475.843872,5000,ca710bd2-2073-4105-bda8-3aade414f72f,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
70475.843872,5000,ca710bd2-2073-4105-bda8-3aade414f72f,worker_4,worker_4,MEM_MOVE,0.000000,0.000000,"Wipe/Deallocate Layer from Memory [Model: ca710bd2, Layer: af66a3e3]"
70476.001872,1000,b4243062-b5a1-479c-8e4e-0c3b11141544,client_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
70476.159872,8000,54853fe2-6cec-48d1-b442-f4630fbef8e8,client_8,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
95177.468322,4000,ee75911d-c633-49c9-84c1-12bf92fb16c8,client_4,coordinator_0,NET_TRANSFER,308.764481,24701.308450,Upload Model Weights
95177.626322,7000,bcc41f74-163c-48ec-acdf-918b6b881f09,client_7,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
95177.784322,2000,739486f2-9e63-4e36-b674-16f72974057a,client_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
95177.942322,5000,ca710bd2-2073-4105-bda8-3aade414f72f,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
95178.100322,9000,082403ac-c049-4d16-a467-4caa1284e6dd,client_9,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
96380.107065,5000,ca710bd2-2073-4105-bda8-3aade414f72f,coordinator_0,worker_1,NET_TRANSFER,15.023209,1202.006743,Distribute Layer ID: 914097e8
96380.224434,5000,ca710bd2-2073-4105-bda8-3aade414f72f,worker_1,worker_1,DISK_LOAD,15.023209,0.117369,"Disk -> RAM [Model: ca710bd2, Layer: 914097e8]"
96380.341803,5000,ca710bd2-2073-4105-bda8-3aade414f72f,worker_1,worker_1,MEM_MOVE,15.023209,0.117369,"RAM -> VRAM [Model: ca710bd2, Layer: 914097e8]"
96380.499803,3000,861c76fd-e303-464b-9c1b-b5dda7432daa,client_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
96380.549803,5000,ca710bd2-2073-4105-bda8-3aade414f72f,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
96380.549803,5000,ca710bd2-2073-4105-bda8-3aade414f72f,worker_1,worker_1,MEM_MOVE,0.000000,0.000000,"Wipe/Deallocate Layer from Memory [Model: ca710bd2, Layer: 914097e8]"
96380.707803,5000,ca710bd2-2073-4105-bda8-3aade414f72f,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
97512.784624,5000,ca710bd2-2073-4105-bda8-3aade414f72f,coordinator_0,worker_2,NET_TRANSFER,14.149085,1132.076821,Distribute Layer ID: bca38a56
97512.895164,5000,ca710bd2-2073-4105-bda8-3aade414f72f,worker_2,worker_2,DISK_LOAD,14.149085,0.110540,"Disk -> RAM [Model: ca710bd2, Layer: bca38a56]"
97513.005703,5000,ca710bd2-2073-4105-bda8-3aade414f72f,worker_2,worker_2,MEM_MOVE,14.149085,0.110540,"RAM -> VRAM [Model: ca710bd2, Layer: bca38a56]"
97513.055703,5000,ca710bd2-2073-4105-bda8-3aade414f72f,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
97513.055703,5000,ca710bd2-2073-4105-bda8-3aade414f72f,worker_2,worker_2,MEM_MOVE,0.000000,0.000000,"Wipe/Deallocate Layer from Memory [Model: ca710bd2, Layer: bca38a56]"
97513.213703,5000,ca710bd2-2073-4105-bda8-3aade414f72f,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
98581.714194,5000,ca710bd2-2073-4105-bda8-3aade414f72f,coordinator_0,worker_3,NET_TRANSFER,13.354381,1068.500491,Distribute Layer ID: 12132ce3
98581.818525,5000,ca710bd2-2073-4105-bda8-3aade414f72f,worker_3,worker_3,DISK_LOAD,13.354381,0.104331,"Disk -> RAM [Model: ca710bd2, Layer: 12132ce3]"
98581.922856,5000,ca710bd2-2073-4105-bda8-3aade414f72f,worker_3,worker_3,MEM_MOVE,13.354381,0.104331,"RAM -> VRAM [Model: ca710bd2, Layer: 12132ce3]"
98581.972856,5000,ca710bd2-2073-4105-bda8-3aade414f72f,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
98581.972856,5000,ca710bd2-2073-4105-bda8-3aade414f72f,worker_3,worker_3,MEM_MOVE,0.000000,0.000000,"Wipe/Deallocate Layer from Memory [Model: ca710bd2, Layer: 12132ce3]"
98582.130856,5000,ca710bd2-2073-4105-bda8-3aade414f72f,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
99252.767078,5000,ca710bd2-2073-4105-bda8-3aade414f72f,coordinator_0,worker_4,NET_TRANSFER,8.381078,670.636221,Distribute Layer ID: b02df3b0
99252.832555,5000,ca710bd2-2073-4105-bda8-3aade414f72f,worker_4,worker_4,DISK_LOAD,8.381078,0.065477,"Disk -> RAM [Model: ca710bd2, Layer: b02df3b0]"
99252.898032,5000,ca710bd2-2073-4105-bda8-3aade414f72f,worker_4,worker_4,MEM_MOVE,8.381078,0.065477,"RAM -> VRAM [Model: ca710bd2, Layer: b02df3b0]"
99252.948032,5000,ca710bd2-2073-4105-bda8-3aade414f72f,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
99252.948032,5000,ca710bd2-2073-4105-bda8-3aade414f72f,worker_4,worker_4,MEM_MOVE,0.000000,0.000000,"Wipe/Deallocate Layer from Memory [Model: ca710bd2, Layer: b02df3b0]"
99253.106032,5000,ca710bd2-2073-4105-bda8-3aade414f72f,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
100011.266272,5000,ca710bd2-2073-4105-bda8-3aade414f72f,coordinator_0,worker_1,NET_TRANSFER,9.475128,758.160240,Distribute Layer ID: e5dd3fa8
100011.340296,5000,ca710bd2-2073-4105-bda8-3aade414f72f,worker_1,worker_1,DISK_LOAD,9.475128,0.074024,"Disk -> RAM [Model: ca710bd2, Layer: e5dd3fa8]"
100011.414321,5000,ca710bd2-2073-4105-bda8-3aade414f72f,worker_1,worker_1,MEM_MOVE,9.475128,0.074024,"RAM -> VRAM [Model: ca710bd2, Layer: e5dd3fa8]"
100011.464321,5000,ca710bd2-2073-4105-bda8-3aade414f72f,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
100011.464321,5000,ca710bd2-2073-4105-bda8-3aade414f72f,worker_1,worker_1,MEM_MOVE,0.000000,0.000000,"Wipe/Deallocate Layer from Memory [Model: ca710bd2, Layer: e5dd3fa8]"
100011.622321,5000,ca710bd2-2073-4105-bda8-3aade414f72f,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
100975.308042,5000,ca710bd2-2073-4105-bda8-3aade414f72f,coordinator_0,worker_2,NET_TRANSFER,12.044197,963.685721,Distribute Layer ID: dece4463
100975.402137,5000,ca710bd2-2073-4105-bda8-3aade414f72f,worker_2,worker_2,DISK_LOAD,12.044197,0.094095,"Disk -> RAM [Model: ca710bd2, Layer: dece4463]"
100975.496233,5000,ca710bd2-2073-4105-bda8-3aade414f72f,worker_2,worker_2,MEM_MOVE,12.044197,0.094095,"RAM -> VRAM [Model: ca710bd2, Layer: dece4463]"
100975.546233,5000,ca710bd2-2073-4105-bda8-3aade414f72f,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
100975.546233,5000,ca710bd2-2073-4105-bda8-3aade414f72f,worker_2,worker_2,MEM_MOVE,0.000000,0.000000,"Wipe/Deallocate Layer from Memory [Model: ca710bd2, Layer: dece4463]"
100975.704233,5000,ca710bd2-2073-4105-bda8-3aade414f72f,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
102026.414952,5000,ca710bd2-2073-4105-bda8-3aade414f72f,coordinator_0,worker_3,NET_TRANSFER,13.132009,1050.710720,Distribute Layer ID: b0acfa3c
102026.517546,5000,ca710bd2-2073-4105-bda8-3aade414f72f,worker_3,worker_3,DISK_LOAD,13.132009,0.102594,"Disk -> RAM [Model: ca710bd2, Layer: b0acfa3c]"
102026.620140,5000,ca710bd2-2073-4105-bda8-3aade414f72f,worker_3,worker_3,MEM_MOVE,13.132009,0.102594,"RAM -> VRAM [Model: ca710bd2, Layer: b0acfa3c]"
102026.670140,5000,ca710bd2-2073-4105-bda8-3aade414f72f,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
102026.670140,5000,ca710bd2-2073-4105-bda8-3aade414f72f,worker_3,worker_3,MEM_MOVE,0.000000,0.000000,"Wipe/Deallocate Layer from Memory [Model: ca710bd2, Layer: b0acfa3c]"
102026.828140,5000,ca710bd2-2073-4105-bda8-3aade414f72f,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
102487.771170,5000,ca710bd2-2073-4105-bda8-3aade414f72f,coordinator_0,worker_4,NET_TRANSFER,5.759913,460.943031,Distribute Layer ID: f9dbda1a
102487.816170,5000,ca710bd2-2073-4105-bda8-3aade414f72f,worker_4,worker_4,DISK_LOAD,5.759913,0.044999,"Disk -> RAM [Model: ca710bd2, Layer: f9dbda1a]"
102487.861169,5000,ca710bd2-2073-4105-bda8-3aade414f72f,worker_4,worker_4,MEM_MOVE,5.759913,0.044999,"RAM -> VRAM [Model: ca710bd2, Layer: f9dbda1a]"
102487.911169,5000,ca710bd2-2073-4105-bda8-3aade414f72f,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
102487.911169,5000,ca710bd2-2073-4105-bda8-3aade414f72f,worker_4,worker_4,MEM_MOVE,0.000000,0.000000,"Wipe/Deallocate Layer from Memory [Model: ca710bd2, Layer: f9dbda1a]"
