VirtualTime_Sec,RequestID,ModelID,OriginNode,EndNode,Operation,Size_GB,Duration_Sec,Description
0.158000,2000,44454177-faef-43f0-98a5-d3c8c189dbed,client_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.316000,1000,bbb44047-1fc8-42f3-b67f-6e70e52ab1e9,coordinator_0,client_1,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
0.474000,10000,ef7ee47f-7463-4e60-9c83-67060d882a50,client_10,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.632000,2000,1a532aad-f8b1-40cc-8242-facee46428dd,client_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.790000,1000,731204bf-4a0d-4fb6-a8cc-2b1ca4bdd0f5,client_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.948000,1000,bbb44047-1fc8-42f3-b67f-6e70e52ab1e9,client_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
1.106000,10000,ef7ee47f-7463-4e60-9c83-67060d882a50,coordinator_0,client_10,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
25233.151110,10000,ef7ee47f-7463-4e60-9c83-67060d882a50,client_10,coordinator_0,NET_TRANSFER,315.398689,25232.045110,Upload Model Weights
25233.309110,1000,731204bf-4a0d-4fb6-a8cc-2b1ca4bdd0f5,coordinator_0,client_1,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
65590.932799,1000,731204bf-4a0d-4fb6-a8cc-2b1ca4bdd0f5,client_1,coordinator_0,NET_TRANSFER,504.468421,40357.623689,Upload Model Weights
66533.727042,10000,ef7ee47f-7463-4e60-9c83-67060d882a50,coordinator_0,worker_4,NET_TRANSFER,11.783053,942.794243,Distribute Layer ID: 6bb0964e
66533.819097,10000,ef7ee47f-7463-4e60-9c83-67060d882a50,worker_4,worker_4,DISK_LOAD,11.783053,0.092055,"Disk -> RAM [Model: ef7ee47f, Layer: 6bb0964e]"
66533.911153,10000,ef7ee47f-7463-4e60-9c83-67060d882a50,worker_4,worker_4,MEM_MOVE,11.783053,0.092055,"RAM -> VRAM [Model: ef7ee47f, Layer: 6bb0964e]"
66533.961153,10000,ef7ee47f-7463-4e60-9c83-67060d882a50,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
66533.961153,10000,ef7ee47f-7463-4e60-9c83-67060d882a50,worker_4,worker_4,MEM_MOVE,0.000000,0.000000,"Wipe/Deallocate Layer from Memory [Model: ef7ee47f, Layer: 6bb0964e]"
66534.119153,2000,44454177-faef-43f0-98a5-d3c8c189dbed,coordinator_0,client_2,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
106404.032128,2000,44454177-faef-43f0-98a5-d3c8c189dbed,client_2,coordinator_0,NET_TRANSFER,498.372037,39869.912976,Upload Model Weights
146169.213944,1000,bbb44047-1fc8-42f3-b67f-6e70e52ab1e9,client_1,coordinator_0,NET_TRANSFER,497.062898,39765.181816,Upload Model Weights
146169.371944,2000,decd3ace-b2e9-441f-b5ed-a0def352b0f2,client_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
146169.529944,10000,ef7ee47f-7463-4e60-9c83-67060d882a50,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
146888.028454,10000,ef7ee47f-7463-4e60-9c83-67060d882a50,coordinator_0,worker_1,NET_TRANSFER,8.979356,718.498510,Distribute Layer ID: 0882fac8
146888.098605,10000,ef7ee47f-7463-4e60-9c83-67060d882a50,worker_1,worker_1,DISK_LOAD,8.979356,0.070151,"Disk -> RAM [Model: ef7ee47f, Layer: 0882fac8]"
146888.168757,10000,ef7ee47f-7463-4e60-9c83-67060d882a50,worker_1,worker_1,MEM_MOVE,8.979356,0.070151,"RAM -> VRAM [Model: ef7ee47f, Layer: 0882fac8]"
146888.218757,10000,ef7ee47f-7463-4e60-9c83-67060d882a50,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
146888.218757,10000,ef7ee47f-7463-4e60-9c83-67060d882a50,worker_1,worker_1,MEM_MOVE,0.000000,0.000000,"Wipe/Deallocate Layer from Memory [Model: ef7ee47f, Layer: 0882fac8]"
146888.376757,10000,267323fd-7b55-4d1c-b7d0-a1ac22138b5a,client_10,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
146888.534757,10000,ef7ee47f-7463-4e60-9c83-67060d882a50,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
147718.949940,10000,ef7ee47f-7463-4e60-9c83-67060d882a50,coordinator_0,worker_2,NET_TRANSFER,10.378315,830.415184,Distribute Layer ID: dbebb785
147719.031021,10000,ef7ee47f-7463-4e60-9c83-67060d882a50,worker_2,worker_2,DISK_LOAD,10.378315,0.081081,"Disk -> RAM [Model: ef7ee47f, Layer: dbebb785]"
147719.112102,10000,ef7ee47f-7463-4e60-9c83-67060d882a50,worker_2,worker_2,MEM_MOVE,10.378315,0.081081,"RAM -> VRAM [Model: ef7ee47f, Layer: dbebb785]"
147719.162102,10000,ef7ee47f-7463-4e60-9c83-67060d882a50,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
147719.162102,10000,ef7ee47f-7463-4e60-9c83-67060d882a50,worker_2,worker_2,MEM_MOVE,0.000000,0.000000,"Wipe/Deallocate Layer from Memory [Model: ef7ee47f, Layer: dbebb785]"
147719.320102,5000,579d47e1-9843-4d14-a99e-70420958ba8c,client_5,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
147719.478102,8000,0bfc611b-c201-45a9-b2b1-6fd8d9574928,client_8,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
147719.636102,2000,579d47e1-9843-4d14-a99e-70420958ba8c,client_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
147719.794102,8000,8c2071f0-c0d9-4680-9ef8-7d316400d9b3,client_8,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
147719.952102,4000,64257fea-5bf9-4e53-8870-7214bd8665c7,client_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
147720.110102,9000,bbb44047-1fc8-42f3-b67f-6e70e52ab1e9,client_9,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
147720.268102,3000,72142840-ce03-49e9-8683-44632271737d,client_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
147720.426102,5000,e4e393c4-34f7-40ec-bc27-3d4a01f8fee6,client_5,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
147720.584102,3000,72142840-ce03-49e9-8683-44632271737d,client_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
147720.742102,3000,3a7dda56-0a32-4d80-b962-fbddd4ad0f7e,client_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
147720.900102,4000,a2f02370-20e9-4e1d-a2bc-60a3b5707047,client_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
147721.058102,10000,ef7ee47f-7463-4e60-9c83-67060d882a50,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
148224.850071,10000,ef7ee47f-7463-4e60-9c83-67060d882a50,coordinator_0,worker_3,NET_TRANSFER,6.295525,503.791969,Distribute Layer ID: 4d457025
148224.899254,10000,ef7ee47f-7463-4e60-9c83-67060d882a50,worker_3,worker_3,DISK_LOAD,6.295525,0.049184,"Disk -> RAM [Model: ef7ee47f, Layer: 4d457025]"
148224.948438,10000,ef7ee47f-7463-4e60-9c83-67060d882a50,worker_3,worker_3,MEM_MOVE,6.295525,0.049184,"RAM -> VRAM [Model: ef7ee47f, Layer: 4d457025]"
148224.998438,10000,ef7ee47f-7463-4e60-9c83-67060d882a50,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
148224.998438,10000,ef7ee47f-7463-4e60-9c83-67060d882a50,worker_3,worker_3,MEM_MOVE,0.000000,0.000000,"Wipe/Deallocate Layer from Memory [Model: ef7ee47f, Layer: 4d457025]"
148225.156438,10000,ef7ee47f-7463-4e60-9c83-67060d882a50,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
148764.419453,10000,ef7ee47f-7463-4e60-9c83-67060d882a50,coordinator_0,worker_4,NET_TRANSFER,6.738913,539.263015,Distribute Layer ID: a9eeb152
