VirtualTime_Sec,RequestID,ModelID,OriginNode,EndNode,Operation,Size_GB,Duration_Sec,Description
0.158000,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,client_10,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.316000,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,coordinator_0,client_10,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
39955.779696,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,client_10,coordinator_0,NET_TRANSFER,499.441421,39955.463696,Upload Model Weights
41029.135714,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,coordinator_0,worker_4,NET_TRANSFER,13.415075,1073.356018,Distribute Layer ID: 351a27c9
41029.240519,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_4,worker_4,DISK_LOAD,13.415075,0.104805,"Disk -> RAM [Model: 87c7a066, Layer: 351a27c9]"
41029.345324,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_4,worker_4,MEM_MOVE,13.415075,0.104805,"RAM -> VRAM [Model: 87c7a066, Layer: 351a27c9]"
41029.395324,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
41029.395324,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_4,worker_4,MEM_MOVE,0.000000,0.000000,"Wipe/Deallocate Layer from Memory [Model: 87c7a066, Layer: 351a27c9]"
41029.553324,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
42035.614247,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,coordinator_0,worker_1,NET_TRANSFER,12.573887,1006.060922,Distribute Layer ID: ebd64fd5
42035.712480,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_1,worker_1,DISK_LOAD,12.573887,0.098233,"Disk -> RAM [Model: 87c7a066, Layer: ebd64fd5]"
42035.810714,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_1,worker_1,MEM_MOVE,12.573887,0.098233,"RAM -> VRAM [Model: 87c7a066, Layer: ebd64fd5]"
42035.860714,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
42035.860714,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_1,worker_1,MEM_MOVE,0.000000,0.000000,"Wipe/Deallocate Layer from Memory [Model: 87c7a066, Layer: ebd64fd5]"
42036.018714,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
43215.410192,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,coordinator_0,worker_2,NET_TRANSFER,14.740518,1179.391478,Distribute Layer ID: e585455d
43215.525352,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_2,worker_2,DISK_LOAD,14.740518,0.115160,"Disk -> RAM [Model: 87c7a066, Layer: e585455d]"
43215.640513,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_2,worker_2,MEM_MOVE,14.740518,0.115160,"RAM -> VRAM [Model: 87c7a066, Layer: e585455d]"
43215.690513,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
43215.690513,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_2,worker_2,MEM_MOVE,0.000000,0.000000,"Wipe/Deallocate Layer from Memory [Model: 87c7a066, Layer: e585455d]"
43215.848513,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
43740.516044,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,coordinator_0,worker_3,NET_TRANSFER,6.556469,524.667532,Distribute Layer ID: 62010f45
43740.567267,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_3,worker_3,DISK_LOAD,6.556469,0.051222,"Disk -> RAM [Model: 87c7a066, Layer: 62010f45]"
43740.618489,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_3,worker_3,MEM_MOVE,6.556469,0.051222,"RAM -> VRAM [Model: 87c7a066, Layer: 62010f45]"
43740.668489,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
43740.668489,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_3,worker_3,MEM_MOVE,0.000000,0.000000,"Wipe/Deallocate Layer from Memory [Model: 87c7a066, Layer: 62010f45]"
43740.826489,6000,14e598a4-2d75-4de4-8e4c-299b254d3ad5,client_6,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
43740.984489,7000,8cba7b4d-c7a3-4ab9-9153-8f3b2547c112,client_7,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
43741.142489,4000,059f53c4-69f3-4bc5-b339-e06addd23f3f,client_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
43741.300489,8000,b2ed8fac-441a-481a-a246-55521075e20e,client_8,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
43741.458489,5000,0a8231e1-a70a-4a69-967c-be6fbef35c12,client_5,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
43741.616489,3000,aca10a78-9d32-4980-9b5c-f40b5bb3fc3a,client_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
43741.774489,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
44761.307491,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,coordinator_0,worker_4,NET_TRANSFER,12.742288,1019.533002,Distribute Layer ID: 1715b28f
44761.407041,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_4,worker_4,DISK_LOAD,12.742288,0.099549,"Disk -> RAM [Model: 87c7a066, Layer: 1715b28f]"
44761.506590,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_4,worker_4,MEM_MOVE,12.742288,0.099549,"RAM -> VRAM [Model: 87c7a066, Layer: 1715b28f]"
44761.556590,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
44761.556590,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_4,worker_4,MEM_MOVE,0.000000,0.000000,"Wipe/Deallocate Layer from Memory [Model: 87c7a066, Layer: 1715b28f]"
44761.714590,1000,a0f8f834-886a-4336-8f98-593734532b96,client_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
44761.872590,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
45383.967748,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,coordinator_0,worker_1,NET_TRANSFER,7.774314,622.095158,Distribute Layer ID: 3ae20356
45384.028485,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_1,worker_1,DISK_LOAD,7.774314,0.060737,"Disk -> RAM [Model: 87c7a066, Layer: 3ae20356]"
45384.089222,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_1,worker_1,MEM_MOVE,7.774314,0.060737,"RAM -> VRAM [Model: 87c7a066, Layer: 3ae20356]"
45384.139222,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
45384.139222,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_1,worker_1,MEM_MOVE,0.000000,0.000000,"Wipe/Deallocate Layer from Memory [Model: 87c7a066, Layer: 3ae20356]"
45384.297222,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
45990.385884,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,coordinator_0,worker_2,NET_TRANSFER,7.574233,606.088663,Distribute Layer ID: 9af0f8b4
45990.445058,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_2,worker_2,DISK_LOAD,7.574233,0.059174,"Disk -> RAM [Model: 87c7a066, Layer: 9af0f8b4]"
45990.504232,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_2,worker_2,MEM_MOVE,7.574233,0.059174,"RAM -> VRAM [Model: 87c7a066, Layer: 9af0f8b4]"
45990.554232,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
45990.554232,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_2,worker_2,MEM_MOVE,0.000000,0.000000,"Wipe/Deallocate Layer from Memory [Model: 87c7a066, Layer: 9af0f8b4]"
45990.712232,9000,385c10d9-49e0-4d13-99cb-1ccfaca4b377,client_9,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
45990.870232,2000,d85f31ec-c833-4243-abf0-f5a10915dc7c,client_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
45991.028232,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
46419.153685,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,coordinator_0,worker_3,NET_TRANSFER,5.349693,428.125454,Distribute Layer ID: fd37b521
46419.195480,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_3,worker_3,DISK_LOAD,5.349693,0.041794,"Disk -> RAM [Model: 87c7a066, Layer: fd37b521]"
46419.237274,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_3,worker_3,MEM_MOVE,5.349693,0.041794,"RAM -> VRAM [Model: 87c7a066, Layer: fd37b521]"
46419.287274,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
46419.287274,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_3,worker_3,MEM_MOVE,0.000000,0.000000,"Wipe/Deallocate Layer from Memory [Model: 87c7a066, Layer: fd37b521]"
46419.445274,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
46910.412988,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,coordinator_0,worker_4,NET_TRANSFER,6.135221,490.967714,Distribute Layer ID: a0a7a4fa
46910.460920,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_4,worker_4,DISK_LOAD,6.135221,0.047931,"Disk -> RAM [Model: 87c7a066, Layer: a0a7a4fa]"
46910.508851,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_4,worker_4,MEM_MOVE,6.135221,0.047931,"RAM -> VRAM [Model: 87c7a066, Layer: a0a7a4fa]"
46910.558851,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
46910.558851,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_4,worker_4,MEM_MOVE,0.000000,0.000000,"Wipe/Deallocate Layer from Memory [Model: 87c7a066, Layer: a0a7a4fa]"
46910.716851,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
47493.917816,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,coordinator_0,worker_1,NET_TRANSFER,7.288137,583.200965,Distribute Layer ID: 27e41fc1
47493.974755,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_1,worker_1,DISK_LOAD,7.288137,0.056939,"Disk -> RAM [Model: 87c7a066, Layer: 27e41fc1]"
47494.031693,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_1,worker_1,MEM_MOVE,7.288137,0.056939,"RAM -> VRAM [Model: 87c7a066, Layer: 27e41fc1]"
47494.081693,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
47494.081693,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_1,worker_1,MEM_MOVE,0.000000,0.000000,"Wipe/Deallocate Layer from Memory [Model: 87c7a066, Layer: 27e41fc1]"
47494.239693,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
48471.975991,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,coordinator_0,worker_2,NET_TRANSFER,12.219829,977.736297,Distribute Layer ID: f6701634
48472.071458,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_2,worker_2,DISK_LOAD,12.219829,0.095467,"Disk -> RAM [Model: 87c7a066, Layer: f6701634]"
48472.166926,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_2,worker_2,MEM_MOVE,12.219829,0.095467,"RAM -> VRAM [Model: 87c7a066, Layer: f6701634]"
48472.216926,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
48472.216926,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_2,worker_2,MEM_MOVE,0.000000,0.000000,"Wipe/Deallocate Layer from Memory [Model: 87c7a066, Layer: f6701634]"
48472.374926,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
48959.952824,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,coordinator_0,worker_3,NET_TRANSFER,6.092849,487.577899,Distribute Layer ID: 1ed3143b
48960.000425,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_3,worker_3,DISK_LOAD,6.092849,0.047600,"Disk -> RAM [Model: 87c7a066, Layer: 1ed3143b]"
48960.048025,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_3,worker_3,MEM_MOVE,6.092849,0.047600,"RAM -> VRAM [Model: 87c7a066, Layer: 1ed3143b]"
48960.098025,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
48960.098025,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_3,worker_3,MEM_MOVE,0.000000,0.000000,"Wipe/Deallocate Layer from Memory [Model: 87c7a066, Layer: 1ed3143b]"
48960.256025,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
50109.007996,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,coordinator_0,worker_4,NET_TRANSFER,14.357525,1148.751970,Distribute Layer ID: ef4c8244
50109.120164,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_4,worker_4,DISK_LOAD,14.357525,0.112168,"Disk -> RAM [Model: 87c7a066, Layer: ef4c8244]"
50109.232332,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_4,worker_4,MEM_MOVE,14.357525,0.112168,"RAM -> VRAM [Model: 87c7a066, Layer: ef4c8244]"
50109.282332,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
50109.282332,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_4,worker_4,MEM_MOVE,0.000000,0.000000,"Wipe/Deallocate Layer from Memory [Model: 87c7a066, Layer: ef4c8244]"
50109.440332,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
51076.582817,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,coordinator_0,worker_1,NET_TRANSFER,12.087406,967.142485,Distribute Layer ID: 7c58638b
51076.677250,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_1,worker_1,DISK_LOAD,12.087406,0.094433,"Disk -> RAM [Model: 87c7a066, Layer: 7c58638b]"
51076.771683,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_1,worker_1,MEM_MOVE,12.087406,0.094433,"RAM -> VRAM [Model: 87c7a066, Layer: 7c58638b]"
51076.821683,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
51076.821683,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_1,worker_1,MEM_MOVE,0.000000,0.000000,"Wipe/Deallocate Layer from Memory [Model: 87c7a066, Layer: 7c58638b]"
51076.979683,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
51740.006775,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,coordinator_0,worker_2,NET_TRANSFER,8.285964,663.027092,Distribute Layer ID: 8784bf0d
51740.071509,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_2,worker_2,DISK_LOAD,8.285964,0.064734,"Disk -> RAM [Model: 87c7a066, Layer: 8784bf0d]"
51740.136243,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_2,worker_2,MEM_MOVE,8.285964,0.064734,"RAM -> VRAM [Model: 87c7a066, Layer: 8784bf0d]"
51740.186243,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
51740.186243,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_2,worker_2,MEM_MOVE,0.000000,0.000000,"Wipe/Deallocate Layer from Memory [Model: 87c7a066, Layer: 8784bf0d]"
51740.344243,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
52250.237162,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,coordinator_0,worker_3,NET_TRANSFER,6.371786,509.892919,Distribute Layer ID: f2abc6a5
52250.286942,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_3,worker_3,DISK_LOAD,6.371786,0.049780,"Disk -> RAM [Model: 87c7a066, Layer: f2abc6a5]"
52250.336722,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_3,worker_3,MEM_MOVE,6.371786,0.049780,"RAM -> VRAM [Model: 87c7a066, Layer: f2abc6a5]"
52250.386722,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
52250.386722,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_3,worker_3,MEM_MOVE,0.000000,0.000000,"Wipe/Deallocate Layer from Memory [Model: 87c7a066, Layer: f2abc6a5]"
52250.544722,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
53186.478392,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,coordinator_0,worker_4,NET_TRANSFER,11.697296,935.933670,Distribute Layer ID: a2a3754b
53186.569777,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_4,worker_4,DISK_LOAD,11.697296,0.091385,"Disk -> RAM [Model: 87c7a066, Layer: a2a3754b]"
53186.661162,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_4,worker_4,MEM_MOVE,11.697296,0.091385,"RAM -> VRAM [Model: 87c7a066, Layer: a2a3754b]"
53186.711162,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
53186.711162,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_4,worker_4,MEM_MOVE,0.000000,0.000000,"Wipe/Deallocate Layer from Memory [Model: 87c7a066, Layer: a2a3754b]"
53186.869162,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
53970.527985,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,coordinator_0,worker_1,NET_TRANSFER,9.793860,783.658823,Distribute Layer ID: db82d016
53970.604499,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_1,worker_1,DISK_LOAD,9.793860,0.076515,"Disk -> RAM [Model: 87c7a066, Layer: db82d016]"
53970.681014,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_1,worker_1,MEM_MOVE,9.793860,0.076515,"RAM -> VRAM [Model: 87c7a066, Layer: db82d016]"
53970.731014,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
53970.731014,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_1,worker_1,MEM_MOVE,0.000000,0.000000,"Wipe/Deallocate Layer from Memory [Model: 87c7a066, Layer: db82d016]"
53970.889014,10000,87c7a066-02b2-4e2f-b40f-07d1527cf7fd,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
