VirtualTime_Sec,RequestID,ModelID,OriginNode,EndNode,Operation,Size_GB,Duration_Sec,Description
0.158000,10001,bd432f11-8878-4b02-8aa9-aa629171eded,coordinator_0,client_10,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
0.316000,1000,667ac7b8-af0e-4cc6-b61b-99ac89baee44,client_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.474000,1000,667ac7b8-af0e-4cc6-b61b-99ac89baee44,coordinator_0,client_1,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
36623.346199,1000,667ac7b8-af0e-4cc6-b61b-99ac89baee44,client_1,coordinator_0,NET_TRANSFER,457.784027,36622.872199,Upload Model Weights
37845.576243,1000,667ac7b8-af0e-4cc6-b61b-99ac89baee44,coordinator_0,worker_3,NET_TRANSFER,15.276001,1222.230044,Distribute Layer ID: f4f4b941
37845.695587,1000,667ac7b8-af0e-4cc6-b61b-99ac89baee44,worker_3,worker_3,DISK_LOAD,15.276001,0.119344,"Disk -> RAM [Model: 667ac7b8, Layer: f4f4b941]"
37845.814930,1000,667ac7b8-af0e-4cc6-b61b-99ac89baee44,worker_3,worker_3,MEM_MOVE,15.276001,0.119344,"RAM -> VRAM [Model: 667ac7b8, Layer: f4f4b941]"
37845.864930,1000,667ac7b8-af0e-4cc6-b61b-99ac89baee44,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
37846.022930,1000,667ac7b8-af0e-4cc6-b61b-99ac89baee44,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
38696.212058,1000,667ac7b8-af0e-4cc6-b61b-99ac89baee44,coordinator_0,worker_4,NET_TRANSFER,10.625489,850.189128,Distribute Layer ID: c952c0f6
38696.295070,1000,667ac7b8-af0e-4cc6-b61b-99ac89baee44,worker_4,worker_4,DISK_LOAD,10.625489,0.083012,"Disk -> RAM [Model: 667ac7b8, Layer: c952c0f6]"
38696.378081,1000,667ac7b8-af0e-4cc6-b61b-99ac89baee44,worker_4,worker_4,MEM_MOVE,10.625489,0.083012,"RAM -> VRAM [Model: 667ac7b8, Layer: c952c0f6]"
38696.428081,1000,667ac7b8-af0e-4cc6-b61b-99ac89baee44,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
38696.586081,1000,667ac7b8-af0e-4cc6-b61b-99ac89baee44,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
39219.289756,1000,667ac7b8-af0e-4cc6-b61b-99ac89baee44,coordinator_0,worker_1,NET_TRANSFER,6.531921,522.703675,Distribute Layer ID: 7e302c3f
39219.340787,1000,667ac7b8-af0e-4cc6-b61b-99ac89baee44,worker_1,worker_1,DISK_LOAD,6.531921,0.051031,"Disk -> RAM [Model: 667ac7b8, Layer: 7e302c3f]"
39219.391818,1000,667ac7b8-af0e-4cc6-b61b-99ac89baee44,worker_1,worker_1,MEM_MOVE,6.531921,0.051031,"RAM -> VRAM [Model: 667ac7b8, Layer: 7e302c3f]"
39219.441818,1000,667ac7b8-af0e-4cc6-b61b-99ac89baee44,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
39219.599818,1000,667ac7b8-af0e-4cc6-b61b-99ac89baee44,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
39219.757818,1001,1172e3bc-ceda-4b89-9c2f-684cdee3a06e,client_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
39219.915818,2000,c6473934-4b47-4294-b4ae-fd3ed424b6f7,client_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
39220.073818,3000,c0f35d2d-ed87-46d0-a1bd-6a84b5a70202,client_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
39220.231818,2001,1b529f1f-1742-4dee-aeb4-cbff56a1f27d,client_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
39220.389818,5000,667ac7b8-af0e-4cc6-b61b-99ac89baee44,client_5,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
39220.547818,6000,bcfd49f7-bdb8-4fdf-bab9-e949dba85648,client_6,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
39220.705818,7000,03329787-b4dd-4156-8294-925e31ba2f3f,client_7,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
39220.863818,8000,e2a754cf-cf6c-457d-931f-a5dcbcc25282,client_8,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
39221.021818,9000,c6473934-4b47-4294-b4ae-fd3ed424b6f7,client_9,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
39221.179818,10000,03398707-8aa1-402a-b844-c798730b09b1,client_10,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
39221.337818,3001,0e4d536d-e736-4aa1-b266-7ac804294089,client_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
39221.495818,10001,0e4d536d-e736-4aa1-b266-7ac804294089,client_10,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
39221.653818,10000,1b529f1f-1742-4dee-aeb4-cbff56a1f27d,client_10,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
