VirtualTime_Sec,RequestID,ModelID,OriginNode,EndNode,Operation,Size_GB,Duration_Sec,Description
0.158000,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,client_10,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.316000,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,coordinator_0,client_10,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
29108.268494,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,client_10,coordinator_0,NET_TRANSFER,363.847531,29107.952494,Upload Model Weights
29815.196373,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,coordinator_0,worker_2,NET_TRANSFER,8.834723,706.927879,Distribute Layer ID: 55bbac2a
29815.265394,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,worker_2,worker_2,DISK_LOAD,8.834723,0.069021,"Disk -> RAM [Model: 6df01ae3, Layer: 55bbac2a]"
29815.334415,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,worker_2,worker_2,MEM_MOVE,8.834723,0.069021,"RAM -> VRAM [Model: 6df01ae3, Layer: 55bbac2a]"
29815.384415,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
29815.542415,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
30830.205218,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,coordinator_0,worker_3,NET_TRANSFER,12.681410,1014.662803,Distribute Layer ID: fd257355
30830.304292,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,worker_3,worker_3,DISK_LOAD,12.681410,0.099074,"Disk -> RAM [Model: 6df01ae3, Layer: fd257355]"
30830.403365,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,worker_3,worker_3,MEM_MOVE,12.681410,0.099074,"RAM -> VRAM [Model: 6df01ae3, Layer: fd257355]"
30830.453365,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
30830.611365,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
31592.572185,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,coordinator_0,worker_4,NET_TRANSFER,9.522635,761.960820,Distribute Layer ID: 91e7c88d
31592.646580,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,worker_4,worker_4,DISK_LOAD,9.522635,0.074396,"Disk -> RAM [Model: 6df01ae3, Layer: 91e7c88d]"
31592.720976,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,worker_4,worker_4,MEM_MOVE,9.522635,0.074396,"RAM -> VRAM [Model: 6df01ae3, Layer: 91e7c88d]"
31592.770976,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
31592.928976,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
32506.054778,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,coordinator_0,worker_1,NET_TRANSFER,11.412198,913.125802,Distribute Layer ID: 6d0ec108
32506.143936,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,worker_1,worker_1,DISK_LOAD,11.412198,0.089158,"Disk -> RAM [Model: 6df01ae3, Layer: 6d0ec108]"
32506.233093,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,worker_1,worker_1,MEM_MOVE,11.412198,0.089158,"RAM -> VRAM [Model: 6df01ae3, Layer: 6d0ec108]"
32506.283093,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
32506.441093,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
33165.461815,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,coordinator_0,worker_2,NET_TRANSFER,8.235884,659.020722,Distribute Layer ID: 515ac8a1
33165.526158,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,worker_2,worker_2,DISK_LOAD,8.235884,0.064343,"Disk -> RAM [Model: 6df01ae3, Layer: 515ac8a1]"
33165.590501,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,worker_2,worker_2,MEM_MOVE,8.235884,0.064343,"RAM -> VRAM [Model: 6df01ae3, Layer: 515ac8a1]"
33165.640501,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
33165.798501,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
34129.649357,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,coordinator_0,worker_3,NET_TRANSFER,12.046261,963.850856,Distribute Layer ID: 6382c685
34129.743468,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,worker_3,worker_3,DISK_LOAD,12.046261,0.094111,"Disk -> RAM [Model: 6df01ae3, Layer: 6382c685]"
34129.837580,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,worker_3,worker_3,MEM_MOVE,12.046261,0.094111,"RAM -> VRAM [Model: 6df01ae3, Layer: 6382c685]"
34129.887580,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
34130.045580,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
34920.092337,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,coordinator_0,worker_4,NET_TRANSFER,9.873709,790.046757,Distribute Layer ID: 110ec981
34920.169475,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,worker_4,worker_4,DISK_LOAD,9.873709,0.077138,"Disk -> RAM [Model: 6df01ae3, Layer: 110ec981]"
34920.246613,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,worker_4,worker_4,MEM_MOVE,9.873709,0.077138,"RAM -> VRAM [Model: 6df01ae3, Layer: 110ec981]"
34920.296613,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
34920.454613,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
35950.122653,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,coordinator_0,worker_1,NET_TRANSFER,12.868976,1029.668040,Distribute Layer ID: 49c8fbe6
35950.223192,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,worker_1,worker_1,DISK_LOAD,12.868976,0.100539,"Disk -> RAM [Model: 6df01ae3, Layer: 49c8fbe6]"
35950.323731,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,worker_1,worker_1,MEM_MOVE,12.868976,0.100539,"RAM -> VRAM [Model: 6df01ae3, Layer: 49c8fbe6]"
35950.373731,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
35950.531731,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
37114.319166,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,coordinator_0,worker_2,NET_TRANSFER,14.545468,1163.787435,Distribute Layer ID: 7c8a048e
37114.432802,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,worker_2,worker_2,DISK_LOAD,14.545468,0.113636,"Disk -> RAM [Model: 6df01ae3, Layer: 7c8a048e]"
37114.546439,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,worker_2,worker_2,MEM_MOVE,14.545468,0.113636,"RAM -> VRAM [Model: 6df01ae3, Layer: 7c8a048e]"
37114.596439,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
37114.754439,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
37725.715545,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,coordinator_0,worker_3,NET_TRANSFER,7.635139,610.961106,Distribute Layer ID: 94107952
37725.775195,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,worker_3,worker_3,DISK_LOAD,7.635139,0.059650,"Disk -> RAM [Model: 6df01ae3, Layer: 94107952]"
37725.834844,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,worker_3,worker_3,MEM_MOVE,7.635139,0.059650,"RAM -> VRAM [Model: 6df01ae3, Layer: 94107952]"
37725.884844,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
37726.042844,10000,6df01ae3-79c1-46c7-83fc-334ebecd76ce,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
