VirtualTime_Sec,RequestID,ModelID,OriginNode,EndNode,Operation,Size_GB,Duration_Sec,Description
0.158000,10000,be939cb9-3ae7-4d75-9ace-4b56c1e98b9c,client_10,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.316000,10000,be939cb9-3ae7-4d75-9ace-4b56c1e98b9c,coordinator_0,client_10,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
0.474000,10001,d5a95c7b-1643-42c9-a261-746eaaa22c94,client_10,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.632000,10001,d5a95c7b-1643-42c9-a261-746eaaa22c94,coordinator_0,client_10,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
41442.991837,10001,d5a95c7b-1643-42c9-a261-746eaaa22c94,client_10,coordinator_0,NET_TRANSFER,518.027623,41442.359837,Upload Model Weights
41862.003029,10001,d5a95c7b-1643-42c9-a261-746eaaa22c94,coordinator_0,worker_2,NET_TRANSFER,5.235765,419.011192,Distribute Layer ID: feef0231
41862.043933,10001,d5a95c7b-1643-42c9-a261-746eaaa22c94,worker_2,worker_2,DISK_LOAD,5.235765,0.040904,"Disk -> RAM [Model: d5a95c7b, Layer: feef0231]"
41862.084838,10001,d5a95c7b-1643-42c9-a261-746eaaa22c94,worker_2,worker_2,MEM_MOVE,5.235765,0.040904,"RAM -> VRAM [Model: d5a95c7b, Layer: feef0231]"
41862.134838,10001,d5a95c7b-1643-42c9-a261-746eaaa22c94,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
41862.292838,10001,d5a95c7b-1643-42c9-a261-746eaaa22c94,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
42754.515543,10001,d5a95c7b-1643-42c9-a261-746eaaa22c94,coordinator_0,worker_3,NET_TRANSFER,11.150909,892.222706,Distribute Layer ID: 3a1a6f27
42754.602660,10001,d5a95c7b-1643-42c9-a261-746eaaa22c94,worker_3,worker_3,DISK_LOAD,11.150909,0.087116,"Disk -> RAM [Model: d5a95c7b, Layer: 3a1a6f27]"
42754.689776,10001,d5a95c7b-1643-42c9-a261-746eaaa22c94,worker_3,worker_3,MEM_MOVE,11.150909,0.087116,"RAM -> VRAM [Model: d5a95c7b, Layer: 3a1a6f27]"
42754.739776,10001,d5a95c7b-1643-42c9-a261-746eaaa22c94,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
42754.897776,10001,d5a95c7b-1643-42c9-a261-746eaaa22c94,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
43663.031155,10001,d5a95c7b-1643-42c9-a261-746eaaa22c94,coordinator_0,worker_4,NET_TRANSFER,11.349792,908.133379,Distribute Layer ID: bf25ca58
43663.119825,10001,d5a95c7b-1643-42c9-a261-746eaaa22c94,worker_4,worker_4,DISK_LOAD,11.349792,0.088670,"Disk -> RAM [Model: d5a95c7b, Layer: bf25ca58]"
43663.208495,10001,d5a95c7b-1643-42c9-a261-746eaaa22c94,worker_4,worker_4,MEM_MOVE,11.349792,0.088670,"RAM -> VRAM [Model: d5a95c7b, Layer: bf25ca58]"
43663.258495,10001,d5a95c7b-1643-42c9-a261-746eaaa22c94,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
43663.416495,10001,d5a95c7b-1643-42c9-a261-746eaaa22c94,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
44435.216471,10001,d5a95c7b-1643-42c9-a261-746eaaa22c94,coordinator_0,worker_1,NET_TRANSFER,9.645625,771.799976,Distribute Layer ID: b060020f
