VirtualTime_Sec,RequestID,ModelID,OriginNode,EndNode,Operation,Size_GB,Duration_Sec,Description
0.158000,10000,9e68a957-53fe-4b3e-9f17-d0f291306bd6,coordinator_0,client_10,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
0.316000,1000,6c77f3d0-7eb8-4b52-a916-73baf0056afe,client_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.474000,1000,6c77f3d0-7eb8-4b52-a916-73baf0056afe,coordinator_0,client_1,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
41303.472737,1000,6c77f3d0-7eb8-4b52-a916-73baf0056afe,client_1,coordinator_0,NET_TRANSFER,516.285609,41302.998737,Upload Model Weights
41953.371005,1000,6c77f3d0-7eb8-4b52-a916-73baf0056afe,coordinator_0,worker_1,NET_TRANSFER,8.121853,649.898267,Distribute Layer ID: 3de10f12
41953.434457,1000,6c77f3d0-7eb8-4b52-a916-73baf0056afe,worker_1,worker_1,DISK_LOAD,8.121853,0.063452,"Disk -> RAM [Model: 6c77f3d0, Layer: 3de10f12]"
41953.497909,1000,6c77f3d0-7eb8-4b52-a916-73baf0056afe,worker_1,worker_1,MEM_MOVE,8.121853,0.063452,"RAM -> VRAM [Model: 6c77f3d0, Layer: 3de10f12]"
41953.547909,1000,6c77f3d0-7eb8-4b52-a916-73baf0056afe,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
41953.705909,1000,6c77f3d0-7eb8-4b52-a916-73baf0056afe,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
43067.822542,1000,6c77f3d0-7eb8-4b52-a916-73baf0056afe,coordinator_0,worker_2,NET_TRANSFER,13.924583,1114.116633,Distribute Layer ID: b79e17c9
43067.931328,1000,6c77f3d0-7eb8-4b52-a916-73baf0056afe,worker_2,worker_2,DISK_LOAD,13.924583,0.108786,"Disk -> RAM [Model: 6c77f3d0, Layer: b79e17c9]"
43068.040114,1000,6c77f3d0-7eb8-4b52-a916-73baf0056afe,worker_2,worker_2,MEM_MOVE,13.924583,0.108786,"RAM -> VRAM [Model: 6c77f3d0, Layer: b79e17c9]"
43068.090114,1000,6c77f3d0-7eb8-4b52-a916-73baf0056afe,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
43068.248114,1000,6c77f3d0-7eb8-4b52-a916-73baf0056afe,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
44270.888277,1000,6c77f3d0-7eb8-4b52-a916-73baf0056afe,coordinator_0,worker_3,NET_TRANSFER,15.031127,1202.640164,Distribute Layer ID: e7a23d63
44271.005708,1000,6c77f3d0-7eb8-4b52-a916-73baf0056afe,worker_3,worker_3,DISK_LOAD,15.031127,0.117431,"Disk -> RAM [Model: 6c77f3d0, Layer: e7a23d63]"
44271.123138,1000,6c77f3d0-7eb8-4b52-a916-73baf0056afe,worker_3,worker_3,MEM_MOVE,15.031127,0.117431,"RAM -> VRAM [Model: 6c77f3d0, Layer: e7a23d63]"
44271.173138,1000,6c77f3d0-7eb8-4b52-a916-73baf0056afe,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
44271.331138,1000,6c77f3d0-7eb8-4b52-a916-73baf0056afe,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
44701.398612,1000,6c77f3d0-7eb8-4b52-a916-73baf0056afe,coordinator_0,worker_4,NET_TRANSFER,5.373968,430.067474,Distribute Layer ID: aa367beb
44701.440596,1000,6c77f3d0-7eb8-4b52-a916-73baf0056afe,worker_4,worker_4,DISK_LOAD,5.373968,0.041984,"Disk -> RAM [Model: 6c77f3d0, Layer: aa367beb]"
44701.482581,1000,6c77f3d0-7eb8-4b52-a916-73baf0056afe,worker_4,worker_4,MEM_MOVE,5.373968,0.041984,"RAM -> VRAM [Model: 6c77f3d0, Layer: aa367beb]"
44701.532581,1000,6c77f3d0-7eb8-4b52-a916-73baf0056afe,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
44701.690581,1000,6c77f3d0-7eb8-4b52-a916-73baf0056afe,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
45445.759306,1000,6c77f3d0-7eb8-4b52-a916-73baf0056afe,coordinator_0,worker_1,NET_TRANSFER,9.298984,744.068726,Distribute Layer ID: c5842772
45445.831955,1000,6c77f3d0-7eb8-4b52-a916-73baf0056afe,worker_1,worker_1,DISK_LOAD,9.298984,0.072648,"Disk -> RAM [Model: 6c77f3d0, Layer: c5842772]"
45445.904603,1000,6c77f3d0-7eb8-4b52-a916-73baf0056afe,worker_1,worker_1,MEM_MOVE,9.298984,0.072648,"RAM -> VRAM [Model: 6c77f3d0, Layer: c5842772]"
45445.954603,1000,6c77f3d0-7eb8-4b52-a916-73baf0056afe,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
45446.112603,1000,6c77f3d0-7eb8-4b52-a916-73baf0056afe,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
46150.319989,1000,6c77f3d0-7eb8-4b52-a916-73baf0056afe,coordinator_0,worker_2,NET_TRANSFER,8.800717,704.207386,Distribute Layer ID: c766c6e7
46150.388745,1000,6c77f3d0-7eb8-4b52-a916-73baf0056afe,worker_2,worker_2,DISK_LOAD,8.800717,0.068756,"Disk -> RAM [Model: 6c77f3d0, Layer: c766c6e7]"
46150.457500,1000,6c77f3d0-7eb8-4b52-a916-73baf0056afe,worker_2,worker_2,MEM_MOVE,8.800717,0.068756,"RAM -> VRAM [Model: 6c77f3d0, Layer: c766c6e7]"
46150.507500,1000,6c77f3d0-7eb8-4b52-a916-73baf0056afe,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
46150.665500,1000,6c77f3d0-7eb8-4b52-a916-73baf0056afe,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
46933.986840,1000,6c77f3d0-7eb8-4b52-a916-73baf0056afe,coordinator_0,worker_3,NET_TRANSFER,9.789642,783.321339,Distribute Layer ID: a709fd11
46934.063321,1000,6c77f3d0-7eb8-4b52-a916-73baf0056afe,worker_3,worker_3,DISK_LOAD,9.789642,0.076482,"Disk -> RAM [Model: 6c77f3d0, Layer: a709fd11]"
46934.139803,1000,6c77f3d0-7eb8-4b52-a916-73baf0056afe,worker_3,worker_3,MEM_MOVE,9.789642,0.076482,"RAM -> VRAM [Model: 6c77f3d0, Layer: a709fd11]"
46934.189803,1000,6c77f3d0-7eb8-4b52-a916-73baf0056afe,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
46934.347803,1000,6c77f3d0-7eb8-4b52-a916-73baf0056afe,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
47385.421851,1000,6c77f3d0-7eb8-4b52-a916-73baf0056afe,coordinator_0,worker_4,NET_TRANSFER,5.636551,451.074048,Distribute Layer ID: f7a14a50
47385.465886,1000,6c77f3d0-7eb8-4b52-a916-73baf0056afe,worker_4,worker_4,DISK_LOAD,5.636551,0.044036,"Disk -> RAM [Model: 6c77f3d0, Layer: f7a14a50]"
47385.509922,1000,6c77f3d0-7eb8-4b52-a916-73baf0056afe,worker_4,worker_4,MEM_MOVE,5.636551,0.044036,"RAM -> VRAM [Model: 6c77f3d0, Layer: f7a14a50]"
47385.559922,1000,6c77f3d0-7eb8-4b52-a916-73baf0056afe,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
47385.717922,1000,6c77f3d0-7eb8-4b52-a916-73baf0056afe,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
47834.731703,1000,6c77f3d0-7eb8-4b52-a916-73baf0056afe,coordinator_0,worker_1,NET_TRANSFER,5.610797,449.013781,Distribute Layer ID: 70409f7f
47834.775537,1000,6c77f3d0-7eb8-4b52-a916-73baf0056afe,worker_1,worker_1,DISK_LOAD,5.610797,0.043834,"Disk -> RAM [Model: 6c77f3d0, Layer: 70409f7f]"
