VirtualTime_Sec,RequestID,ModelID,OriginNode,EndNode,Operation,Size_GB,Duration_Sec,Description
0.158000,10000,be0499a8-da69-4804-97d3-4c918954676a,client_10,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.316000,10000,be0499a8-da69-4804-97d3-4c918954676a,coordinator_0,client_10,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
36347.814499,10000,be0499a8-da69-4804-97d3-4c918954676a,client_10,coordinator_0,NET_TRANSFER,454.341856,36347.498499,Upload Model Weights
37475.755575,10000,be0499a8-da69-4804-97d3-4c918954676a,coordinator_0,worker_3,NET_TRANSFER,14.097388,1127.941076,Distribute Layer ID: c2b2b588
37475.865711,10000,be0499a8-da69-4804-97d3-4c918954676a,worker_3,worker_3,DISK_LOAD,14.097388,0.110136,"Disk -> RAM [Model: be0499a8, Layer: c2b2b588]"
37475.975847,10000,be0499a8-da69-4804-97d3-4c918954676a,worker_3,worker_3,MEM_MOVE,14.097388,0.110136,"RAM -> VRAM [Model: be0499a8, Layer: c2b2b588]"
37476.025847,10000,be0499a8-da69-4804-97d3-4c918954676a,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
37476.183847,10000,be0499a8-da69-4804-97d3-4c918954676a,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
38147.383730,10000,be0499a8-da69-4804-97d3-4c918954676a,coordinator_0,worker_4,NET_TRANSFER,8.388124,671.199883,Distribute Layer ID: 112be463
38147.449262,10000,be0499a8-da69-4804-97d3-4c918954676a,worker_4,worker_4,DISK_LOAD,8.388124,0.065532,"Disk -> RAM [Model: be0499a8, Layer: 112be463]"
38147.514794,10000,be0499a8-da69-4804-97d3-4c918954676a,worker_4,worker_4,MEM_MOVE,8.388124,0.065532,"RAM -> VRAM [Model: be0499a8, Layer: 112be463]"
38147.564794,10000,be0499a8-da69-4804-97d3-4c918954676a,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
38147.722794,10000,be0499a8-da69-4804-97d3-4c918954676a,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
39242.879295,10000,be0499a8-da69-4804-97d3-4c918954676a,coordinator_0,worker_1,NET_TRANSFER,13.687581,1095.156501,Distribute Layer ID: cc0e6f00
39242.986229,10000,be0499a8-da69-4804-97d3-4c918954676a,worker_1,worker_1,DISK_LOAD,13.687581,0.106934,"Disk -> RAM [Model: be0499a8, Layer: cc0e6f00]"
39243.093164,10000,be0499a8-da69-4804-97d3-4c918954676a,worker_1,worker_1,MEM_MOVE,13.687581,0.106934,"RAM -> VRAM [Model: be0499a8, Layer: cc0e6f00]"
39243.143164,10000,be0499a8-da69-4804-97d3-4c918954676a,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
39243.301164,10000,be0499a8-da69-4804-97d3-4c918954676a,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
40413.129862,10000,be0499a8-da69-4804-97d3-4c918954676a,coordinator_0,worker_2,NET_TRANSFER,14.620984,1169.828698,Distribute Layer ID: 87c086af
40413.244088,10000,be0499a8-da69-4804-97d3-4c918954676a,worker_2,worker_2,DISK_LOAD,14.620984,0.114226,"Disk -> RAM [Model: be0499a8, Layer: 87c086af]"
40413.358315,10000,be0499a8-da69-4804-97d3-4c918954676a,worker_2,worker_2,MEM_MOVE,14.620984,0.114226,"RAM -> VRAM [Model: be0499a8, Layer: 87c086af]"
40413.408315,10000,be0499a8-da69-4804-97d3-4c918954676a,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
40413.566315,10000,be0499a8-da69-4804-97d3-4c918954676a,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
41504.007068,10000,be0499a8-da69-4804-97d3-4c918954676a,coordinator_0,worker_3,NET_TRANSFER,13.628634,1090.440753,Distribute Layer ID: eec6fdb6
41504.113541,10000,be0499a8-da69-4804-97d3-4c918954676a,worker_3,worker_3,DISK_LOAD,13.628634,0.106474,"Disk -> RAM [Model: be0499a8, Layer: eec6fdb6]"
41504.220015,10000,be0499a8-da69-4804-97d3-4c918954676a,worker_3,worker_3,MEM_MOVE,13.628634,0.106474,"RAM -> VRAM [Model: be0499a8, Layer: eec6fdb6]"
41504.270015,10000,be0499a8-da69-4804-97d3-4c918954676a,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
41504.428015,10000,be0499a8-da69-4804-97d3-4c918954676a,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
41944.582826,10000,be0499a8-da69-4804-97d3-4c918954676a,coordinator_0,worker_4,NET_TRANSFER,5.500060,440.154811,Distribute Layer ID: f9ad7a89
41944.625796,10000,be0499a8-da69-4804-97d3-4c918954676a,worker_4,worker_4,DISK_LOAD,5.500060,0.042969,"Disk -> RAM [Model: be0499a8, Layer: f9ad7a89]"
41944.668765,10000,be0499a8-da69-4804-97d3-4c918954676a,worker_4,worker_4,MEM_MOVE,5.500060,0.042969,"RAM -> VRAM [Model: be0499a8, Layer: f9ad7a89]"
41944.718765,10000,be0499a8-da69-4804-97d3-4c918954676a,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
41944.876765,10000,be0499a8-da69-4804-97d3-4c918954676a,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
42718.172927,10000,be0499a8-da69-4804-97d3-4c918954676a,coordinator_0,worker_1,NET_TRANSFER,9.664327,773.296163,Distribute Layer ID: 556e9503
42718.248430,10000,be0499a8-da69-4804-97d3-4c918954676a,worker_1,worker_1,DISK_LOAD,9.664327,0.075503,"Disk -> RAM [Model: be0499a8, Layer: 556e9503]"
42718.323932,10000,be0499a8-da69-4804-97d3-4c918954676a,worker_1,worker_1,MEM_MOVE,9.664327,0.075503,"RAM -> VRAM [Model: be0499a8, Layer: 556e9503]"
42718.373932,10000,be0499a8-da69-4804-97d3-4c918954676a,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
42718.531932,10000,be0499a8-da69-4804-97d3-4c918954676a,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
43189.648505,10000,be0499a8-da69-4804-97d3-4c918954676a,coordinator_0,worker_2,NET_TRANSFER,5.887082,471.116572,Distribute Layer ID: c09c0f12
43189.694498,10000,be0499a8-da69-4804-97d3-4c918954676a,worker_2,worker_2,DISK_LOAD,5.887082,0.045993,"Disk -> RAM [Model: be0499a8, Layer: c09c0f12]"
43189.740490,10000,be0499a8-da69-4804-97d3-4c918954676a,worker_2,worker_2,MEM_MOVE,5.887082,0.045993,"RAM -> VRAM [Model: be0499a8, Layer: c09c0f12]"
43189.790490,10000,be0499a8-da69-4804-97d3-4c918954676a,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
43189.948490,10000,be0499a8-da69-4804-97d3-4c918954676a,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
43648.380738,10000,be0499a8-da69-4804-97d3-4c918954676a,coordinator_0,worker_3,NET_TRANSFER,5.728528,458.432247,Distribute Layer ID: 3120ef63
43648.425492,10000,be0499a8-da69-4804-97d3-4c918954676a,worker_3,worker_3,DISK_LOAD,5.728528,0.044754,"Disk -> RAM [Model: be0499a8, Layer: 3120ef63]"
43648.470246,10000,be0499a8-da69-4804-97d3-4c918954676a,worker_3,worker_3,MEM_MOVE,5.728528,0.044754,"RAM -> VRAM [Model: be0499a8, Layer: 3120ef63]"
43648.520246,10000,be0499a8-da69-4804-97d3-4c918954676a,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
43648.678246,10000,be0499a8-da69-4804-97d3-4c918954676a,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
