VirtualTime_Sec,RequestID,ModelID,OriginNode,EndNode,Operation,Size_GB,Duration_Sec,Description
0.158000,7001,a8add768-adf6-47ba-a344-75b64d79cbe2,coordinator_0,client_7,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
0.316000,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,client_10,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.474000,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,coordinator_0,client_10,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
32564.104844,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,client_10,coordinator_0,NET_TRANSFER,407.043511,32563.630844,Upload Model Weights
33335.189984,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,coordinator_0,worker_1,NET_TRANSFER,9.636689,771.085139,Distribute Layer ID: 9a4f6dbd
33335.265270,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_1,worker_1,DISK_LOAD,9.636689,0.075287,"Disk -> RAM [Model: fc6fe5b0, Layer: 9a4f6dbd]"
33335.340557,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_1,worker_1,MEM_MOVE,9.636689,0.075287,"RAM -> VRAM [Model: fc6fe5b0, Layer: 9a4f6dbd]"
33335.390557,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
33335.548557,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
34252.716189,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,coordinator_0,worker_2,NET_TRANSFER,11.462720,917.167632,Distribute Layer ID: f2bf8fa6
34252.805742,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_2,worker_2,DISK_LOAD,11.462720,0.089553,"Disk -> RAM [Model: fc6fe5b0, Layer: f2bf8fa6]"
34252.895294,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_2,worker_2,MEM_MOVE,11.462720,0.089553,"RAM -> VRAM [Model: fc6fe5b0, Layer: f2bf8fa6]"
34252.945294,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
34253.103294,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
35214.530107,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,coordinator_0,worker_3,NET_TRANSFER,12.015960,961.426812,Distribute Layer ID: 0dad47c3
35214.623981,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_3,worker_3,DISK_LOAD,12.015960,0.093875,"Disk -> RAM [Model: fc6fe5b0, Layer: 0dad47c3]"
35214.717856,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_3,worker_3,MEM_MOVE,12.015960,0.093875,"RAM -> VRAM [Model: fc6fe5b0, Layer: 0dad47c3]"
35214.767856,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
35214.925856,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
36173.513987,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,coordinator_0,worker_4,NET_TRANSFER,11.980477,958.588131,Distribute Layer ID: feaef108
36173.607584,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_4,worker_4,DISK_LOAD,11.980477,0.093597,"Disk -> RAM [Model: fc6fe5b0, Layer: feaef108]"
36173.701182,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_4,worker_4,MEM_MOVE,11.980477,0.093597,"RAM -> VRAM [Model: fc6fe5b0, Layer: feaef108]"
36173.751182,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
36173.909182,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
36779.668747,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,coordinator_0,worker_1,NET_TRANSFER,7.570120,605.759565,Distribute Layer ID: 6e244c2b
36779.727888,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_1,worker_1,DISK_LOAD,7.570120,0.059142,"Disk -> RAM [Model: fc6fe5b0, Layer: 6e244c2b]"
36779.787030,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_1,worker_1,MEM_MOVE,7.570120,0.059142,"RAM -> VRAM [Model: fc6fe5b0, Layer: 6e244c2b]"
36779.837030,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
36779.995030,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
37602.864043,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,coordinator_0,worker_2,NET_TRANSFER,10.283988,822.869013,Distribute Layer ID: b079cc01
37602.944387,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_2,worker_2,DISK_LOAD,10.283988,0.080344,"Disk -> RAM [Model: fc6fe5b0, Layer: b079cc01]"
37603.024730,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_2,worker_2,MEM_MOVE,10.283988,0.080344,"RAM -> VRAM [Model: fc6fe5b0, Layer: b079cc01]"
37603.074730,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
37603.232730,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
38352.812750,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,coordinator_0,worker_3,NET_TRANSFER,9.367875,749.580020,Distribute Layer ID: b70f620e
38352.885936,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_3,worker_3,DISK_LOAD,9.367875,0.073187,"Disk -> RAM [Model: fc6fe5b0, Layer: b70f620e]"
38352.959123,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_3,worker_3,MEM_MOVE,9.367875,0.073187,"RAM -> VRAM [Model: fc6fe5b0, Layer: b70f620e]"
38353.009123,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
38353.167123,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
39498.591436,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,coordinator_0,worker_4,NET_TRANSFER,14.315929,1145.424313,Distribute Layer ID: e221fc6f
39498.703280,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_4,worker_4,DISK_LOAD,14.315929,0.111843,"Disk -> RAM [Model: fc6fe5b0, Layer: e221fc6f]"
39498.815123,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_4,worker_4,MEM_MOVE,14.315929,0.111843,"RAM -> VRAM [Model: fc6fe5b0, Layer: e221fc6f]"
39498.865123,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
39499.023123,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
40097.691402,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,coordinator_0,worker_1,NET_TRANSFER,7.481478,598.668280,Distribute Layer ID: 48e9ef78
40097.749851,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_1,worker_1,DISK_LOAD,7.481478,0.058449,"Disk -> RAM [Model: fc6fe5b0, Layer: 48e9ef78]"
40097.808300,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_1,worker_1,MEM_MOVE,7.481478,0.058449,"RAM -> VRAM [Model: fc6fe5b0, Layer: 48e9ef78]"
40097.858300,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
40098.016300,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
41132.891412,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,coordinator_0,worker_2,NET_TRANSFER,12.934064,1034.875112,Distribute Layer ID: a081571a
41132.992460,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_2,worker_2,DISK_LOAD,12.934064,0.101047,"Disk -> RAM [Model: fc6fe5b0, Layer: a081571a]"
41133.093507,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_2,worker_2,MEM_MOVE,12.934064,0.101047,"RAM -> VRAM [Model: fc6fe5b0, Layer: a081571a]"
41133.143507,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
41133.301507,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
42176.536653,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,coordinator_0,worker_3,NET_TRANSFER,13.038564,1043.235146,Distribute Layer ID: b2de4c85
42176.638517,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_3,worker_3,DISK_LOAD,13.038564,0.101864,"Disk -> RAM [Model: fc6fe5b0, Layer: b2de4c85]"
42176.740381,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_3,worker_3,MEM_MOVE,13.038564,0.101864,"RAM -> VRAM [Model: fc6fe5b0, Layer: b2de4c85]"
42176.790381,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
42176.948381,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
42579.066381,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,coordinator_0,worker_4,NET_TRANSFER,5.024600,402.118000,Distribute Layer ID: d6958d3f
42579.105636,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_4,worker_4,DISK_LOAD,5.024600,0.039255,"Disk -> RAM [Model: fc6fe5b0, Layer: d6958d3f]"
42579.144890,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_4,worker_4,MEM_MOVE,5.024600,0.039255,"RAM -> VRAM [Model: fc6fe5b0, Layer: d6958d3f]"
42579.194890,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
42579.352890,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
43739.012062,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,coordinator_0,worker_1,NET_TRANSFER,14.493865,1159.659171,Distribute Layer ID: 8251c151
43739.125295,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_1,worker_1,DISK_LOAD,14.493865,0.113233,"Disk -> RAM [Model: fc6fe5b0, Layer: 8251c151]"
43739.238528,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_1,worker_1,MEM_MOVE,14.493865,0.113233,"RAM -> VRAM [Model: fc6fe5b0, Layer: 8251c151]"
43739.288528,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
43739.446528,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
44267.143079,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,coordinator_0,worker_2,NET_TRANSFER,6.594332,527.696551,Distribute Layer ID: dab1b88c
44267.194598,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_2,worker_2,DISK_LOAD,6.594332,0.051518,"Disk -> RAM [Model: fc6fe5b0, Layer: dab1b88c]"
44267.246116,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_2,worker_2,MEM_MOVE,6.594332,0.051518,"RAM -> VRAM [Model: fc6fe5b0, Layer: dab1b88c]"
44267.296116,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
44267.454116,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
45152.522524,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,coordinator_0,worker_3,NET_TRANSFER,11.061480,885.068408,Distribute Layer ID: 76f184c0
45152.608941,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_3,worker_3,DISK_LOAD,11.061480,0.086418,"Disk -> RAM [Model: fc6fe5b0, Layer: 76f184c0]"
45152.695359,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_3,worker_3,MEM_MOVE,11.061480,0.086418,"RAM -> VRAM [Model: fc6fe5b0, Layer: 76f184c0]"
45152.745359,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
45152.903359,10003,fc6fe5b0-5b7c-4e7d-ab33-d963475a062a,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
