VirtualTime_Sec,RequestID,ModelID,OriginNode,EndNode,Operation,Size_GB,Duration_Sec,Description
0.158000,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,client_10,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.316000,4000,cbb6438a-c403-4c54-99d0-bee0acd7b778,coordinator_0,client_4,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
0.474000,9000,a2d0748b-36ca-451a-a0ca-5f31bbb86d5a,client_9,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.632000,4000,cbb6438a-c403-4c54-99d0-bee0acd7b778,client_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.790000,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,coordinator_0,client_10,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
27199.752214,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,client_10,coordinator_0,NET_TRANSFER,339.985153,27198.962214,Upload Model Weights
27199.910214,7000,7ae1c211-0fe0-4f9d-a33a-75ba883455b4,client_7,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
27901.543732,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,coordinator_0,worker_2,NET_TRANSFER,8.768544,701.633518,Distribute Layer ID: a1321be1
27901.701732,3000,9275a357-8b60-4a1b-b117-a933efd24456,client_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
27901.770236,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_2,worker_2,DISK_LOAD,8.768544,0.068504,"Disk -> RAM [Model: 056c2e70, Layer: a1321be1]"
27901.838741,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_2,worker_2,MEM_MOVE,8.768544,0.068504,"RAM -> VRAM [Model: 056c2e70, Layer: a1321be1]"
27901.888741,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
27902.046741,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
28331.287352,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,coordinator_0,worker_3,NET_TRANSFER,5.363633,429.240612,Distribute Layer ID: 7208b4f8
28331.329256,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_3,worker_3,DISK_LOAD,5.363633,0.041903,"Disk -> RAM [Model: 056c2e70, Layer: 7208b4f8]"
28331.371159,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_3,worker_3,MEM_MOVE,5.363633,0.041903,"RAM -> VRAM [Model: 056c2e70, Layer: 7208b4f8]"
28331.421159,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
28331.579159,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
28949.785007,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,coordinator_0,worker_4,NET_TRANSFER,7.725698,618.205847,Distribute Layer ID: 844a2523
28949.845364,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_4,worker_4,DISK_LOAD,7.725698,0.060357,"Disk -> RAM [Model: 056c2e70, Layer: 844a2523]"
28949.905721,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_4,worker_4,MEM_MOVE,7.725698,0.060357,"RAM -> VRAM [Model: 056c2e70, Layer: 844a2523]"
28949.955721,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
28950.113721,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
29712.143123,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,coordinator_0,worker_1,NET_TRANSFER,9.523493,762.029403,Distribute Layer ID: 5f020f24
29712.217525,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_1,worker_1,DISK_LOAD,9.523493,0.074402,"Disk -> RAM [Model: 056c2e70, Layer: 5f020f24]"
29712.291928,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_1,worker_1,MEM_MOVE,9.523493,0.074402,"RAM -> VRAM [Model: 056c2e70, Layer: 5f020f24]"
29712.341928,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
29712.499928,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
30109.186878,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,coordinator_0,worker_2,NET_TRANSFER,4.956712,396.686950,Distribute Layer ID: 37a5eb05
30109.225602,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_2,worker_2,DISK_LOAD,4.956712,0.038724,"Disk -> RAM [Model: 056c2e70, Layer: 37a5eb05]"
30109.264326,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_2,worker_2,MEM_MOVE,4.956712,0.038724,"RAM -> VRAM [Model: 056c2e70, Layer: 37a5eb05]"
30109.314326,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
30109.472326,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
30744.103001,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,coordinator_0,worker_3,NET_TRANSFER,7.931008,634.630674,Distribute Layer ID: 6b3c9fca
30744.164962,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_3,worker_3,DISK_LOAD,7.931008,0.061961,"Disk -> RAM [Model: 056c2e70, Layer: 6b3c9fca]"
30744.226923,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_3,worker_3,MEM_MOVE,7.931008,0.061961,"RAM -> VRAM [Model: 056c2e70, Layer: 6b3c9fca]"
30744.276923,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
30744.434923,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
31785.232439,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,coordinator_0,worker_4,NET_TRANSFER,13.008094,1040.797517,Distribute Layer ID: 3828eebf
31785.334065,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_4,worker_4,DISK_LOAD,13.008094,0.101626,"Disk -> RAM [Model: 056c2e70, Layer: 3828eebf]"
31785.435691,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_4,worker_4,MEM_MOVE,13.008094,0.101626,"RAM -> VRAM [Model: 056c2e70, Layer: 3828eebf]"
31785.485691,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
31785.643691,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
32466.690099,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,coordinator_0,worker_1,NET_TRANSFER,8.511205,681.046408,Distribute Layer ID: 65d9545f
32466.756593,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_1,worker_1,DISK_LOAD,8.511205,0.066494,"Disk -> RAM [Model: 056c2e70, Layer: 65d9545f]"
32466.823087,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_1,worker_1,MEM_MOVE,8.511205,0.066494,"RAM -> VRAM [Model: 056c2e70, Layer: 65d9545f]"
32466.873087,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
32467.031087,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
33051.819495,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,coordinator_0,worker_2,NET_TRANSFER,7.307980,584.788408,Distribute Layer ID: 4b777ae8
33051.876589,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_2,worker_2,DISK_LOAD,7.307980,0.057094,"Disk -> RAM [Model: 056c2e70, Layer: 4b777ae8]"
33051.933682,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_2,worker_2,MEM_MOVE,7.307980,0.057094,"RAM -> VRAM [Model: 056c2e70, Layer: 4b777ae8]"
33051.983682,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
33052.141682,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
33575.788560,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,coordinator_0,worker_3,NET_TRANSFER,6.543711,523.646878,Distribute Layer ID: 4bc4a253
33575.839683,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_3,worker_3,DISK_LOAD,6.543711,0.051123,"Disk -> RAM [Model: 056c2e70, Layer: 4bc4a253]"
33575.890806,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_3,worker_3,MEM_MOVE,6.543711,0.051123,"RAM -> VRAM [Model: 056c2e70, Layer: 4bc4a253]"
33575.940806,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
33576.098806,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
34402.676360,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,coordinator_0,worker_4,NET_TRANSFER,10.330344,826.577554,Distribute Layer ID: 875933a0
34402.757066,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_4,worker_4,DISK_LOAD,10.330344,0.080706,"Disk -> RAM [Model: 056c2e70, Layer: 875933a0]"
34402.837772,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_4,worker_4,MEM_MOVE,10.330344,0.080706,"RAM -> VRAM [Model: 056c2e70, Layer: 875933a0]"
34402.887772,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
34403.045772,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
35179.124589,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,coordinator_0,worker_1,NET_TRANSFER,9.699110,776.078818,Distribute Layer ID: 8820387c
35179.200363,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_1,worker_1,DISK_LOAD,9.699110,0.075774,"Disk -> RAM [Model: 056c2e70, Layer: 8820387c]"
35179.276138,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_1,worker_1,MEM_MOVE,9.699110,0.075774,"RAM -> VRAM [Model: 056c2e70, Layer: 8820387c]"
35179.326138,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
35179.484138,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
36047.267496,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,coordinator_0,worker_2,NET_TRANSFER,10.845417,867.783359,Distribute Layer ID: 118efb84
36047.352226,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_2,worker_2,DISK_LOAD,10.845417,0.084730,"Disk -> RAM [Model: 056c2e70, Layer: 118efb84]"
36047.436956,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_2,worker_2,MEM_MOVE,10.845417,0.084730,"RAM -> VRAM [Model: 056c2e70, Layer: 118efb84]"
36047.486956,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
36047.644956,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
37008.459275,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,coordinator_0,worker_3,NET_TRANSFER,12.008304,960.814319,Distribute Layer ID: 59952dc8
37008.553090,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_3,worker_3,DISK_LOAD,12.008304,0.093815,"Disk -> RAM [Model: 056c2e70, Layer: 59952dc8]"
37008.646905,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_3,worker_3,MEM_MOVE,12.008304,0.093815,"RAM -> VRAM [Model: 056c2e70, Layer: 59952dc8]"
37008.696905,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
37008.854905,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
38176.260358,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,coordinator_0,worker_4,NET_TRANSFER,14.590693,1167.405453,Distribute Layer ID: e6b674e1
38176.374348,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_4,worker_4,DISK_LOAD,14.590693,0.113990,"Disk -> RAM [Model: 056c2e70, Layer: e6b674e1]"
38176.488338,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_4,worker_4,MEM_MOVE,14.590693,0.113990,"RAM -> VRAM [Model: 056c2e70, Layer: e6b674e1]"
38176.538338,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
38176.696338,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
38709.691444,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,coordinator_0,worker_1,NET_TRANSFER,6.660564,532.995106,Distribute Layer ID: 5d4b673b
38709.743479,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_1,worker_1,DISK_LOAD,6.660564,0.052036,"Disk -> RAM [Model: 056c2e70, Layer: 5d4b673b]"
38709.795515,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_1,worker_1,MEM_MOVE,6.660564,0.052036,"RAM -> VRAM [Model: 056c2e70, Layer: 5d4b673b]"
38709.845515,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
38710.003515,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
39168.158902,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,coordinator_0,worker_2,NET_TRANSFER,5.725067,458.155387,Distribute Layer ID: 780d15df
39168.203629,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_2,worker_2,DISK_LOAD,5.725067,0.044727,"Disk -> RAM [Model: 056c2e70, Layer: 780d15df]"
39168.248356,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_2,worker_2,MEM_MOVE,5.725067,0.044727,"RAM -> VRAM [Model: 056c2e70, Layer: 780d15df]"
39168.298356,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
39168.456356,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
39841.125872,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,coordinator_0,worker_3,NET_TRANSFER,8.406494,672.669516,Distribute Layer ID: 3bd7a604
39841.191548,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_3,worker_3,DISK_LOAD,8.406494,0.065676,"Disk -> RAM [Model: 056c2e70, Layer: 3bd7a604]"
39841.257224,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_3,worker_3,MEM_MOVE,8.406494,0.065676,"RAM -> VRAM [Model: 056c2e70, Layer: 3bd7a604]"
39841.307224,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
39841.465224,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
40329.208006,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,coordinator_0,worker_4,NET_TRANSFER,6.094910,487.742782,Distribute Layer ID: c8eb5e62
40329.255622,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_4,worker_4,DISK_LOAD,6.094910,0.047616,"Disk -> RAM [Model: 056c2e70, Layer: c8eb5e62]"
40329.303239,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_4,worker_4,MEM_MOVE,6.094910,0.047616,"RAM -> VRAM [Model: 056c2e70, Layer: c8eb5e62]"
40329.353239,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
40329.511239,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
41460.558768,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,coordinator_0,worker_1,NET_TRANSFER,14.136219,1131.047530,Distribute Layer ID: 94f660c7
41460.669207,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_1,worker_1,DISK_LOAD,14.136219,0.110439,"Disk -> RAM [Model: 056c2e70, Layer: 94f660c7]"
41460.779647,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_1,worker_1,MEM_MOVE,14.136219,0.110439,"RAM -> VRAM [Model: 056c2e70, Layer: 94f660c7]"
41460.829647,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
41460.987647,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
42162.899813,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,coordinator_0,worker_2,NET_TRANSFER,8.772027,701.912167,Distribute Layer ID: a706d7c3
42162.968345,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_2,worker_2,DISK_LOAD,8.772027,0.068531,"Disk -> RAM [Model: 056c2e70, Layer: a706d7c3]"
42163.036876,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_2,worker_2,MEM_MOVE,8.772027,0.068531,"RAM -> VRAM [Model: 056c2e70, Layer: a706d7c3]"
42163.086876,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
42163.244876,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
42703.918286,10000,056c2e70-c32b-4b9f-8f22-1498a53a2b9f,coordinator_0,worker_3,NET_TRANSFER,6.756543,540.673410,Distribute Layer ID: f42385fe
