VirtualTime_Sec,RequestID,ModelID,OriginNode,EndNode,Operation,Size_GB,Duration_Sec,Description
0.158000,1000,616386c2-9ca7-42d3-b349-72692aa06303,client_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.316000,1000,616386c2-9ca7-42d3-b349-72692aa06303,coordinator_0,client_1,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
43192.756285,1000,616386c2-9ca7-42d3-b349-72692aa06303,client_1,coordinator_0,NET_TRANSFER,539.903629,43192.440285,Upload Model Weights
43192.914285,10000,91434322-60da-43ee-9f0b-98e5dc50a596,client_10,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
43193.072285,10000,6f3917c0-32bc-488f-b563-a3f9f0b8a32c,client_10,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
43193.230285,7000,3125f94a-ac9d-459e-bc9b-1b5f0c9304b9,client_7,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
44172.346569,1000,616386c2-9ca7-42d3-b349-72692aa06303,coordinator_0,worker_2,NET_TRANSFER,12.237079,979.116284,Distribute Layer ID: 9030f5f7
44172.442171,1000,616386c2-9ca7-42d3-b349-72692aa06303,worker_2,worker_2,DISK_LOAD,12.237079,0.095602,"Disk -> RAM [Model: 616386c2, Layer: 9030f5f7]"
44172.537774,1000,616386c2-9ca7-42d3-b349-72692aa06303,worker_2,worker_2,MEM_MOVE,12.237079,0.095602,"RAM -> VRAM [Model: 616386c2, Layer: 9030f5f7]"
44172.587774,1000,616386c2-9ca7-42d3-b349-72692aa06303,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
44172.745774,1000,616386c2-9ca7-42d3-b349-72692aa06303,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
44917.752457,1000,616386c2-9ca7-42d3-b349-72692aa06303,coordinator_0,worker_3,NET_TRANSFER,9.310709,745.006684,Distribute Layer ID: fe28254d
44917.825197,1000,616386c2-9ca7-42d3-b349-72692aa06303,worker_3,worker_3,DISK_LOAD,9.310709,0.072740,"Disk -> RAM [Model: 616386c2, Layer: fe28254d]"
44917.897937,1000,616386c2-9ca7-42d3-b349-72692aa06303,worker_3,worker_3,MEM_MOVE,9.310709,0.072740,"RAM -> VRAM [Model: 616386c2, Layer: fe28254d]"
44917.947937,1000,616386c2-9ca7-42d3-b349-72692aa06303,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
44918.105937,1000,616386c2-9ca7-42d3-b349-72692aa06303,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
45737.418331,1000,616386c2-9ca7-42d3-b349-72692aa06303,coordinator_0,worker_4,NET_TRANSFER,10.239530,819.312394,Distribute Layer ID: f0c078a8
