VirtualTime_Sec,RequestID,ModelID,OriginNode,EndNode,Operation,Size_GB,Duration_Sec,Description
0.158000,10000,a19cfd93-bfea-45ae-bd1f-133777c7975b,client_10,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.316000,7000,eadfe85e-9c69-4ecd-8db0-c82ef1586625,client_7,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.474000,10000,a19cfd93-bfea-45ae-bd1f-133777c7975b,coordinator_0,client_10,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
28266.203192,10000,a19cfd93-bfea-45ae-bd1f-133777c7975b,client_10,coordinator_0,NET_TRANSFER,353.319740,28265.729192,Upload Model Weights
29119.743301,10000,a19cfd93-bfea-45ae-bd1f-133777c7975b,coordinator_0,worker_2,NET_TRANSFER,10.667376,853.540109,Distribute Layer ID: 78170570
29119.826640,10000,a19cfd93-bfea-45ae-bd1f-133777c7975b,worker_2,worker_2,DISK_LOAD,10.667376,0.083339,"Disk -> RAM [Model: a19cfd93, Layer: 78170570]"
29119.909979,10000,a19cfd93-bfea-45ae-bd1f-133777c7975b,worker_2,worker_2,MEM_MOVE,10.667376,0.083339,"RAM -> VRAM [Model: a19cfd93, Layer: 78170570]"
29119.959979,10000,a19cfd93-bfea-45ae-bd1f-133777c7975b,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
29120.117979,10000,a19cfd93-bfea-45ae-bd1f-133777c7975b,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
30218.950873,10000,a19cfd93-bfea-45ae-bd1f-133777c7975b,coordinator_0,worker_3,NET_TRANSFER,13.733536,1098.832894,Distribute Layer ID: a8d43335
30219.058166,10000,a19cfd93-bfea-45ae-bd1f-133777c7975b,worker_3,worker_3,DISK_LOAD,13.733536,0.107293,"Disk -> RAM [Model: a19cfd93, Layer: a8d43335]"
30219.165459,10000,a19cfd93-bfea-45ae-bd1f-133777c7975b,worker_3,worker_3,MEM_MOVE,13.733536,0.107293,"RAM -> VRAM [Model: a19cfd93, Layer: a8d43335]"
30219.215459,10000,a19cfd93-bfea-45ae-bd1f-133777c7975b,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
30219.373459,10000,a19cfd93-bfea-45ae-bd1f-133777c7975b,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
30700.866896,10000,a19cfd93-bfea-45ae-bd1f-133777c7975b,coordinator_0,worker_4,NET_TRANSFER,6.016793,481.493436,Distribute Layer ID: 6e7bd709
30700.913902,10000,a19cfd93-bfea-45ae-bd1f-133777c7975b,worker_4,worker_4,DISK_LOAD,6.016793,0.047006,"Disk -> RAM [Model: a19cfd93, Layer: 6e7bd709]"
30700.960908,10000,a19cfd93-bfea-45ae-bd1f-133777c7975b,worker_4,worker_4,MEM_MOVE,6.016793,0.047006,"RAM -> VRAM [Model: a19cfd93, Layer: 6e7bd709]"
30701.010908,10000,a19cfd93-bfea-45ae-bd1f-133777c7975b,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
30701.168908,10000,a19cfd93-bfea-45ae-bd1f-133777c7975b,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
31704.428159,10000,a19cfd93-bfea-45ae-bd1f-133777c7975b,coordinator_0,worker_1,NET_TRANSFER,12.538866,1003.259250,Distribute Layer ID: c27a89d5
31704.526119,10000,a19cfd93-bfea-45ae-bd1f-133777c7975b,worker_1,worker_1,DISK_LOAD,12.538866,0.097960,"Disk -> RAM [Model: a19cfd93, Layer: c27a89d5]"
