VirtualTime_Sec,RequestID,ModelID,OriginNode,EndNode,Operation,Size_GB,Duration_Sec,Description
0.158000,10000,cfe77d65-2365-44a6-b901-a14c8d98dd58,client_10,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.316000,10000,cfe77d65-2365-44a6-b901-a14c8d98dd58,coordinator_0,client_10,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
31397.348345,10000,cfe77d65-2365-44a6-b901-a14c8d98dd58,client_10,coordinator_0,NET_TRANSFER,392.461029,31397.032345,Upload Model Weights
32341.914352,10000,cfe77d65-2365-44a6-b901-a14c8d98dd58,coordinator_0,worker_4,NET_TRANSFER,11.805200,944.566008,Distribute Layer ID: 546cf748
32342.006581,10000,cfe77d65-2365-44a6-b901-a14c8d98dd58,worker_4,worker_4,DISK_LOAD,11.805200,0.092228,"Disk -> RAM [Model: cfe77d65, Layer: 546cf748]"
32342.098809,10000,cfe77d65-2365-44a6-b901-a14c8d98dd58,worker_4,worker_4,MEM_MOVE,11.805200,0.092228,"RAM -> VRAM [Model: cfe77d65, Layer: 546cf748]"
32342.148809,10000,cfe77d65-2365-44a6-b901-a14c8d98dd58,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
32342.306809,10000,cfe77d65-2365-44a6-b901-a14c8d98dd58,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
33210.366609,10000,cfe77d65-2365-44a6-b901-a14c8d98dd58,coordinator_0,worker_1,NET_TRANSFER,10.848873,868.059801,Distribute Layer ID: ae880b81
33210.451366,10000,cfe77d65-2365-44a6-b901-a14c8d98dd58,worker_1,worker_1,DISK_LOAD,10.848873,0.084757,"Disk -> RAM [Model: cfe77d65, Layer: ae880b81]"
33210.536123,10000,cfe77d65-2365-44a6-b901-a14c8d98dd58,worker_1,worker_1,MEM_MOVE,10.848873,0.084757,"RAM -> VRAM [Model: cfe77d65, Layer: ae880b81]"
33210.586123,10000,cfe77d65-2365-44a6-b901-a14c8d98dd58,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
33210.744123,10000,cfe77d65-2365-44a6-b901-a14c8d98dd58,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
34252.628145,10000,cfe77d65-2365-44a6-b901-a14c8d98dd58,coordinator_0,worker_2,NET_TRANSFER,13.021675,1041.884022,Distribute Layer ID: d3d87a67
34252.729877,10000,cfe77d65-2365-44a6-b901-a14c8d98dd58,worker_2,worker_2,DISK_LOAD,13.021675,0.101732,"Disk -> RAM [Model: cfe77d65, Layer: d3d87a67]"
34252.831609,10000,cfe77d65-2365-44a6-b901-a14c8d98dd58,worker_2,worker_2,MEM_MOVE,13.021675,0.101732,"RAM -> VRAM [Model: cfe77d65, Layer: d3d87a67]"
34252.881609,10000,cfe77d65-2365-44a6-b901-a14c8d98dd58,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
34253.039609,10000,cfe77d65-2365-44a6-b901-a14c8d98dd58,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
