VirtualTime_Sec,RequestID,ModelID,OriginNode,EndNode,Operation,Size_GB,Duration_Sec,Description
0.158000,7007,2ff98373-611b-4045-a270-4934ed3f9b46,client_7,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.316000,1007,a7ed3ee4-fd90-42fe-a227-4bda34f75be3,client_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.474000,7007,2ff98373-611b-4045-a270-4934ed3f9b46,coordinator_0,client_7,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
31567.682643,7007,2ff98373-611b-4045-a270-4934ed3f9b46,client_7,coordinator_0,NET_TRANSFER,394.588233,31567.208643,Upload Model Weights
32279.439943,7007,2ff98373-611b-4045-a270-4934ed3f9b46,coordinator_0,worker_4,NET_TRANSFER,8.895091,711.757299,Distribute Layer ID: 5bb2ee10
32279.509435,7007,2ff98373-611b-4045-a270-4934ed3f9b46,worker_4,worker_4,DISK_LOAD,8.895091,0.069493,"Disk -> RAM [Model: 2ff98373, Layer: 5bb2ee10]"
32279.578928,7007,2ff98373-611b-4045-a270-4934ed3f9b46,worker_4,worker_4,MEM_MOVE,8.895091,0.069493,"RAM -> VRAM [Model: 2ff98373, Layer: 5bb2ee10]"
32279.628928,7007,2ff98373-611b-4045-a270-4934ed3f9b46,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
32279.786928,7007,2ff98373-611b-4045-a270-4934ed3f9b46,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
33357.282904,7007,2ff98373-611b-4045-a270-4934ed3f9b46,coordinator_0,worker_1,NET_TRANSFER,13.466825,1077.495976,Distribute Layer ID: d3613735
33357.388114,7007,2ff98373-611b-4045-a270-4934ed3f9b46,worker_1,worker_1,DISK_LOAD,13.466825,0.105210,"Disk -> RAM [Model: 2ff98373, Layer: d3613735]"
33357.493323,7007,2ff98373-611b-4045-a270-4934ed3f9b46,worker_1,worker_1,MEM_MOVE,13.466825,0.105210,"RAM -> VRAM [Model: 2ff98373, Layer: d3613735]"
33357.543323,7007,2ff98373-611b-4045-a270-4934ed3f9b46,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
33357.701323,7007,2ff98373-611b-4045-a270-4934ed3f9b46,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
