VirtualTime_Sec,RequestID,ModelID,OriginNode,EndNode,Operation,Size_GB,Duration_Sec,Description
0.158000,10000,04f1f01b-9ea0-4ce9-8135-1f9839b81bfc,client_10,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.316000,4000,a777de69-1dca-4c39-ac11-c302075b4108,coordinator_0,client_4,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
0.474000,10000,04f1f01b-9ea0-4ce9-8135-1f9839b81bfc,coordinator_0,client_10,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
35757.523553,10000,04f1f01b-9ea0-4ce9-8135-1f9839b81bfc,client_10,coordinator_0,NET_TRANSFER,446.961244,35757.049553,Upload Model Weights
36932.899630,10000,04f1f01b-9ea0-4ce9-8135-1f9839b81bfc,coordinator_0,worker_1,NET_TRANSFER,14.690326,1175.376077,Distribute Layer ID: 7423c413
36933.014398,10000,04f1f01b-9ea0-4ce9-8135-1f9839b81bfc,worker_1,worker_1,DISK_LOAD,14.690326,0.114768,"Disk -> RAM [Model: 04f1f01b, Layer: 7423c413]"
36933.129166,10000,04f1f01b-9ea0-4ce9-8135-1f9839b81bfc,worker_1,worker_1,MEM_MOVE,14.690326,0.114768,"RAM -> VRAM [Model: 04f1f01b, Layer: 7423c413]"
36933.179166,10000,04f1f01b-9ea0-4ce9-8135-1f9839b81bfc,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
36933.337166,10000,04f1f01b-9ea0-4ce9-8135-1f9839b81bfc,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
37951.204428,10000,04f1f01b-9ea0-4ce9-8135-1f9839b81bfc,coordinator_0,worker_2,NET_TRANSFER,12.721466,1017.867262,Distribute Layer ID: 8858319a
37951.303815,10000,04f1f01b-9ea0-4ce9-8135-1f9839b81bfc,worker_2,worker_2,DISK_LOAD,12.721466,0.099386,"Disk -> RAM [Model: 04f1f01b, Layer: 8858319a]"
37951.403201,10000,04f1f01b-9ea0-4ce9-8135-1f9839b81bfc,worker_2,worker_2,MEM_MOVE,12.721466,0.099386,"RAM -> VRAM [Model: 04f1f01b, Layer: 8858319a]"
37951.453201,10000,04f1f01b-9ea0-4ce9-8135-1f9839b81bfc,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
37951.611201,10000,04f1f01b-9ea0-4ce9-8135-1f9839b81bfc,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
38572.157435,10000,04f1f01b-9ea0-4ce9-8135-1f9839b81bfc,coordinator_0,worker_3,NET_TRANSFER,7.754953,620.546234,Distribute Layer ID: 7cbcb036
38572.218021,10000,04f1f01b-9ea0-4ce9-8135-1f9839b81bfc,worker_3,worker_3,DISK_LOAD,7.754953,0.060586,"Disk -> RAM [Model: 04f1f01b, Layer: 7cbcb036]"
38572.278607,10000,04f1f01b-9ea0-4ce9-8135-1f9839b81bfc,worker_3,worker_3,MEM_MOVE,7.754953,0.060586,"RAM -> VRAM [Model: 04f1f01b, Layer: 7cbcb036]"
38572.328607,10000,04f1f01b-9ea0-4ce9-8135-1f9839b81bfc,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
38572.486607,10000,04f1f01b-9ea0-4ce9-8135-1f9839b81bfc,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
39122.960218,10000,04f1f01b-9ea0-4ce9-8135-1f9839b81bfc,coordinator_0,worker_4,NET_TRANSFER,6.879045,550.473612,Distribute Layer ID: dbbb19a3
39123.118218,5000,6a19c717-9179-4a8d-b37e-6ee3c55af699,client_5,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
39123.276218,10001,32023d51-c3bd-4d8d-9991-3eda73d3951d,client_10,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
39123.434218,10001,88f3bbc6-8d69-444c-aa50-09be0d3c2be6,client_10,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
39123.592218,6000,1e440cc5-c7c0-4db9-bacb-8ddb42b333a9,client_6,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
39123.750218,7000,848dcef7-7771-42b9-beab-6a02b727bfbf,client_7,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
