VirtualTime_Sec,RequestID,ModelID,OriginNode,EndNode,Operation,Size_GB,Duration_Sec,Description
0.158000,4000,bd1d931a-3f44-49b4-b17c-3212f73dd09c,client_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.316000,2000,e8409248-cbae-4443-bb7f-45ae54d83618,coordinator_0,client_2,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
0.474000,1000,add86fba-6a2d-4191-a9ec-79c9fca0f178,client_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.632000,2000,e8409248-cbae-4443-bb7f-45ae54d83618,client_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.790000,4000,bd1d931a-3f44-49b4-b17c-3212f73dd09c,coordinator_0,client_4,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
30443.931854,4000,bd1d931a-3f44-49b4-b17c-3212f73dd09c,client_4,coordinator_0,NET_TRANSFER,380.537398,30443.141854,Upload Model Weights
31062.862450,4000,bd1d931a-3f44-49b4-b17c-3212f73dd09c,coordinator_0,worker_2,NET_TRANSFER,7.734757,618.930596,Distribute Layer ID: 189d035a
31062.922878,4000,bd1d931a-3f44-49b4-b17c-3212f73dd09c,worker_2,worker_2,DISK_LOAD,7.734757,0.060428,"Disk -> RAM [Model: bd1d931a, Layer: 189d035a]"
31062.983306,4000,bd1d931a-3f44-49b4-b17c-3212f73dd09c,worker_2,worker_2,MEM_MOVE,7.734757,0.060428,"RAM -> VRAM [Model: bd1d931a, Layer: 189d035a]"
31063.033306,4000,bd1d931a-3f44-49b4-b17c-3212f73dd09c,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
31063.191306,4000,bd1d931a-3f44-49b4-b17c-3212f73dd09c,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
31869.029371,4000,bd1d931a-3f44-49b4-b17c-3212f73dd09c,coordinator_0,worker_3,NET_TRANSFER,10.071101,805.838065,Distribute Layer ID: b1c7fc2f
31869.108051,4000,bd1d931a-3f44-49b4-b17c-3212f73dd09c,worker_3,worker_3,DISK_LOAD,10.071101,0.078680,"Disk -> RAM [Model: bd1d931a, Layer: b1c7fc2f]"
31869.186732,4000,bd1d931a-3f44-49b4-b17c-3212f73dd09c,worker_3,worker_3,MEM_MOVE,10.071101,0.078680,"RAM -> VRAM [Model: bd1d931a, Layer: b1c7fc2f]"
31869.236732,4000,bd1d931a-3f44-49b4-b17c-3212f73dd09c,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
31869.394732,10000,2721d063-d1ad-4698-87b4-5ae93ff18365,client_10,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
31869.552732,10000,2721d063-d1ad-4698-87b4-5ae93ff18365,coordinator_0,client_10,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
75707.781104,2000,e8409248-cbae-4443-bb7f-45ae54d83618,client_2,coordinator_0,NET_TRANSFER,547.975980,43838.228373,Upload Model Weights
75707.939104,4000,bd1d931a-3f44-49b4-b17c-3212f73dd09c,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
76256.548358,4000,bd1d931a-3f44-49b4-b17c-3212f73dd09c,coordinator_0,worker_4,NET_TRANSFER,6.855741,548.609253,Distribute Layer ID: a7b0dff1
