VirtualTime_Sec,RequestID,ModelID,OriginNode,EndNode,Operation,Size_GB,Duration_Sec,Description
0.158000,10000,5717fd48-db0c-4963-8e4f-64951c093f42,client_10,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.316000,10000,5717fd48-db0c-4963-8e4f-64951c093f42,coordinator_0,client_10,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
37077.940827,10000,5717fd48-db0c-4963-8e4f-64951c093f42,client_10,coordinator_0,NET_TRANSFER,463.468435,37077.624827,Upload Model Weights
38163.671201,10000,5717fd48-db0c-4963-8e4f-64951c093f42,coordinator_0,worker_4,NET_TRANSFER,13.569755,1085.730374,Distribute Layer ID: b6ff9631
38163.777214,10000,5717fd48-db0c-4963-8e4f-64951c093f42,worker_4,worker_4,DISK_LOAD,13.569755,0.106014,"Disk -> RAM [Model: 5717fd48, Layer: b6ff9631]"
38163.883228,10000,5717fd48-db0c-4963-8e4f-64951c093f42,worker_4,worker_4,MEM_MOVE,13.569755,0.106014,"RAM -> VRAM [Model: 5717fd48, Layer: b6ff9631]"
38163.933228,10000,5717fd48-db0c-4963-8e4f-64951c093f42,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
38164.091228,10000,5717fd48-db0c-4963-8e4f-64951c093f42,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
38602.453125,10000,5717fd48-db0c-4963-8e4f-64951c093f42,coordinator_0,worker_1,NET_TRANSFER,5.477649,438.361896,Distribute Layer ID: 6dbe722d
38602.495919,10000,5717fd48-db0c-4963-8e4f-64951c093f42,worker_1,worker_1,DISK_LOAD,5.477649,0.042794,"Disk -> RAM [Model: 5717fd48, Layer: 6dbe722d]"
38602.538713,10000,5717fd48-db0c-4963-8e4f-64951c093f42,worker_1,worker_1,MEM_MOVE,5.477649,0.042794,"RAM -> VRAM [Model: 5717fd48, Layer: 6dbe722d]"
38602.696713,1000,21f22951-01f8-4f93-bb3d-584e3f7a0032,client_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
38602.854713,2000,bf4f2c81-3257-418f-b028-59b8e82da190,client_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
38603.012713,3000,10b05cb8-a2d7-4008-be6b-1f790b1f538f,client_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
