VirtualTime_Sec,RequestID,ModelID,OriginNode,EndNode,Operation,Size_GB,Duration_Sec,Description
0.158000,10000,48ab34fb-f59e-430b-84f0-278729322d6f,client_10,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.316000,10000,48ab34fb-f59e-430b-84f0-278729322d6f,coordinator_0,client_10,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
47713.040874,10000,48ab34fb-f59e-430b-84f0-278729322d6f,client_10,coordinator_0,NET_TRANSFER,596.407186,47712.724874,Upload Model Weights
48815.171196,10000,48ab34fb-f59e-430b-84f0-278729322d6f,coordinator_0,worker_1,NET_TRANSFER,13.774754,1102.130322,Distribute Layer ID: 336874c7
48815.278811,10000,48ab34fb-f59e-430b-84f0-278729322d6f,worker_1,worker_1,DISK_LOAD,13.774754,0.107615,"Disk -> RAM [Model: 48ab34fb, Layer: 336874c7]"
48815.386426,10000,48ab34fb-f59e-430b-84f0-278729322d6f,worker_1,worker_1,MEM_MOVE,13.774754,0.107615,"RAM -> VRAM [Model: 48ab34fb, Layer: 336874c7]"
48815.436426,10000,48ab34fb-f59e-430b-84f0-278729322d6f,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
48815.594426,10000,48ab34fb-f59e-430b-84f0-278729322d6f,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
49999.392731,10000,48ab34fb-f59e-430b-84f0-278729322d6f,coordinator_0,worker_2,NET_TRANSFER,14.795604,1183.798304,Distribute Layer ID: dbb8c0d6
49999.508321,10000,48ab34fb-f59e-430b-84f0-278729322d6f,worker_2,worker_2,DISK_LOAD,14.795604,0.115591,"Disk -> RAM [Model: 48ab34fb, Layer: dbb8c0d6]"
49999.623912,10000,48ab34fb-f59e-430b-84f0-278729322d6f,worker_2,worker_2,MEM_MOVE,14.795604,0.115591,"RAM -> VRAM [Model: 48ab34fb, Layer: dbb8c0d6]"
49999.673912,10000,48ab34fb-f59e-430b-84f0-278729322d6f,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
49999.831912,10000,48ab34fb-f59e-430b-84f0-278729322d6f,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
51186.054645,10000,48ab34fb-f59e-430b-84f0-278729322d6f,coordinator_0,worker_3,NET_TRANSFER,14.825909,1186.222733,Distribute Layer ID: f7b4e66e
51186.170472,10000,48ab34fb-f59e-430b-84f0-278729322d6f,worker_3,worker_3,DISK_LOAD,14.825909,0.115827,"Disk -> RAM [Model: 48ab34fb, Layer: f7b4e66e]"
51186.286299,10000,48ab34fb-f59e-430b-84f0-278729322d6f,worker_3,worker_3,MEM_MOVE,14.825909,0.115827,"RAM -> VRAM [Model: 48ab34fb, Layer: f7b4e66e]"
51186.336299,10000,48ab34fb-f59e-430b-84f0-278729322d6f,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
51186.494299,10000,48ab34fb-f59e-430b-84f0-278729322d6f,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
51918.100576,10000,48ab34fb-f59e-430b-84f0-278729322d6f,coordinator_0,worker_4,NET_TRANSFER,9.143203,731.606276,Distribute Layer ID: 81ec67b7
51918.172007,10000,48ab34fb-f59e-430b-84f0-278729322d6f,worker_4,worker_4,DISK_LOAD,9.143203,0.071431,"Disk -> RAM [Model: 48ab34fb, Layer: 81ec67b7]"
51918.243438,10000,48ab34fb-f59e-430b-84f0-278729322d6f,worker_4,worker_4,MEM_MOVE,9.143203,0.071431,"RAM -> VRAM [Model: 48ab34fb, Layer: 81ec67b7]"
51918.293438,10000,48ab34fb-f59e-430b-84f0-278729322d6f,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
51918.451438,10000,48ab34fb-f59e-430b-84f0-278729322d6f,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
53069.026037,10000,48ab34fb-f59e-430b-84f0-278729322d6f,coordinator_0,worker_1,NET_TRANSFER,14.380307,1150.574599,Distribute Layer ID: 5e6401b8
53069.138383,10000,48ab34fb-f59e-430b-84f0-278729322d6f,worker_1,worker_1,DISK_LOAD,14.380307,0.112346,"Disk -> RAM [Model: 48ab34fb, Layer: 5e6401b8]"
53069.250730,10000,48ab34fb-f59e-430b-84f0-278729322d6f,worker_1,worker_1,MEM_MOVE,14.380307,0.112346,"RAM -> VRAM [Model: 48ab34fb, Layer: 5e6401b8]"
53069.300730,10000,48ab34fb-f59e-430b-84f0-278729322d6f,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
53069.458730,10000,48ab34fb-f59e-430b-84f0-278729322d6f,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
53875.985142,10000,48ab34fb-f59e-430b-84f0-278729322d6f,coordinator_0,worker_2,NET_TRANSFER,10.079705,806.526413,Distribute Layer ID: 16e4fd1a
53876.063890,10000,48ab34fb-f59e-430b-84f0-278729322d6f,worker_2,worker_2,DISK_LOAD,10.079705,0.078748,"Disk -> RAM [Model: 48ab34fb, Layer: 16e4fd1a]"
53876.142638,10000,48ab34fb-f59e-430b-84f0-278729322d6f,worker_2,worker_2,MEM_MOVE,10.079705,0.078748,"RAM -> VRAM [Model: 48ab34fb, Layer: 16e4fd1a]"
53876.192638,10000,48ab34fb-f59e-430b-84f0-278729322d6f,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
53876.350638,10000,48ab34fb-f59e-430b-84f0-278729322d6f,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
54623.054724,10000,48ab34fb-f59e-430b-84f0-278729322d6f,coordinator_0,worker_3,NET_TRANSFER,9.331926,746.704087,Distribute Layer ID: 736e0471
54623.127630,10000,48ab34fb-f59e-430b-84f0-278729322d6f,worker_3,worker_3,DISK_LOAD,9.331926,0.072906,"Disk -> RAM [Model: 48ab34fb, Layer: 736e0471]"
54623.200535,10000,48ab34fb-f59e-430b-84f0-278729322d6f,worker_3,worker_3,MEM_MOVE,9.331926,0.072906,"RAM -> VRAM [Model: 48ab34fb, Layer: 736e0471]"
54623.250535,10000,48ab34fb-f59e-430b-84f0-278729322d6f,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
54623.408535,10000,48ab34fb-f59e-430b-84f0-278729322d6f,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
55447.429881,10000,48ab34fb-f59e-430b-84f0-278729322d6f,coordinator_0,worker_4,NET_TRANSFER,10.298392,824.021345,Distribute Layer ID: 058ed7be
55447.510337,10000,48ab34fb-f59e-430b-84f0-278729322d6f,worker_4,worker_4,DISK_LOAD,10.298392,0.080456,"Disk -> RAM [Model: 48ab34fb, Layer: 058ed7be]"
