VirtualTime_Sec,RequestID,ModelID,OriginNode,EndNode,Operation,Size_GB,Duration_Sec,Description
0.158000,10000,5bbde249-c171-475b-87c9-0be0f544612b,client_10,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.316000,10000,5bbde249-c171-475b-87c9-0be0f544612b,coordinator_0,client_10,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
0.474000,2000,61bee8e7-34a5-444a-b4e9-a2c58a367bf5,client_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.632000,2000,61bee8e7-34a5-444a-b4e9-a2c58a367bf5,coordinator_0,client_2,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
43477.894962,2000,61bee8e7-34a5-444a-b4e9-a2c58a367bf5,client_2,coordinator_0,NET_TRANSFER,543.463912,43477.262962,Upload Model Weights
43478.052962,6000,8f1c289f-2791-4bc2-8a7f-317554dd03b1,client_6,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
44247.157678,2000,61bee8e7-34a5-444a-b4e9-a2c58a367bf5,coordinator_0,worker_2,NET_TRANSFER,9.611934,769.104716,Distribute Layer ID: 452fd255
44247.232771,2000,61bee8e7-34a5-444a-b4e9-a2c58a367bf5,worker_2,worker_2,DISK_LOAD,9.611934,0.075093,"Disk -> RAM [Model: 61bee8e7, Layer: 452fd255]"
44247.307865,2000,61bee8e7-34a5-444a-b4e9-a2c58a367bf5,worker_2,worker_2,MEM_MOVE,9.611934,0.075093,"RAM -> VRAM [Model: 61bee8e7, Layer: 452fd255]"
44247.357865,2000,61bee8e7-34a5-444a-b4e9-a2c58a367bf5,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
44247.515865,2000,61bee8e7-34a5-444a-b4e9-a2c58a367bf5,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
45142.245401,2000,61bee8e7-34a5-444a-b4e9-a2c58a367bf5,coordinator_0,worker_3,NET_TRANSFER,11.182244,894.729537,Distribute Layer ID: 6abd017c
45142.332763,2000,61bee8e7-34a5-444a-b4e9-a2c58a367bf5,worker_3,worker_3,DISK_LOAD,11.182244,0.087361,"Disk -> RAM [Model: 61bee8e7, Layer: 6abd017c]"
45142.420124,2000,61bee8e7-34a5-444a-b4e9-a2c58a367bf5,worker_3,worker_3,MEM_MOVE,11.182244,0.087361,"RAM -> VRAM [Model: 61bee8e7, Layer: 6abd017c]"
45142.470124,2000,61bee8e7-34a5-444a-b4e9-a2c58a367bf5,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
45142.628124,2000,61bee8e7-34a5-444a-b4e9-a2c58a367bf5,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
45743.722354,2000,61bee8e7-34a5-444a-b4e9-a2c58a367bf5,coordinator_0,worker_4,NET_TRANSFER,7.511803,601.094230,Distribute Layer ID: 1ea15597
