VirtualTime_Sec,RequestID,ModelID,OriginNode,EndNode,Operation,Size_GB,Duration_Sec,Description
0.158000,10000,2aecbdf0-85ec-4da2-9535-82aa85ee9ccd,client_10,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.316000,10000,2aecbdf0-85ec-4da2-9535-82aa85ee9ccd,coordinator_0,client_10,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
35068.675168,10000,2aecbdf0-85ec-4da2-9535-82aa85ee9ccd,client_10,coordinator_0,NET_TRANSFER,438.352615,35068.359168,Upload Model Weights
36025.891222,10000,2aecbdf0-85ec-4da2-9535-82aa85ee9ccd,coordinator_0,worker_3,NET_TRANSFER,11.963326,957.216054,Distribute Layer ID: c68168a0
36025.984686,10000,2aecbdf0-85ec-4da2-9535-82aa85ee9ccd,worker_3,worker_3,DISK_LOAD,11.963326,0.093463,"Disk -> RAM [Model: 2aecbdf0, Layer: c68168a0]"
36026.078149,10000,2aecbdf0-85ec-4da2-9535-82aa85ee9ccd,worker_3,worker_3,MEM_MOVE,11.963326,0.093463,"RAM -> VRAM [Model: 2aecbdf0, Layer: c68168a0]"
36026.128149,10000,2aecbdf0-85ec-4da2-9535-82aa85ee9ccd,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
36026.286149,10000,2aecbdf0-85ec-4da2-9535-82aa85ee9ccd,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
36461.522146,10000,2aecbdf0-85ec-4da2-9535-82aa85ee9ccd,coordinator_0,worker_4,NET_TRANSFER,5.438575,435.235996,Distribute Layer ID: 62f916ab
36461.564635,10000,2aecbdf0-85ec-4da2-9535-82aa85ee9ccd,worker_4,worker_4,DISK_LOAD,5.438575,0.042489,"Disk -> RAM [Model: 2aecbdf0, Layer: 62f916ab]"
36461.607124,10000,2aecbdf0-85ec-4da2-9535-82aa85ee9ccd,worker_4,worker_4,MEM_MOVE,5.438575,0.042489,"RAM -> VRAM [Model: 2aecbdf0, Layer: 62f916ab]"
36461.657124,10000,2aecbdf0-85ec-4da2-9535-82aa85ee9ccd,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
36461.815124,10000,2aecbdf0-85ec-4da2-9535-82aa85ee9ccd,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
36892.835390,10000,2aecbdf0-85ec-4da2-9535-82aa85ee9ccd,coordinator_0,worker_1,NET_TRANSFER,5.385878,431.020266,Distribute Layer ID: c6402140
36892.877467,10000,2aecbdf0-85ec-4da2-9535-82aa85ee9ccd,worker_1,worker_1,DISK_LOAD,5.385878,0.042077,"Disk -> RAM [Model: 2aecbdf0, Layer: c6402140]"
36892.919544,10000,2aecbdf0-85ec-4da2-9535-82aa85ee9ccd,worker_1,worker_1,MEM_MOVE,5.385878,0.042077,"RAM -> VRAM [Model: 2aecbdf0, Layer: c6402140]"
36892.969544,10000,2aecbdf0-85ec-4da2-9535-82aa85ee9ccd,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
36893.127544,10000,2aecbdf0-85ec-4da2-9535-82aa85ee9ccd,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
37967.146122,10000,2aecbdf0-85ec-4da2-9535-82aa85ee9ccd,coordinator_0,worker_2,NET_TRANSFER,13.423357,1074.018578,Distribute Layer ID: 31b58515
37967.250992,10000,2aecbdf0-85ec-4da2-9535-82aa85ee9ccd,worker_2,worker_2,DISK_LOAD,13.423357,0.104870,"Disk -> RAM [Model: 2aecbdf0, Layer: 31b58515]"
37967.355862,10000,2aecbdf0-85ec-4da2-9535-82aa85ee9ccd,worker_2,worker_2,MEM_MOVE,13.423357,0.104870,"RAM -> VRAM [Model: 2aecbdf0, Layer: 31b58515]"
37967.405862,10000,2aecbdf0-85ec-4da2-9535-82aa85ee9ccd,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
37967.563862,10000,2aecbdf0-85ec-4da2-9535-82aa85ee9ccd,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
38770.464542,10000,2aecbdf0-85ec-4da2-9535-82aa85ee9ccd,coordinator_0,worker_3,NET_TRANSFER,10.034384,802.900680,Distribute Layer ID: 0335586a
38770.542936,10000,2aecbdf0-85ec-4da2-9535-82aa85ee9ccd,worker_3,worker_3,DISK_LOAD,10.034384,0.078394,"Disk -> RAM [Model: 2aecbdf0, Layer: 0335586a]"
38770.621330,10000,2aecbdf0-85ec-4da2-9535-82aa85ee9ccd,worker_3,worker_3,MEM_MOVE,10.034384,0.078394,"RAM -> VRAM [Model: 2aecbdf0, Layer: 0335586a]"
38770.671330,10000,2aecbdf0-85ec-4da2-9535-82aa85ee9ccd,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
38770.829330,10000,2aecbdf0-85ec-4da2-9535-82aa85ee9ccd,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
39425.195084,10000,2aecbdf0-85ec-4da2-9535-82aa85ee9ccd,coordinator_0,worker_4,NET_TRANSFER,8.177697,654.365754,Distribute Layer ID: 5cfc79d2
