VirtualTime_Sec,RequestID,ModelID,OriginNode,EndNode,Operation,Size_GB,Duration_Sec,Description
0.158000,10000,1d9e1f62-c9bf-4f34-8e01-fc3e331f6e99,client_10,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.316000,2000,29e4f838-ac6c-4125-b9a9-d5bd7c371510,client_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.474000,5000,38060fb5-2008-408e-9968-8b50ef016386,coordinator_0,client_5,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
0.632000,2000,29e4f838-ac6c-4125-b9a9-d5bd7c371510,coordinator_0,client_2,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
0.790000,5000,38060fb5-2008-408e-9968-8b50ef016386,client_5,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.948000,6000,4f224ec6-8e64-4714-8849-3ddeb7a88970,client_6,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
43551.318351,5000,38060fb5-2008-408e-9968-8b50ef016386,client_5,coordinator_0,NET_TRANSFER,544.377754,43550.370351,Upload Model Weights
43551.476351,10000,1d9e1f62-c9bf-4f34-8e01-fc3e331f6e99,coordinator_0,client_10,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
79930.027623,10000,1d9e1f62-c9bf-4f34-8e01-fc3e331f6e99,client_10,coordinator_0,NET_TRANSFER,454.730016,36378.551272,Upload Model Weights
79930.185623,8000,ebfcee33-6b01-4c30-9436-5d36f0836318,client_8,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
79930.343623,6000,4f224ec6-8e64-4714-8849-3ddeb7a88970,coordinator_0,client_6,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
109204.581027,6000,4f224ec6-8e64-4714-8849-3ddeb7a88970,client_6,coordinator_0,NET_TRANSFER,365.926093,29274.237404,Upload Model Weights
109930.497220,6000,4f224ec6-8e64-4714-8849-3ddeb7a88970,coordinator_0,worker_4,NET_TRANSFER,9.072077,725.916193,Distribute Layer ID: 115aed09
109930.655220,4000,1d9e1f62-c9bf-4f34-8e01-fc3e331f6e99,client_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
109930.726096,6000,4f224ec6-8e64-4714-8849-3ddeb7a88970,worker_4,worker_4,DISK_LOAD,9.072077,0.070876,"Disk -> RAM [Model: 4f224ec6, Layer: 115aed09]"
109930.796971,6000,4f224ec6-8e64-4714-8849-3ddeb7a88970,worker_4,worker_4,MEM_MOVE,9.072077,0.070876,"RAM -> VRAM [Model: 4f224ec6, Layer: 115aed09]"
109930.846971,6000,4f224ec6-8e64-4714-8849-3ddeb7a88970,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
109931.004971,6000,4f224ec6-8e64-4714-8849-3ddeb7a88970,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
111103.146961,6000,4f224ec6-8e64-4714-8849-3ddeb7a88970,coordinator_0,worker_1,NET_TRANSFER,14.649900,1172.141990,Distribute Layer ID: 7a578980
111103.304961,7000,b020f913-1a10-4e31-ba9c-faaa4132f2b6,client_7,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
111103.419414,6000,4f224ec6-8e64-4714-8849-3ddeb7a88970,worker_1,worker_1,DISK_LOAD,14.649900,0.114452,"Disk -> RAM [Model: 4f224ec6, Layer: 7a578980]"
111103.533866,6000,4f224ec6-8e64-4714-8849-3ddeb7a88970,worker_1,worker_1,MEM_MOVE,14.649900,0.114452,"RAM -> VRAM [Model: 4f224ec6, Layer: 7a578980]"
111103.583866,6000,4f224ec6-8e64-4714-8849-3ddeb7a88970,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
111103.741866,6000,4f224ec6-8e64-4714-8849-3ddeb7a88970,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
