VirtualTime_Sec,RequestID,ModelID,OriginNode,EndNode,Operation,Size_GB,Duration_Sec,Description
0.158000,10000,eea5af4e-d40a-43ee-8ae6-03d4fb673862,coordinator_0,client_10,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
0.316000,1000,89df2b9a-ea56-4390-8ee3-fa3e16dac3f4,client_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.474000,1000,89df2b9a-ea56-4390-8ee3-fa3e16dac3f4,coordinator_0,client_1,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
32509.470822,1000,89df2b9a-ea56-4390-8ee3-fa3e16dac3f4,client_1,coordinator_0,NET_TRANSFER,406.360585,32508.996822,Upload Model Weights
33306.524774,1000,89df2b9a-ea56-4390-8ee3-fa3e16dac3f4,coordinator_0,worker_2,NET_TRANSFER,9.961299,797.053952,Distribute Layer ID: 33840803
33306.602597,1000,89df2b9a-ea56-4390-8ee3-fa3e16dac3f4,worker_2,worker_2,DISK_LOAD,9.961299,0.077823,"Disk -> RAM [Model: 89df2b9a, Layer: 33840803]"
33306.680420,1000,89df2b9a-ea56-4390-8ee3-fa3e16dac3f4,worker_2,worker_2,MEM_MOVE,9.961299,0.077823,"RAM -> VRAM [Model: 89df2b9a, Layer: 33840803]"
33306.730420,1000,89df2b9a-ea56-4390-8ee3-fa3e16dac3f4,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
33306.888420,1000,89df2b9a-ea56-4390-8ee3-fa3e16dac3f4,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
33834.258022,1000,89df2b9a-ea56-4390-8ee3-fa3e16dac3f4,coordinator_0,worker_3,NET_TRANSFER,6.590245,527.369603,Distribute Layer ID: b7bfea52
33834.309509,1000,89df2b9a-ea56-4390-8ee3-fa3e16dac3f4,worker_3,worker_3,DISK_LOAD,6.590245,0.051486,"Disk -> RAM [Model: 89df2b9a, Layer: b7bfea52]"
33834.360995,1000,89df2b9a-ea56-4390-8ee3-fa3e16dac3f4,worker_3,worker_3,MEM_MOVE,6.590245,0.051486,"RAM -> VRAM [Model: 89df2b9a, Layer: b7bfea52]"
33834.410995,1000,89df2b9a-ea56-4390-8ee3-fa3e16dac3f4,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
33834.568995,1000,89df2b9a-ea56-4390-8ee3-fa3e16dac3f4,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
35011.597220,1000,89df2b9a-ea56-4390-8ee3-fa3e16dac3f4,coordinator_0,worker_4,NET_TRANSFER,14.710978,1177.028225,Distribute Layer ID: 21488981
35011.712149,1000,89df2b9a-ea56-4390-8ee3-fa3e16dac3f4,worker_4,worker_4,DISK_LOAD,14.710978,0.114930,"Disk -> RAM [Model: 89df2b9a, Layer: 21488981]"
35011.827079,1000,89df2b9a-ea56-4390-8ee3-fa3e16dac3f4,worker_4,worker_4,MEM_MOVE,14.710978,0.114930,"RAM -> VRAM [Model: 89df2b9a, Layer: 21488981]"
35011.877079,1000,89df2b9a-ea56-4390-8ee3-fa3e16dac3f4,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
35012.035079,1000,89df2b9a-ea56-4390-8ee3-fa3e16dac3f4,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
36120.252548,1000,89df2b9a-ea56-4390-8ee3-fa3e16dac3f4,coordinator_0,worker_1,NET_TRANSFER,13.850843,1108.217470,Distribute Layer ID: 51a7d196
