VirtualTime_Sec,RequestID,ModelID,OriginNode,EndNode,Operation,Size_GB,Duration_Sec,Description
0.158000,5000,ce1f2374-e9b7-419e-9f13-80e6a7020172,client_5,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.316000,7000,804b54ef-117f-49be-8d6f-31a4d56ab26a,coordinator_0,client_7,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
0.474000,6000,804b54ef-117f-49be-8d6f-31a4d56ab26a,client_6,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.632000,6000,804b54ef-117f-49be-8d6f-31a4d56ab26a,coordinator_0,client_6,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
0.790000,3000,804b54ef-117f-49be-8d6f-31a4d56ab26a,client_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.948000,7000,804b54ef-117f-49be-8d6f-31a4d56ab26a,client_7,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
1.106000,3000,804b54ef-117f-49be-8d6f-31a4d56ab26a,coordinator_0,client_3,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
31035.133519,7000,804b54ef-117f-49be-8d6f-31a4d56ab26a,client_7,coordinator_0,NET_TRANSFER,387.923469,31034.027519,Upload Model Weights
62069.161038,3000,804b54ef-117f-49be-8d6f-31a4d56ab26a,client_3,coordinator_0,NET_TRANSFER,387.923469,31034.027519,Upload Model Weights
62069.319038,9000,fe3ee454-436c-48ef-8c02-54dd422961b6,client_9,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
62864.868081,3000,804b54ef-117f-49be-8d6f-31a4d56ab26a,coordinator_0,worker_1,NET_TRANSFER,9.942488,795.549043,Distribute Layer ID: 1246586f
93898.895600,6000,804b54ef-117f-49be-8d6f-31a4d56ab26a,client_6,coordinator_0,NET_TRANSFER,387.923469,31034.027519,Upload Model Weights
93898.973275,3000,804b54ef-117f-49be-8d6f-31a4d56ab26a,worker_1,worker_1,DISK_LOAD,9.942488,0.077676,"Disk -> RAM [Model: 804b54ef, Layer: 1246586f]"
93899.050951,3000,804b54ef-117f-49be-8d6f-31a4d56ab26a,worker_1,worker_1,MEM_MOVE,9.942488,0.077676,"RAM -> VRAM [Model: 804b54ef, Layer: 1246586f]"
93899.100951,3000,804b54ef-117f-49be-8d6f-31a4d56ab26a,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
93899.258951,3000,804b54ef-117f-49be-8d6f-31a4d56ab26a,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
95026.215502,3000,804b54ef-117f-49be-8d6f-31a4d56ab26a,coordinator_0,worker_2,NET_TRANSFER,14.085082,1126.956551,Distribute Layer ID: 2bb3bbb5
95026.325542,3000,804b54ef-117f-49be-8d6f-31a4d56ab26a,worker_2,worker_2,DISK_LOAD,14.085082,0.110040,"Disk -> RAM [Model: 804b54ef, Layer: 2bb3bbb5]"
95026.435582,3000,804b54ef-117f-49be-8d6f-31a4d56ab26a,worker_2,worker_2,MEM_MOVE,14.085082,0.110040,"RAM -> VRAM [Model: 804b54ef, Layer: 2bb3bbb5]"
