VirtualTime_Sec,RequestID,ModelID,OriginNode,EndNode,Operation,Size_GB,Duration_Sec,Description
0.158000,10000,f991fca4-656c-493f-a3d9-baa4daf7f586,client_10,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.316000,5000,54f5d935-874a-4164-811b-1e4330eff944,coordinator_0,client_5,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
0.474000,8000,0de4a50f-5b48-466a-a64c-758852a96cd4,client_8,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.632000,9000,f077a906-73cd-4d5d-9b10-a1513d530551,client_9,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.790000,5000,54f5d935-874a-4164-811b-1e4330eff944,client_5,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.948000,7000,745c14a8-0584-4032-b409-a2128cb29e67,client_7,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
47337.812246,5000,54f5d935-874a-4164-811b-1e4330eff944,client_5,coordinator_0,NET_TRANSFER,591.708928,47336.864246,Upload Model Weights
47337.970246,6000,97e1ba0a-ce48-40ec-8438-3272b67d0dfc,client_6,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
47338.128246,6000,97e1ba0a-ce48-40ec-8438-3272b67d0dfc,coordinator_0,client_6,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
47338.286246,7000,745c14a8-0584-4032-b409-a2128cb29e67,coordinator_0,client_7,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
47338.444246,8000,0de4a50f-5b48-466a-a64c-758852a96cd4,coordinator_0,client_8,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
47338.602246,1000,a4e6b4d3-81ea-4c57-9ff9-06c8efa38572,client_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
47338.760246,10000,f991fca4-656c-493f-a3d9-baa4daf7f586,coordinator_0,client_10,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
77547.175272,10000,f991fca4-656c-493f-a3d9-baa4daf7f586,client_10,coordinator_0,NET_TRANSFER,377.603313,30208.415026,Upload Model Weights
78722.900763,5000,54f5d935-874a-4164-811b-1e4330eff944,coordinator_0,worker_1,NET_TRANSFER,14.694694,1175.725491,Distribute Layer ID: e4e2c398
116339.943502,8000,0de4a50f-5b48-466a-a64c-758852a96cd4,client_8,coordinator_0,NET_TRANSFER,470.211159,37617.042739,Upload Model Weights
116340.058304,5000,54f5d935-874a-4164-811b-1e4330eff944,worker_1,worker_1,DISK_LOAD,14.694694,0.114802,"Disk -> RAM [Model: 54f5d935, Layer: e4e2c398]"
116340.173106,5000,54f5d935-874a-4164-811b-1e4330eff944,worker_1,worker_1,MEM_MOVE,14.694694,0.114802,"RAM -> VRAM [Model: 54f5d935, Layer: e4e2c398]"
116340.331106,9000,f077a906-73cd-4d5d-9b10-a1513d530551,coordinator_0,client_9,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
