VirtualTime_Sec,RequestID,ModelID,OriginNode,EndNode,Operation,Size_GB,Duration_Sec,Description
0.158000,10000,232c0714-8208-424d-85ae-c8a06e715e0b,client_10,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.316000,10000,232c0714-8208-424d-85ae-c8a06e715e0b,coordinator_0,client_10,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
42778.090931,10000,232c0714-8208-424d-85ae-c8a06e715e0b,client_10,coordinator_0,NET_TRANSFER,534.720312,42777.774931,Upload Model Weights
43745.065896,10000,232c0714-8208-424d-85ae-c8a06e715e0b,coordinator_0,worker_4,NET_TRANSFER,12.085312,966.974966,Distribute Layer ID: b4cbcc37
43745.160313,10000,232c0714-8208-424d-85ae-c8a06e715e0b,worker_4,worker_4,DISK_LOAD,12.085312,0.094417,"Disk -> RAM [Model: 232c0714, Layer: b4cbcc37]"
43745.254729,10000,232c0714-8208-424d-85ae-c8a06e715e0b,worker_4,worker_4,MEM_MOVE,12.085312,0.094417,"RAM -> VRAM [Model: 232c0714, Layer: b4cbcc37]"
43745.304729,10000,232c0714-8208-424d-85ae-c8a06e715e0b,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
43745.462729,10000,232c0714-8208-424d-85ae-c8a06e715e0b,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
44693.385787,10000,232c0714-8208-424d-85ae-c8a06e715e0b,coordinator_0,worker_1,NET_TRANSFER,11.847163,947.923058,Distribute Layer ID: e4477425
44693.543787,7000,83ac4b69-6412-4a00-937e-cf1205aad415,client_7,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
44693.636343,10000,232c0714-8208-424d-85ae-c8a06e715e0b,worker_1,worker_1,DISK_LOAD,11.847163,0.092556,"Disk -> RAM [Model: 232c0714, Layer: e4477425]"
44693.728899,10000,232c0714-8208-424d-85ae-c8a06e715e0b,worker_1,worker_1,MEM_MOVE,11.847163,0.092556,"RAM -> VRAM [Model: 232c0714, Layer: e4477425]"
44693.778899,10000,232c0714-8208-424d-85ae-c8a06e715e0b,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
44693.936899,10000,232c0714-8208-424d-85ae-c8a06e715e0b,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
45359.141704,10000,232c0714-8208-424d-85ae-c8a06e715e0b,coordinator_0,worker_2,NET_TRANSFER,8.313185,665.204805,Distribute Layer ID: 05be1dbf
45359.206651,10000,232c0714-8208-424d-85ae-c8a06e715e0b,worker_2,worker_2,DISK_LOAD,8.313185,0.064947,"Disk -> RAM [Model: 232c0714, Layer: 05be1dbf]"
45359.271597,10000,232c0714-8208-424d-85ae-c8a06e715e0b,worker_2,worker_2,MEM_MOVE,8.313185,0.064947,"RAM -> VRAM [Model: 232c0714, Layer: 05be1dbf]"
45359.321597,10000,232c0714-8208-424d-85ae-c8a06e715e0b,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
45359.479597,10000,232c0714-8208-424d-85ae-c8a06e715e0b,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
46237.253170,10000,232c0714-8208-424d-85ae-c8a06e715e0b,coordinator_0,worker_3,NET_TRANSFER,10.970295,877.773573,Distribute Layer ID: f1e7d7a3
