VirtualTime_Sec,RequestID,ModelID,OriginNode,EndNode,Operation,Size_GB,Duration_Sec,Description
0.158000,10000,5dfb0d7b-f230-46f0-aa89-0e1ef355a733,client_10,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.316000,10000,5dfb0d7b-f230-46f0-aa89-0e1ef355a733,coordinator_0,client_10,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
46483.830673,10000,5dfb0d7b-f230-46f0-aa89-0e1ef355a733,client_10,coordinator_0,NET_TRANSFER,581.042058,46483.514673,Upload Model Weights
47169.162110,10000,5dfb0d7b-f230-46f0-aa89-0e1ef355a733,coordinator_0,worker_2,NET_TRANSFER,8.564768,685.331438,Distribute Layer ID: 798515e2
47169.229023,10000,5dfb0d7b-f230-46f0-aa89-0e1ef355a733,worker_2,worker_2,DISK_LOAD,8.564768,0.066912,"Disk -> RAM [Model: 5dfb0d7b, Layer: 798515e2]"
47169.295935,10000,5dfb0d7b-f230-46f0-aa89-0e1ef355a733,worker_2,worker_2,MEM_MOVE,8.564768,0.066912,"RAM -> VRAM [Model: 5dfb0d7b, Layer: 798515e2]"
47169.345935,10000,5dfb0d7b-f230-46f0-aa89-0e1ef355a733,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
47169.503935,10000,5dfb0d7b-f230-46f0-aa89-0e1ef355a733,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
47696.331350,10000,5dfb0d7b-f230-46f0-aa89-0e1ef355a733,coordinator_0,worker_3,NET_TRANSFER,6.583468,526.827415,Distribute Layer ID: c201ee64
47696.382784,10000,5dfb0d7b-f230-46f0-aa89-0e1ef355a733,worker_3,worker_3,DISK_LOAD,6.583468,0.051433,"Disk -> RAM [Model: 5dfb0d7b, Layer: c201ee64]"
