VirtualTime_Sec,RequestID,ModelID,OriginNode,EndNode,Operation,Size_GB,Duration_Sec,Description
0.158000,10000,c1123578-9251-43c6-bbc8-f7495888fffd,client_10,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.316000,10000,c1123578-9251-43c6-bbc8-f7495888fffd,coordinator_0,client_10,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
35146.259258,10000,c1123578-9251-43c6-bbc8-f7495888fffd,client_10,coordinator_0,NET_TRANSFER,439.322416,35145.943258,Upload Model Weights
35146.417258,8000,fcc2768e-db6a-47ac-a06b-9f2abdd9e4be,client_8,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
36295.457030,10000,c1123578-9251-43c6-bbc8-f7495888fffd,coordinator_0,worker_2,NET_TRANSFER,14.361122,1149.039772,Distribute Layer ID: db4711b0
36295.569226,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_2,worker_2,DISK_LOAD,14.361122,0.112196,"Disk -> RAM [Model: c1123578, Layer: db4711b0]"
36295.681422,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_2,worker_2,MEM_MOVE,14.361122,0.112196,"RAM -> VRAM [Model: c1123578, Layer: db4711b0]"
36295.731422,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
36295.889422,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
36990.496639,10000,c1123578-9251-43c6-bbc8-f7495888fffd,coordinator_0,worker_3,NET_TRANSFER,8.680715,694.607217,Distribute Layer ID: 016a7445
36990.564457,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_3,worker_3,DISK_LOAD,8.680715,0.067818,"Disk -> RAM [Model: c1123578, Layer: 016a7445]"
36990.632275,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_3,worker_3,MEM_MOVE,8.680715,0.067818,"RAM -> VRAM [Model: c1123578, Layer: 016a7445]"
36990.682275,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
36990.840275,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
38040.924719,10000,c1123578-9251-43c6-bbc8-f7495888fffd,coordinator_0,worker_4,NET_TRANSFER,13.124181,1050.084444,Distribute Layer ID: 25289b33
38041.027252,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_4,worker_4,DISK_LOAD,13.124181,0.102533,"Disk -> RAM [Model: c1123578, Layer: 25289b33]"
38041.129784,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_4,worker_4,MEM_MOVE,13.124181,0.102533,"RAM -> VRAM [Model: c1123578, Layer: 25289b33]"
38041.179784,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
38041.337784,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
39039.005719,10000,c1123578-9251-43c6-bbc8-f7495888fffd,coordinator_0,worker_1,NET_TRANSFER,12.468974,997.667934,Distribute Layer ID: 774fe0e2
39039.103132,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_1,worker_1,DISK_LOAD,12.468974,0.097414,"Disk -> RAM [Model: c1123578, Layer: 774fe0e2]"
39039.200546,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_1,worker_1,MEM_MOVE,12.468974,0.097414,"RAM -> VRAM [Model: c1123578, Layer: 774fe0e2]"
39039.358546,2000,c66ca60b-6aff-45f2-b8b2-a93994814322,client_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
39039.408546,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
39039.566546,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
39610.298093,10000,c1123578-9251-43c6-bbc8-f7495888fffd,coordinator_0,worker_2,NET_TRANSFER,7.132269,570.731547,Distribute Layer ID: 109bdafb
39610.353814,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_2,worker_2,DISK_LOAD,7.132269,0.055721,"Disk -> RAM [Model: c1123578, Layer: 109bdafb]"
39610.409535,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_2,worker_2,MEM_MOVE,7.132269,0.055721,"RAM -> VRAM [Model: c1123578, Layer: 109bdafb]"
39610.459535,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
39610.617535,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
40172.372854,10000,c1123578-9251-43c6-bbc8-f7495888fffd,coordinator_0,worker_3,NET_TRANSFER,7.020066,561.755320,Distribute Layer ID: 05379fef
40172.427698,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_3,worker_3,DISK_LOAD,7.020066,0.054844,"Disk -> RAM [Model: c1123578, Layer: 05379fef]"
40172.482543,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_3,worker_3,MEM_MOVE,7.020066,0.054844,"RAM -> VRAM [Model: c1123578, Layer: 05379fef]"
40172.532543,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
40172.690543,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
40647.105881,10000,c1123578-9251-43c6-bbc8-f7495888fffd,coordinator_0,worker_4,NET_TRANSFER,5.928317,474.415339,Distribute Layer ID: 5304a20f
40647.152196,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_4,worker_4,DISK_LOAD,5.928317,0.046315,"Disk -> RAM [Model: c1123578, Layer: 5304a20f]"
40647.198511,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_4,worker_4,MEM_MOVE,5.928317,0.046315,"RAM -> VRAM [Model: c1123578, Layer: 5304a20f]"
40647.248511,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
40647.406511,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
41764.723680,10000,c1123578-9251-43c6-bbc8-f7495888fffd,coordinator_0,worker_1,NET_TRANSFER,13.964590,1117.317168,Distribute Layer ID: 3c6c6b81
41764.832778,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_1,worker_1,DISK_LOAD,13.964590,0.109098,"Disk -> RAM [Model: c1123578, Layer: 3c6c6b81]"
41764.941876,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_1,worker_1,MEM_MOVE,13.964590,0.109098,"RAM -> VRAM [Model: c1123578, Layer: 3c6c6b81]"
41764.991876,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
41765.149876,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
42879.935096,10000,c1123578-9251-43c6-bbc8-f7495888fffd,coordinator_0,worker_2,NET_TRANSFER,13.932940,1114.785220,Distribute Layer ID: 185da0a2
42880.093096,1000,45219d0c-3e3e-4269-ae15-6654e867b7b3,client_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
42880.201948,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_2,worker_2,DISK_LOAD,13.932940,0.108851,"Disk -> RAM [Model: c1123578, Layer: 185da0a2]"
42880.310799,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_2,worker_2,MEM_MOVE,13.932940,0.108851,"RAM -> VRAM [Model: c1123578, Layer: 185da0a2]"
42880.360799,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
42880.518799,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
43604.195777,10000,c1123578-9251-43c6-bbc8-f7495888fffd,coordinator_0,worker_3,NET_TRANSFER,9.044087,723.676978,Distribute Layer ID: 9dea2ec7
43604.266434,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_3,worker_3,DISK_LOAD,9.044087,0.070657,"Disk -> RAM [Model: c1123578, Layer: 9dea2ec7]"
43604.337091,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_3,worker_3,MEM_MOVE,9.044087,0.070657,"RAM -> VRAM [Model: c1123578, Layer: 9dea2ec7]"
43604.387091,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
43604.545091,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
44330.317393,10000,c1123578-9251-43c6-bbc8-f7495888fffd,coordinator_0,worker_4,NET_TRANSFER,9.070279,725.772303,Distribute Layer ID: 8a887a57
44330.388255,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_4,worker_4,DISK_LOAD,9.070279,0.070862,"Disk -> RAM [Model: c1123578, Layer: 8a887a57]"
44330.459117,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_4,worker_4,MEM_MOVE,9.070279,0.070862,"RAM -> VRAM [Model: c1123578, Layer: 8a887a57]"
44330.509117,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
44330.667117,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
44988.983402,10000,c1123578-9251-43c6-bbc8-f7495888fffd,coordinator_0,worker_1,NET_TRANSFER,8.227079,658.316285,Distribute Layer ID: 2fd9842a
44989.047676,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_1,worker_1,DISK_LOAD,8.227079,0.064274,"Disk -> RAM [Model: c1123578, Layer: 2fd9842a]"
44989.111950,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_1,worker_1,MEM_MOVE,8.227079,0.064274,"RAM -> VRAM [Model: c1123578, Layer: 2fd9842a]"
44989.161950,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
44989.319950,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
46088.917988,10000,c1123578-9251-43c6-bbc8-f7495888fffd,coordinator_0,worker_2,NET_TRANSFER,13.743100,1099.598038,Distribute Layer ID: 361ad3db
46089.025356,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_2,worker_2,DISK_LOAD,13.743100,0.107368,"Disk -> RAM [Model: c1123578, Layer: 361ad3db]"
46089.132724,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_2,worker_2,MEM_MOVE,13.743100,0.107368,"RAM -> VRAM [Model: c1123578, Layer: 361ad3db]"
46089.182724,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
46089.340724,10000,c1123578-9251-43c6-bbc8-f7495888fffd,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
46731.724615,10000,c1123578-9251-43c6-bbc8-f7495888fffd,coordinator_0,worker_3,NET_TRANSFER,8.027924,642.383892,Distribute Layer ID: 2d5ea677
