VirtualTime_Sec,RequestID,ModelID,OriginNode,EndNode,Operation,Size_GB,Duration_Sec,Description
0.158000,10000,f5d08108-2547-4fba-bb2a-2be5c35026ad,client_10,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.316000,5000,94f54e4f-f52c-4cff-a9a6-3d00a8a0dba0,client_5,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.474000,10000,f5d08108-2547-4fba-bb2a-2be5c35026ad,coordinator_0,client_10,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
46184.421735,10000,f5d08108-2547-4fba-bb2a-2be5c35026ad,client_10,coordinator_0,NET_TRANSFER,577.297472,46183.947735,Upload Model Weights
46691.831435,10000,f5d08108-2547-4fba-bb2a-2be5c35026ad,coordinator_0,worker_2,NET_TRANSFER,6.340746,507.409700,Distribute Layer ID: cc2ded37
46691.989435,3000,94f54e4f-f52c-4cff-a9a6-3d00a8a0dba0,client_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
46692.147435,2000,58126ea4-282a-42f0-bfcc-964b05b571ef,client_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
46692.196972,10000,f5d08108-2547-4fba-bb2a-2be5c35026ad,worker_2,worker_2,DISK_LOAD,6.340746,0.049537,"Disk -> RAM [Model: f5d08108, Layer: cc2ded37]"
46692.246509,10000,f5d08108-2547-4fba-bb2a-2be5c35026ad,worker_2,worker_2,MEM_MOVE,6.340746,0.049537,"RAM -> VRAM [Model: f5d08108, Layer: cc2ded37]"
46692.404509,1000,94f54e4f-f52c-4cff-a9a6-3d00a8a0dba0,client_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
46692.562509,7000,0dc4f8d7-f752-4401-9a15-3a1f0ab0abb9,client_7,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
46692.612509,10000,f5d08108-2547-4fba-bb2a-2be5c35026ad,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
46692.770509,10000,f5d08108-2547-4fba-bb2a-2be5c35026ad,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
47123.253531,10000,f5d08108-2547-4fba-bb2a-2be5c35026ad,coordinator_0,worker_3,NET_TRANSFER,5.379163,430.483022,Distribute Layer ID: 2484264c
