VirtualTime_Sec,RequestID,ModelID,OriginNode,EndNode,Operation,Size_GB,Duration_Sec,Description
0.158000,10000,4bdd7f8d-8eb4-44d1-9872-3d8dc6144fca,coordinator_0,client_10,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
0.316000,1000,99be87fe-2520-4054-a9dc-3703a719200c,client_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.474000,1000,99be87fe-2520-4054-a9dc-3703a719200c,coordinator_0,client_1,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
51086.202688,1000,99be87fe-2520-4054-a9dc-3703a719200c,client_1,coordinator_0,NET_TRANSFER,638.569734,51085.728688,Upload Model Weights
51923.902536,1000,99be87fe-2520-4054-a9dc-3703a719200c,coordinator_0,worker_2,NET_TRANSFER,10.469373,837.699847,Distribute Layer ID: a6acc3b7
51923.984327,1000,99be87fe-2520-4054-a9dc-3703a719200c,worker_2,worker_2,DISK_LOAD,10.469373,0.081792,"Disk -> RAM [Model: 99be87fe, Layer: a6acc3b7]"
51924.066119,1000,99be87fe-2520-4054-a9dc-3703a719200c,worker_2,worker_2,MEM_MOVE,10.469373,0.081792,"RAM -> VRAM [Model: 99be87fe, Layer: a6acc3b7]"
51924.116119,1000,99be87fe-2520-4054-a9dc-3703a719200c,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
51924.274119,1000,99be87fe-2520-4054-a9dc-3703a719200c,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
52722.779583,1000,99be87fe-2520-4054-a9dc-3703a719200c,coordinator_0,worker_3,NET_TRANSFER,9.979443,798.505464,Distribute Layer ID: 9f0cbbfb
52722.857548,1000,99be87fe-2520-4054-a9dc-3703a719200c,worker_3,worker_3,DISK_LOAD,9.979443,0.077964,"Disk -> RAM [Model: 99be87fe, Layer: 9f0cbbfb]"
52722.935512,1000,99be87fe-2520-4054-a9dc-3703a719200c,worker_3,worker_3,MEM_MOVE,9.979443,0.077964,"RAM -> VRAM [Model: 99be87fe, Layer: 9f0cbbfb]"
52722.985512,1000,99be87fe-2520-4054-a9dc-3703a719200c,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
52723.143512,1000,99be87fe-2520-4054-a9dc-3703a719200c,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
53465.570765,1000,99be87fe-2520-4054-a9dc-3703a719200c,coordinator_0,worker_4,NET_TRANSFER,9.278466,742.427253,Distribute Layer ID: 4540fc30
53465.643253,1000,99be87fe-2520-4054-a9dc-3703a719200c,worker_4,worker_4,DISK_LOAD,9.278466,0.072488,"Disk -> RAM [Model: 99be87fe, Layer: 4540fc30]"
53465.715741,1000,99be87fe-2520-4054-a9dc-3703a719200c,worker_4,worker_4,MEM_MOVE,9.278466,0.072488,"RAM -> VRAM [Model: 99be87fe, Layer: 4540fc30]"
53465.765741,1000,99be87fe-2520-4054-a9dc-3703a719200c,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
53465.923741,1000,99be87fe-2520-4054-a9dc-3703a719200c,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
54559.814875,1000,99be87fe-2520-4054-a9dc-3703a719200c,coordinator_0,worker_1,NET_TRANSFER,13.671764,1093.891134,Distribute Layer ID: 38e58342
