VirtualTime_Sec,RequestID,ModelID,OriginNode,EndNode,Operation,Size_GB,Duration_Sec,Description
0.158000,10000,d76da6a5-64d5-413e-8ce1-8cdf235f0385,client_10,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.316000,5000,2671982c-523a-4989-ac3f-40e06b7358f5,client_5,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.474000,2000,1246b84e-893a-42e7-aafb-0deff7fa0bfa,coordinator_0,client_2,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
0.632000,5000,2671982c-523a-4989-ac3f-40e06b7358f5,coordinator_0,client_5,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
0.790000,2000,1246b84e-893a-42e7-aafb-0deff7fa0bfa,client_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.948000,9000,bff47240-f6bc-465e-9871-0b6fcf79f8bc,client_9,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
1.106000,4000,d76da6a5-64d5-413e-8ce1-8cdf235f0385,client_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
1.264000,10000,d76da6a5-64d5-413e-8ce1-8cdf235f0385,coordinator_0,client_10,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
34402.542389,2000,1246b84e-893a-42e7-aafb-0deff7fa0bfa,client_2,coordinator_0,NET_TRANSFER,430.014105,34401.278389,Upload Model Weights
34402.700389,4000,d76da6a5-64d5-413e-8ce1-8cdf235f0385,coordinator_0,client_4,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
71829.075787,4000,d76da6a5-64d5-413e-8ce1-8cdf235f0385,client_4,coordinator_0,NET_TRANSFER,467.827817,37426.375397,Upload Model Weights
71829.233787,7000,52edd854-95b1-40e8-b027-a5c8f140db69,client_7,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
71829.391787,7000,52edd854-95b1-40e8-b027-a5c8f140db69,coordinator_0,client_7,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
71829.549787,9000,bff47240-f6bc-465e-9871-0b6fcf79f8bc,coordinator_0,client_9,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
113326.582969,7000,52edd854-95b1-40e8-b027-a5c8f140db69,client_7,coordinator_0,NET_TRANSFER,518.711040,41497.033183,Upload Model Weights
140845.719791,5000,2671982c-523a-4989-ac3f-40e06b7358f5,client_5,coordinator_0,NET_TRANSFER,343.987335,27519.136821,Upload Model Weights
182172.146686,9000,bff47240-f6bc-465e-9871-0b6fcf79f8bc,client_9,coordinator_0,NET_TRANSFER,516.578461,41326.426895,Upload Model Weights
219598.522083,10000,d76da6a5-64d5-413e-8ce1-8cdf235f0385,client_10,coordinator_0,NET_TRANSFER,467.827817,37426.375397,Upload Model Weights
220106.872464,7000,52edd854-95b1-40e8-b027-a5c8f140db69,coordinator_0,worker_3,NET_TRANSFER,6.352505,508.350381,Distribute Layer ID: b9577bf6
220107.030464,3000,1246b84e-893a-42e7-aafb-0deff7fa0bfa,client_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
220107.080093,7000,52edd854-95b1-40e8-b027-a5c8f140db69,worker_3,worker_3,DISK_LOAD,6.352505,0.049629,"Disk -> RAM [Model: 52edd854, Layer: b9577bf6]"
220107.129722,7000,52edd854-95b1-40e8-b027-a5c8f140db69,worker_3,worker_3,MEM_MOVE,6.352505,0.049629,"RAM -> VRAM [Model: 52edd854, Layer: b9577bf6]"
220107.287722,6000,1246b84e-893a-42e7-aafb-0deff7fa0bfa,client_6,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
220107.337722,7000,52edd854-95b1-40e8-b027-a5c8f140db69,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
220107.495722,7000,52edd854-95b1-40e8-b027-a5c8f140db69,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
220941.117403,7000,52edd854-95b1-40e8-b027-a5c8f140db69,coordinator_0,worker_4,NET_TRANSFER,10.418396,833.621680,Distribute Layer ID: 1cb3617a
220941.198796,7000,52edd854-95b1-40e8-b027-a5c8f140db69,worker_4,worker_4,DISK_LOAD,10.418396,0.081394,"Disk -> RAM [Model: 52edd854, Layer: 1cb3617a]"
220941.280190,7000,52edd854-95b1-40e8-b027-a5c8f140db69,worker_4,worker_4,MEM_MOVE,10.418396,0.081394,"RAM -> VRAM [Model: 52edd854, Layer: 1cb3617a]"
220941.330190,7000,52edd854-95b1-40e8-b027-a5c8f140db69,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
220941.488190,7000,52edd854-95b1-40e8-b027-a5c8f140db69,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
221776.724075,7000,52edd854-95b1-40e8-b027-a5c8f140db69,coordinator_0,worker_1,NET_TRANSFER,10.438574,835.235885,Distribute Layer ID: 1c721ede
221776.805627,7000,52edd854-95b1-40e8-b027-a5c8f140db69,worker_1,worker_1,DISK_LOAD,10.438574,0.081551,"Disk -> RAM [Model: 52edd854, Layer: 1c721ede]"
221776.887178,7000,52edd854-95b1-40e8-b027-a5c8f140db69,worker_1,worker_1,MEM_MOVE,10.438574,0.081551,"RAM -> VRAM [Model: 52edd854, Layer: 1c721ede]"
221776.937178,7000,52edd854-95b1-40e8-b027-a5c8f140db69,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
221777.095178,7000,52edd854-95b1-40e8-b027-a5c8f140db69,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
222949.915421,7000,52edd854-95b1-40e8-b027-a5c8f140db69,coordinator_0,worker_2,NET_TRANSFER,14.658378,1172.820243,Distribute Layer ID: c2f810c9
222950.029939,7000,52edd854-95b1-40e8-b027-a5c8f140db69,worker_2,worker_2,DISK_LOAD,14.658378,0.114519,"Disk -> RAM [Model: 52edd854, Layer: c2f810c9]"
222950.144458,7000,52edd854-95b1-40e8-b027-a5c8f140db69,worker_2,worker_2,MEM_MOVE,14.658378,0.114519,"RAM -> VRAM [Model: 52edd854, Layer: c2f810c9]"
222950.194458,7000,52edd854-95b1-40e8-b027-a5c8f140db69,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
222950.352458,7000,52edd854-95b1-40e8-b027-a5c8f140db69,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
223626.379063,7000,52edd854-95b1-40e8-b027-a5c8f140db69,coordinator_0,worker_3,NET_TRANSFER,8.448458,676.026606,Distribute Layer ID: 6712db1d
223626.445067,7000,52edd854-95b1-40e8-b027-a5c8f140db69,worker_3,worker_3,DISK_LOAD,8.448458,0.066004,"Disk -> RAM [Model: 52edd854, Layer: 6712db1d]"
223626.511071,7000,52edd854-95b1-40e8-b027-a5c8f140db69,worker_3,worker_3,MEM_MOVE,8.448458,0.066004,"RAM -> VRAM [Model: 52edd854, Layer: 6712db1d]"
223626.561071,7000,52edd854-95b1-40e8-b027-a5c8f140db69,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
223626.719071,7000,52edd854-95b1-40e8-b027-a5c8f140db69,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
224684.318275,7000,52edd854-95b1-40e8-b027-a5c8f140db69,coordinator_0,worker_4,NET_TRANSFER,13.218115,1057.599204,Distribute Layer ID: 994faa70
224684.421541,7000,52edd854-95b1-40e8-b027-a5c8f140db69,worker_4,worker_4,DISK_LOAD,13.218115,0.103267,"Disk -> RAM [Model: 52edd854, Layer: 994faa70]"
224684.524808,7000,52edd854-95b1-40e8-b027-a5c8f140db69,worker_4,worker_4,MEM_MOVE,13.218115,0.103267,"RAM -> VRAM [Model: 52edd854, Layer: 994faa70]"
224684.574808,7000,52edd854-95b1-40e8-b027-a5c8f140db69,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
224684.732808,7000,52edd854-95b1-40e8-b027-a5c8f140db69,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
225434.198624,7000,52edd854-95b1-40e8-b027-a5c8f140db69,coordinator_0,worker_1,NET_TRANSFER,9.366448,749.465817,Distribute Layer ID: b73869dc
225434.271800,7000,52edd854-95b1-40e8-b027-a5c8f140db69,worker_1,worker_1,DISK_LOAD,9.366448,0.073175,"Disk -> RAM [Model: 52edd854, Layer: b73869dc]"
225434.344975,7000,52edd854-95b1-40e8-b027-a5c8f140db69,worker_1,worker_1,MEM_MOVE,9.366448,0.073175,"RAM -> VRAM [Model: 52edd854, Layer: b73869dc]"
225434.394975,7000,52edd854-95b1-40e8-b027-a5c8f140db69,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
225434.552975,7000,52edd854-95b1-40e8-b027-a5c8f140db69,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
226528.816885,7000,52edd854-95b1-40e8-b027-a5c8f140db69,coordinator_0,worker_2,NET_TRANSFER,13.676424,1094.263910,Distribute Layer ID: 123ef637
226528.923732,7000,52edd854-95b1-40e8-b027-a5c8f140db69,worker_2,worker_2,DISK_LOAD,13.676424,0.106847,"Disk -> RAM [Model: 52edd854, Layer: 123ef637]"
226529.030580,7000,52edd854-95b1-40e8-b027-a5c8f140db69,worker_2,worker_2,MEM_MOVE,13.676424,0.106847,"RAM -> VRAM [Model: 52edd854, Layer: 123ef637]"
226529.080580,7000,52edd854-95b1-40e8-b027-a5c8f140db69,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
226529.238580,7000,52edd854-95b1-40e8-b027-a5c8f140db69,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
227088.270968,7000,52edd854-95b1-40e8-b027-a5c8f140db69,coordinator_0,worker_3,NET_TRANSFER,6.986030,559.032388,Distribute Layer ID: 2fc76b32
227088.325546,7000,52edd854-95b1-40e8-b027-a5c8f140db69,worker_3,worker_3,DISK_LOAD,6.986030,0.054578,"Disk -> RAM [Model: 52edd854, Layer: 2fc76b32]"
227088.380125,7000,52edd854-95b1-40e8-b027-a5c8f140db69,worker_3,worker_3,MEM_MOVE,6.986030,0.054578,"RAM -> VRAM [Model: 52edd854, Layer: 2fc76b32]"
227088.430125,7000,52edd854-95b1-40e8-b027-a5c8f140db69,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
