VirtualTime_Sec,RequestID,ModelID,OriginNode,EndNode,Operation,Size_GB,Duration_Sec,Description
0.158000,10000,b0e97421-e9d0-4d29-94bb-cf6e9be9c799,client_10,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.316000,8000,7212d89e-f4fe-4ec3-baf4-21c79c069b8f,client_8,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.474000,7000,405c8b92-75a7-4f61-9eb0-27aad89af7a9,coordinator_0,client_7,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
0.632000,1001,1dd06557-9b9d-46b7-a2ff-28d69ad468bc,client_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.790000,2001,44f6e832-769c-42b7-ba67-9f5bbc2f785a,client_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.948000,3001,bc5789e8-d4b2-469f-803d-aaa8fcacca16,client_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
1.106000,10002,a421b140-4d26-4e23-b4ca-ef38cee29e60,client_10,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
1.264000,4001,50dcf751-f2c8-40e0-971b-c20262c16d74,client_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
1.422000,5001,dbd9bd96-b08d-46b4-83c8-8d0553e33d09,client_5,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
1.580000,5001,f1d1a596-8ed3-4fe5-b130-89e1713239ce,client_5,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
1.738000,9000,6684ce3f-d70f-424d-a309-e76721bdfde4,client_9,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
1.896000,6001,3ee550a1-4a9a-4704-a39a-23b15ad3dbb6,client_6,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
2.054000,7001,6d5c481b-bd32-426c-bad6-cfb7eef182e0,client_7,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
2.212000,8001,c7545979-79f7-4a93-8abc-da8cb512cfb8,client_8,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
2.370000,5002,a0054397-e5da-4487-b4ce-cd4f362e335f,client_5,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
2.528000,5002,f840247e-0e4f-4e21-9d89-ff8cf7a83c8a,client_5,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
2.686000,5002,0423365c-c8d3-4f29-a811-d8a28d003204,client_5,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
2.844000,9001,f8031792-6478-4af9-a532-179173efe41a,client_9,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
3.002000,5001,a0169027-ca3d-4885-aada-67257eb6c2e6,client_5,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
3.160000,10000,b0e97421-e9d0-4d29-94bb-cf6e9be9c799,coordinator_0,client_10,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
28019.668908,10000,b0e97421-e9d0-4d29-94bb-cf6e9be9c799,client_10,coordinator_0,NET_TRANSFER,350.204486,28016.508908,Upload Model Weights
