VirtualTime_Sec,RequestID,ModelID,OriginNode,EndNode,Operation,Size_GB,Duration_Sec,Description
0.158000,10000,324d6200-c786-4e01-b37f-19d2a8b04679,client_10,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.316000,2000,9edec893-0a2f-496a-ab54-40af360ff932,client_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.474000,2000,9edec893-0a2f-496a-ab54-40af360ff932,coordinator_0,client_2,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
36088.569756,2000,9edec893-0a2f-496a-ab54-40af360ff932,client_2,coordinator_0,NET_TRANSFER,451.099322,36088.095756,Upload Model Weights
36088.727756,3000,5f58176b-3287-45f8-98c5-bb745f187e7d,client_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
36730.943402,2000,9edec893-0a2f-496a-ab54-40af360ff932,coordinator_0,worker_3,NET_TRANSFER,8.025821,642.215646,Distribute Layer ID: 042b73b1
36731.006104,2000,9edec893-0a2f-496a-ab54-40af360ff932,worker_3,worker_3,DISK_LOAD,8.025821,0.062702,"Disk -> RAM [Model: 9edec893, Layer: 042b73b1]"
36731.068806,2000,9edec893-0a2f-496a-ab54-40af360ff932,worker_3,worker_3,MEM_MOVE,8.025821,0.062702,"RAM -> VRAM [Model: 9edec893, Layer: 042b73b1]"
36731.118806,2000,9edec893-0a2f-496a-ab54-40af360ff932,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
36731.276806,2000,9edec893-0a2f-496a-ab54-40af360ff932,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
36731.434806,4000,da34d943-646f-43a7-ad36-7bd925b3aa92,client_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
37939.899645,2000,9edec893-0a2f-496a-ab54-40af360ff932,coordinator_0,worker_4,NET_TRANSFER,15.103935,1208.464840,Distribute Layer ID: 3f85b00c
37940.017645,2000,9edec893-0a2f-496a-ab54-40af360ff932,worker_4,worker_4,DISK_LOAD,15.103935,0.117999,"Disk -> RAM [Model: 9edec893, Layer: 3f85b00c]"
37940.135644,2000,9edec893-0a2f-496a-ab54-40af360ff932,worker_4,worker_4,MEM_MOVE,15.103935,0.117999,"RAM -> VRAM [Model: 9edec893, Layer: 3f85b00c]"
37940.185644,2000,9edec893-0a2f-496a-ab54-40af360ff932,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
37940.343644,2000,9edec893-0a2f-496a-ab54-40af360ff932,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
38740.338707,2000,9edec893-0a2f-496a-ab54-40af360ff932,coordinator_0,worker_1,NET_TRANSFER,9.998063,799.995063,Distribute Layer ID: dadc4035
38740.416817,2000,9edec893-0a2f-496a-ab54-40af360ff932,worker_1,worker_1,DISK_LOAD,9.998063,0.078110,"Disk -> RAM [Model: 9edec893, Layer: dadc4035]"
38740.494927,2000,9edec893-0a2f-496a-ab54-40af360ff932,worker_1,worker_1,MEM_MOVE,9.998063,0.078110,"RAM -> VRAM [Model: 9edec893, Layer: dadc4035]"
38740.544927,2000,9edec893-0a2f-496a-ab54-40af360ff932,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
38740.702927,2000,9edec893-0a2f-496a-ab54-40af360ff932,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
39453.200658,2000,9edec893-0a2f-496a-ab54-40af360ff932,coordinator_0,worker_2,NET_TRANSFER,8.904347,712.497731,Distribute Layer ID: a53908d0
39453.270224,2000,9edec893-0a2f-496a-ab54-40af360ff932,worker_2,worker_2,DISK_LOAD,8.904347,0.069565,"Disk -> RAM [Model: 9edec893, Layer: a53908d0]"
39453.339789,2000,9edec893-0a2f-496a-ab54-40af360ff932,worker_2,worker_2,MEM_MOVE,8.904347,0.069565,"RAM -> VRAM [Model: 9edec893, Layer: a53908d0]"
39453.389789,2000,9edec893-0a2f-496a-ab54-40af360ff932,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
39453.547789,2000,9edec893-0a2f-496a-ab54-40af360ff932,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
40607.311105,2000,9edec893-0a2f-496a-ab54-40af360ff932,coordinator_0,worker_3,NET_TRANSFER,14.420166,1153.763316,Distribute Layer ID: 05ff92e3
40607.423763,2000,9edec893-0a2f-496a-ab54-40af360ff932,worker_3,worker_3,DISK_LOAD,14.420166,0.112658,"Disk -> RAM [Model: 9edec893, Layer: 05ff92e3]"
40607.536420,2000,9edec893-0a2f-496a-ab54-40af360ff932,worker_3,worker_3,MEM_MOVE,14.420166,0.112658,"RAM -> VRAM [Model: 9edec893, Layer: 05ff92e3]"
40607.586420,2000,9edec893-0a2f-496a-ab54-40af360ff932,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
40607.744420,2000,9edec893-0a2f-496a-ab54-40af360ff932,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
