VirtualTime_Sec,RequestID,ModelID,OriginNode,EndNode,Operation,Size_GB,Duration_Sec,Description
0.158000,10000,6c305005-d087-424f-b9e9-18319bae9885,client_10,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.316000,10000,6c305005-d087-424f-b9e9-18319bae9885,coordinator_0,client_10,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
39802.889209,10000,6c305005-d087-424f-b9e9-18319bae9885,client_10,coordinator_0,NET_TRANSFER,497.530290,39802.573209,Upload Model Weights
40620.720208,10000,6c305005-d087-424f-b9e9-18319bae9885,coordinator_0,worker_1,NET_TRANSFER,10.221012,817.830999,Distribute Layer ID: c717e57d
40620.800060,10000,6c305005-d087-424f-b9e9-18319bae9885,worker_1,worker_1,DISK_LOAD,10.221012,0.079852,"Disk -> RAM [Model: 6c305005, Layer: c717e57d]"
40620.879911,10000,6c305005-d087-424f-b9e9-18319bae9885,worker_1,worker_1,MEM_MOVE,10.221012,0.079852,"RAM -> VRAM [Model: 6c305005, Layer: c717e57d]"
40620.929911,10000,6c305005-d087-424f-b9e9-18319bae9885,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
40621.087911,10000,6c305005-d087-424f-b9e9-18319bae9885,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
41024.851799,10000,6c305005-d087-424f-b9e9-18319bae9885,coordinator_0,worker_2,NET_TRANSFER,5.045174,403.763887,Distribute Layer ID: 4baa75b6
41024.891214,10000,6c305005-d087-424f-b9e9-18319bae9885,worker_2,worker_2,DISK_LOAD,5.045174,0.039415,"Disk -> RAM [Model: 6c305005, Layer: 4baa75b6]"
41024.930629,10000,6c305005-d087-424f-b9e9-18319bae9885,worker_2,worker_2,MEM_MOVE,5.045174,0.039415,"RAM -> VRAM [Model: 6c305005, Layer: 4baa75b6]"
41024.980629,10000,6c305005-d087-424f-b9e9-18319bae9885,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
41025.138629,10000,6c305005-d087-424f-b9e9-18319bae9885,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
41511.721079,10000,6c305005-d087-424f-b9e9-18319bae9885,coordinator_0,worker_3,NET_TRANSFER,6.080406,486.582450,Distribute Layer ID: ea5752cf
41511.768582,10000,6c305005-d087-424f-b9e9-18319bae9885,worker_3,worker_3,DISK_LOAD,6.080406,0.047503,"Disk -> RAM [Model: 6c305005, Layer: ea5752cf]"
41511.816085,10000,6c305005-d087-424f-b9e9-18319bae9885,worker_3,worker_3,MEM_MOVE,6.080406,0.047503,"RAM -> VRAM [Model: 6c305005, Layer: ea5752cf]"
41511.866085,10000,6c305005-d087-424f-b9e9-18319bae9885,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
41512.024085,10000,6c305005-d087-424f-b9e9-18319bae9885,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
42211.099326,10000,6c305005-d087-424f-b9e9-18319bae9885,coordinator_0,worker_4,NET_TRANSFER,8.736566,699.075241,Distribute Layer ID: 60b15ec4
