VirtualTime_Sec,RequestID,ModelID,OriginNode,EndNode,Operation,Size_GB,Duration_Sec,Description
0.158000,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,client_10,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.316000,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,coordinator_0,client_10,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
32449.476290,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,client_10,coordinator_0,NET_TRANSFER,405.612629,32449.160290,Upload Model Weights
33608.050469,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,coordinator_0,worker_1,NET_TRANSFER,14.480302,1158.574179,Distribute Layer ID: 2ed63e26
33608.163596,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,worker_1,worker_1,DISK_LOAD,14.480302,0.113127,"Disk -> RAM [Model: c41626fd, Layer: 2ed63e26]"
33608.276724,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,worker_1,worker_1,MEM_MOVE,14.480302,0.113127,"RAM -> VRAM [Model: c41626fd, Layer: 2ed63e26]"
33608.434724,5000,cbb0b144-c112-4842-a889-a2a42947c32e,client_5,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
33608.484724,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
33608.642724,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
34657.595363,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,coordinator_0,worker_2,NET_TRANSFER,13.110033,1048.952639,Distribute Layer ID: 6622ddde
34657.697785,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,worker_2,worker_2,DISK_LOAD,13.110033,0.102422,"Disk -> RAM [Model: c41626fd, Layer: 6622ddde]"
34657.800207,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,worker_2,worker_2,MEM_MOVE,13.110033,0.102422,"RAM -> VRAM [Model: c41626fd, Layer: 6622ddde]"
34657.850207,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
34658.008207,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
35687.246090,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,coordinator_0,worker_3,NET_TRANSFER,12.863599,1029.237883,Distribute Layer ID: 7d06b5e5
35687.404090,7000,cbb0b144-c112-4842-a889-a2a42947c32e,client_7,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
35687.562090,6000,616a8efa-f205-4f19-b645-4f449cb7c1c0,client_6,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
35687.720090,3000,fadf60c2-61ea-4e48-babe-0524c8f04a9c,client_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
35687.878090,1000,eee15ff4-6874-4ba6-a1c5-0f5701e4678d,client_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
35688.036090,4000,2d1f57ce-bb1d-4668-b37a-cccb94571953,client_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
35688.194090,9000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,client_9,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
35688.294587,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,worker_3,worker_3,DISK_LOAD,12.863599,0.100497,"Disk -> RAM [Model: c41626fd, Layer: 7d06b5e5]"
35688.395084,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,worker_3,worker_3,MEM_MOVE,12.863599,0.100497,"RAM -> VRAM [Model: c41626fd, Layer: 7d06b5e5]"
35688.445084,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
35688.603084,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
36248.787933,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,coordinator_0,worker_4,NET_TRANSFER,7.000436,560.184849,Distribute Layer ID: 33bb5e4e
36248.842624,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,worker_4,worker_4,DISK_LOAD,7.000436,0.054691,"Disk -> RAM [Model: c41626fd, Layer: 33bb5e4e]"
36248.897314,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,worker_4,worker_4,MEM_MOVE,7.000436,0.054691,"RAM -> VRAM [Model: c41626fd, Layer: 33bb5e4e]"
36248.947314,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
36249.105314,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
36623.344433,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,coordinator_0,worker_1,NET_TRANSFER,4.676114,374.239119,Distribute Layer ID: f8824848
36623.380965,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,worker_1,worker_1,DISK_LOAD,4.676114,0.036532,"Disk -> RAM [Model: c41626fd, Layer: f8824848]"
36623.417498,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,worker_1,worker_1,MEM_MOVE,4.676114,0.036532,"RAM -> VRAM [Model: c41626fd, Layer: f8824848]"
36623.467498,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
36623.625498,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
37795.584203,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,coordinator_0,worker_2,NET_TRANSFER,14.647609,1171.958705,Distribute Layer ID: 892e41e1
37795.698637,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,worker_2,worker_2,DISK_LOAD,14.647609,0.114434,"Disk -> RAM [Model: c41626fd, Layer: 892e41e1]"
37795.813072,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,worker_2,worker_2,MEM_MOVE,14.647609,0.114434,"RAM -> VRAM [Model: c41626fd, Layer: 892e41e1]"
37795.863072,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
37796.021072,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
37796.179072,8000,fadf60c2-61ea-4e48-babe-0524c8f04a9c,client_8,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
38913.046556,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,coordinator_0,worker_3,NET_TRANSFER,13.958969,1116.867484,Distribute Layer ID: cbbb229a
38913.155610,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,worker_3,worker_3,DISK_LOAD,13.958969,0.109054,"Disk -> RAM [Model: c41626fd, Layer: cbbb229a]"
38913.264665,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,worker_3,worker_3,MEM_MOVE,13.958969,0.109054,"RAM -> VRAM [Model: c41626fd, Layer: cbbb229a]"
38913.314665,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
38913.472665,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
40069.825494,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,coordinator_0,worker_4,NET_TRANSFER,14.452535,1156.352829,Distribute Layer ID: b164a6c7
40069.938404,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,worker_4,worker_4,DISK_LOAD,14.452535,0.112910,"Disk -> RAM [Model: c41626fd, Layer: b164a6c7]"
40070.051315,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,worker_4,worker_4,MEM_MOVE,14.452535,0.112910,"RAM -> VRAM [Model: c41626fd, Layer: b164a6c7]"
40070.101315,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
40070.259315,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
41149.555051,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,coordinator_0,worker_1,NET_TRANSFER,13.489322,1079.295736,Distribute Layer ID: 11b81162
41149.660436,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,worker_1,worker_1,DISK_LOAD,13.489322,0.105385,"Disk -> RAM [Model: c41626fd, Layer: 11b81162]"
41149.765822,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,worker_1,worker_1,MEM_MOVE,13.489322,0.105385,"RAM -> VRAM [Model: c41626fd, Layer: 11b81162]"
41149.815822,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
41149.973822,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
41918.286343,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,coordinator_0,worker_2,NET_TRANSFER,9.602032,768.312521,Distribute Layer ID: 229d36cd
41918.361358,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,worker_2,worker_2,DISK_LOAD,9.602032,0.075016,"Disk -> RAM [Model: c41626fd, Layer: 229d36cd]"
41918.436374,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,worker_2,worker_2,MEM_MOVE,9.602032,0.075016,"RAM -> VRAM [Model: c41626fd, Layer: 229d36cd]"
41918.486374,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
41918.644374,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
42490.733290,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,coordinator_0,worker_3,NET_TRANSFER,7.149236,572.088915,Distribute Layer ID: 4eef0f8c
42490.789143,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,worker_3,worker_3,DISK_LOAD,7.149236,0.055853,"Disk -> RAM [Model: c41626fd, Layer: 4eef0f8c]"
42490.844996,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,worker_3,worker_3,MEM_MOVE,7.149236,0.055853,"RAM -> VRAM [Model: c41626fd, Layer: 4eef0f8c]"
42490.894996,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
42491.052996,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
43511.853764,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,coordinator_0,worker_4,NET_TRANSFER,12.758135,1020.800768,Distribute Layer ID: 1a854fbf
43511.953437,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,worker_4,worker_4,DISK_LOAD,12.758135,0.099673,"Disk -> RAM [Model: c41626fd, Layer: 1a854fbf]"
43512.053110,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,worker_4,worker_4,MEM_MOVE,12.758135,0.099673,"RAM -> VRAM [Model: c41626fd, Layer: 1a854fbf]"
43512.103110,10000,c41626fd-0bfa-4e18-bbd3-2ec4cb201917,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
