VirtualTime_Sec,RequestID,ModelID,OriginNode,EndNode,Operation,Size_GB,Duration_Sec,Description
0.158000,10000,6fe6fdd9-ce97-4444-808c-881d4ea1d46c,coordinator_0,client_10,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
0.316000,1000,9493cd86-97e6-425a-9d59-5924db5ddb6a,client_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.474000,1000,9493cd86-97e6-425a-9d59-5924db5ddb6a,coordinator_0,client_1,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
38353.919918,1000,9493cd86-97e6-425a-9d59-5924db5ddb6a,client_1,coordinator_0,NET_TRANSFER,479.416199,38353.445918,Upload Model Weights
38827.782473,1000,9493cd86-97e6-425a-9d59-5924db5ddb6a,coordinator_0,worker_1,NET_TRANSFER,5.921407,473.862555,Distribute Layer ID: f3f5ed64
38827.828734,1000,9493cd86-97e6-425a-9d59-5924db5ddb6a,worker_1,worker_1,DISK_LOAD,5.921407,0.046261,"Disk -> RAM [Model: 9493cd86, Layer: f3f5ed64]"
38827.874995,1000,9493cd86-97e6-425a-9d59-5924db5ddb6a,worker_1,worker_1,MEM_MOVE,5.921407,0.046261,"RAM -> VRAM [Model: 9493cd86, Layer: f3f5ed64]"
38827.924995,1000,9493cd86-97e6-425a-9d59-5924db5ddb6a,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
38828.082995,1000,9493cd86-97e6-425a-9d59-5924db5ddb6a,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
39669.567284,1000,9493cd86-97e6-425a-9d59-5924db5ddb6a,coordinator_0,worker_2,NET_TRANSFER,10.516679,841.484290,Distribute Layer ID: d490b7db
39669.649446,1000,9493cd86-97e6-425a-9d59-5924db5ddb6a,worker_2,worker_2,DISK_LOAD,10.516679,0.082162,"Disk -> RAM [Model: 9493cd86, Layer: d490b7db]"
39669.731607,1000,9493cd86-97e6-425a-9d59-5924db5ddb6a,worker_2,worker_2,MEM_MOVE,10.516679,0.082162,"RAM -> VRAM [Model: 9493cd86, Layer: d490b7db]"
39669.781607,1000,9493cd86-97e6-425a-9d59-5924db5ddb6a,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
39669.939607,1000,9493cd86-97e6-425a-9d59-5924db5ddb6a,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
40249.973562,1000,9493cd86-97e6-425a-9d59-5924db5ddb6a,coordinator_0,worker_3,NET_TRANSFER,7.248549,580.033955,Distribute Layer ID: 7672a4f2
40250.030191,1000,9493cd86-97e6-425a-9d59-5924db5ddb6a,worker_3,worker_3,DISK_LOAD,7.248549,0.056629,"Disk -> RAM [Model: 9493cd86, Layer: 7672a4f2]"
40250.086821,1000,9493cd86-97e6-425a-9d59-5924db5ddb6a,worker_3,worker_3,MEM_MOVE,7.248549,0.056629,"RAM -> VRAM [Model: 9493cd86, Layer: 7672a4f2]"
40250.136821,1000,9493cd86-97e6-425a-9d59-5924db5ddb6a,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
40250.294821,1000,9493cd86-97e6-425a-9d59-5924db5ddb6a,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
41312.975603,1000,9493cd86-97e6-425a-9d59-5924db5ddb6a,coordinator_0,worker_4,NET_TRANSFER,13.281635,1062.680782,Distribute Layer ID: 0a087b79
41313.079366,1000,9493cd86-97e6-425a-9d59-5924db5ddb6a,worker_4,worker_4,DISK_LOAD,13.281635,0.103763,"Disk -> RAM [Model: 9493cd86, Layer: 0a087b79]"
41313.183129,1000,9493cd86-97e6-425a-9d59-5924db5ddb6a,worker_4,worker_4,MEM_MOVE,13.281635,0.103763,"RAM -> VRAM [Model: 9493cd86, Layer: 0a087b79]"
41313.233129,1000,9493cd86-97e6-425a-9d59-5924db5ddb6a,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
41313.391129,1000,9493cd86-97e6-425a-9d59-5924db5ddb6a,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
42028.380563,1000,9493cd86-97e6-425a-9d59-5924db5ddb6a,coordinator_0,worker_1,NET_TRANSFER,8.935493,714.989435,Distribute Layer ID: df429104
42028.450372,1000,9493cd86-97e6-425a-9d59-5924db5ddb6a,worker_1,worker_1,DISK_LOAD,8.935493,0.069809,"Disk -> RAM [Model: 9493cd86, Layer: df429104]"
42028.520180,1000,9493cd86-97e6-425a-9d59-5924db5ddb6a,worker_1,worker_1,MEM_MOVE,8.935493,0.069809,"RAM -> VRAM [Model: 9493cd86, Layer: df429104]"
42028.570180,1000,9493cd86-97e6-425a-9d59-5924db5ddb6a,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
42028.728180,1000,9493cd86-97e6-425a-9d59-5924db5ddb6a,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
42886.471375,1000,9493cd86-97e6-425a-9d59-5924db5ddb6a,coordinator_0,worker_2,NET_TRANSFER,10.719915,857.743195,Distribute Layer ID: b3de48cd
42886.555125,1000,9493cd86-97e6-425a-9d59-5924db5ddb6a,worker_2,worker_2,DISK_LOAD,10.719915,0.083749,"Disk -> RAM [Model: 9493cd86, Layer: b3de48cd]"
42886.638874,1000,9493cd86-97e6-425a-9d59-5924db5ddb6a,worker_2,worker_2,MEM_MOVE,10.719915,0.083749,"RAM -> VRAM [Model: 9493cd86, Layer: b3de48cd]"
42886.688874,1000,9493cd86-97e6-425a-9d59-5924db5ddb6a,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
42886.846874,1000,9493cd86-97e6-425a-9d59-5924db5ddb6a,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
43428.355388,1000,9493cd86-97e6-425a-9d59-5924db5ddb6a,coordinator_0,worker_3,NET_TRANSFER,6.766981,541.508514,Distribute Layer ID: c275ef58
43428.408255,1000,9493cd86-97e6-425a-9d59-5924db5ddb6a,worker_3,worker_3,DISK_LOAD,6.766981,0.052867,"Disk -> RAM [Model: 9493cd86, Layer: c275ef58]"
43428.461122,1000,9493cd86-97e6-425a-9d59-5924db5ddb6a,worker_3,worker_3,MEM_MOVE,6.766981,0.052867,"RAM -> VRAM [Model: 9493cd86, Layer: c275ef58]"
43428.511122,1000,9493cd86-97e6-425a-9d59-5924db5ddb6a,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
43428.669122,1000,9493cd86-97e6-425a-9d59-5924db5ddb6a,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
43972.942992,1000,9493cd86-97e6-425a-9d59-5924db5ddb6a,coordinator_0,worker_4,NET_TRANSFER,6.801548,544.273870,Distribute Layer ID: 24987034
43972.996129,1000,9493cd86-97e6-425a-9d59-5924db5ddb6a,worker_4,worker_4,DISK_LOAD,6.801548,0.053137,"Disk -> RAM [Model: 9493cd86, Layer: 24987034]"
