VirtualTime_Sec,RequestID,ModelID,OriginNode,EndNode,Operation,Size_GB,Duration_Sec,Description
0.158000,10000,cdc5892e-be6e-409b-a561-49e0124be229,client_10,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.316000,10000,cdc5892e-be6e-409b-a561-49e0124be229,coordinator_0,client_10,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
45608.400948,10000,cdc5892e-be6e-409b-a561-49e0124be229,client_10,coordinator_0,NET_TRANSFER,570.099187,45608.084948,Upload Model Weights
45608.558948,2000,67bffa38-2ba6-4737-8e4e-e005ad8cdab6,client_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
46823.274979,10000,cdc5892e-be6e-409b-a561-49e0124be229,coordinator_0,worker_2,NET_TRANSFER,15.182075,1214.716030,Distribute Layer ID: 5ebe4b6b
46823.393589,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_2,worker_2,DISK_LOAD,15.182075,0.118610,"Disk -> RAM [Model: cdc5892e, Layer: 5ebe4b6b]"
46823.512199,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_2,worker_2,MEM_MOVE,15.182075,0.118610,"RAM -> VRAM [Model: cdc5892e, Layer: 5ebe4b6b]"
46823.562199,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
46823.720199,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
47484.182627,10000,cdc5892e-be6e-409b-a561-49e0124be229,coordinator_0,worker_3,NET_TRANSFER,8.253905,660.462428,Distribute Layer ID: 275975f5
47484.247111,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_3,worker_3,DISK_LOAD,8.253905,0.064484,"Disk -> RAM [Model: cdc5892e, Layer: 275975f5]"
47484.311594,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_3,worker_3,MEM_MOVE,8.253905,0.064484,"RAM -> VRAM [Model: cdc5892e, Layer: 275975f5]"
47484.361594,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
47484.519594,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
48617.065167,10000,cdc5892e-be6e-409b-a561-49e0124be229,coordinator_0,worker_4,NET_TRANSFER,14.154945,1132.545572,Distribute Layer ID: 9caba546
48617.175752,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_4,worker_4,DISK_LOAD,14.154945,0.110586,"Disk -> RAM [Model: cdc5892e, Layer: 9caba546]"
48617.286338,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_4,worker_4,MEM_MOVE,14.154945,0.110586,"RAM -> VRAM [Model: cdc5892e, Layer: 9caba546]"
48617.336338,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
48617.494338,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
49693.772069,10000,cdc5892e-be6e-409b-a561-49e0124be229,coordinator_0,worker_1,NET_TRANSFER,13.451597,1076.277731,Distribute Layer ID: c96990b5
49693.877159,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_1,worker_1,DISK_LOAD,13.451597,0.105091,"Disk -> RAM [Model: cdc5892e, Layer: c96990b5]"
49693.982250,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_1,worker_1,MEM_MOVE,13.451597,0.105091,"RAM -> VRAM [Model: cdc5892e, Layer: c96990b5]"
49694.032250,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
49694.190250,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
50145.594502,10000,cdc5892e-be6e-409b-a561-49e0124be229,coordinator_0,worker_2,NET_TRANSFER,5.640678,451.404252,Distribute Layer ID: 749670b5
50145.638570,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_2,worker_2,DISK_LOAD,5.640678,0.044068,"Disk -> RAM [Model: cdc5892e, Layer: 749670b5]"
50145.682638,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_2,worker_2,MEM_MOVE,5.640678,0.044068,"RAM -> VRAM [Model: cdc5892e, Layer: 749670b5]"
50145.732638,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
50145.890638,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
50146.048638,1000,6fa28571-1e0c-42eb-91c3-43df169ca5f9,client_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
50830.824281,10000,cdc5892e-be6e-409b-a561-49e0124be229,coordinator_0,worker_3,NET_TRANSFER,8.557821,684.775643,Distribute Layer ID: 6f6cef54
50830.891139,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_3,worker_3,DISK_LOAD,8.557821,0.066858,"Disk -> RAM [Model: cdc5892e, Layer: 6f6cef54]"
50830.957997,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_3,worker_3,MEM_MOVE,8.557821,0.066858,"RAM -> VRAM [Model: cdc5892e, Layer: 6f6cef54]"
50831.007997,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
50831.165997,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
51460.421031,10000,cdc5892e-be6e-409b-a561-49e0124be229,coordinator_0,worker_4,NET_TRANSFER,7.863813,629.255034,Distribute Layer ID: 31c42904
51460.482467,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_4,worker_4,DISK_LOAD,7.863813,0.061436,"Disk -> RAM [Model: cdc5892e, Layer: 31c42904]"
51460.543903,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_4,worker_4,MEM_MOVE,7.863813,0.061436,"RAM -> VRAM [Model: cdc5892e, Layer: 31c42904]"
51460.593903,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
51460.751903,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
52059.859275,10000,cdc5892e-be6e-409b-a561-49e0124be229,coordinator_0,worker_1,NET_TRANSFER,7.486967,599.107372,Distribute Layer ID: a9457502
52059.917767,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_1,worker_1,DISK_LOAD,7.486967,0.058492,"Disk -> RAM [Model: cdc5892e, Layer: a9457502]"
52059.976258,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_1,worker_1,MEM_MOVE,7.486967,0.058492,"RAM -> VRAM [Model: cdc5892e, Layer: a9457502]"
52060.026258,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
52060.184258,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
52060.342258,4000,a02387f1-9988-45e7-990c-95f1482cf853,client_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
52890.288470,10000,cdc5892e-be6e-409b-a561-49e0124be229,coordinator_0,worker_2,NET_TRANSFER,10.372453,829.946211,Distribute Layer ID: dfcd1e37
52890.369504,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_2,worker_2,DISK_LOAD,10.372453,0.081035,"Disk -> RAM [Model: cdc5892e, Layer: dfcd1e37]"
52890.450539,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_2,worker_2,MEM_MOVE,10.372453,0.081035,"RAM -> VRAM [Model: cdc5892e, Layer: dfcd1e37]"
52890.500539,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
52890.658539,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
53684.656728,10000,cdc5892e-be6e-409b-a561-49e0124be229,coordinator_0,worker_3,NET_TRANSFER,9.923102,793.998189,Distribute Layer ID: 93f53e64
53684.734252,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_3,worker_3,DISK_LOAD,9.923102,0.077524,"Disk -> RAM [Model: cdc5892e, Layer: 93f53e64]"
53684.811776,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_3,worker_3,MEM_MOVE,9.923102,0.077524,"RAM -> VRAM [Model: cdc5892e, Layer: 93f53e64]"
53684.861776,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
53685.019776,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
54294.639373,10000,cdc5892e-be6e-409b-a561-49e0124be229,coordinator_0,worker_4,NET_TRANSFER,7.618370,609.619597,Distribute Layer ID: 2c3c3b0b
54294.698892,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_4,worker_4,DISK_LOAD,7.618370,0.059519,"Disk -> RAM [Model: cdc5892e, Layer: 2c3c3b0b]"
54294.758410,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_4,worker_4,MEM_MOVE,7.618370,0.059519,"RAM -> VRAM [Model: cdc5892e, Layer: 2c3c3b0b]"
54294.808410,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
54294.966410,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
54295.124410,3000,524d1a2e-e85d-4959-8df9-6484d79e9dec,client_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
54722.822846,10000,cdc5892e-be6e-409b-a561-49e0124be229,coordinator_0,worker_1,NET_TRANSFER,5.344355,427.698436,Distribute Layer ID: 7425b70c
54722.864599,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_1,worker_1,DISK_LOAD,5.344355,0.041753,"Disk -> RAM [Model: cdc5892e, Layer: 7425b70c]"
54722.906351,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_1,worker_1,MEM_MOVE,5.344355,0.041753,"RAM -> VRAM [Model: cdc5892e, Layer: 7425b70c]"
54722.956351,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
54723.114351,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
55301.448557,10000,cdc5892e-be6e-409b-a561-49e0124be229,coordinator_0,worker_2,NET_TRANSFER,7.227303,578.334205,Distribute Layer ID: 67fefa28
55301.505020,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_2,worker_2,DISK_LOAD,7.227303,0.056463,"Disk -> RAM [Model: cdc5892e, Layer: 67fefa28]"
55301.561483,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_2,worker_2,MEM_MOVE,7.227303,0.056463,"RAM -> VRAM [Model: cdc5892e, Layer: 67fefa28]"
55301.611483,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
55301.769483,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
56328.104811,10000,cdc5892e-be6e-409b-a561-49e0124be229,coordinator_0,worker_3,NET_TRANSFER,12.827317,1026.335328,Distribute Layer ID: 4bbb576c
56328.205024,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_3,worker_3,DISK_LOAD,12.827317,0.100213,"Disk -> RAM [Model: cdc5892e, Layer: 4bbb576c]"
56328.305238,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_3,worker_3,MEM_MOVE,12.827317,0.100213,"RAM -> VRAM [Model: cdc5892e, Layer: 4bbb576c]"
56328.355238,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
56328.513238,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
57317.041842,10000,cdc5892e-be6e-409b-a561-49e0124be229,coordinator_0,worker_4,NET_TRANSFER,12.354733,988.528604,Distribute Layer ID: 70ba7df7
57317.138363,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_4,worker_4,DISK_LOAD,12.354733,0.096521,"Disk -> RAM [Model: cdc5892e, Layer: 70ba7df7]"
57317.234884,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_4,worker_4,MEM_MOVE,12.354733,0.096521,"RAM -> VRAM [Model: cdc5892e, Layer: 70ba7df7]"
57317.284884,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_4,worker_4,GPU_COMPUTE,0.050000,0.050000,GPU Compute
57317.442884,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_4,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
58410.389600,10000,cdc5892e-be6e-409b-a561-49e0124be229,coordinator_0,worker_1,NET_TRANSFER,13.659959,1092.946715,Distribute Layer ID: 183ce9aa
58410.496318,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_1,worker_1,DISK_LOAD,13.659959,0.106718,"Disk -> RAM [Model: cdc5892e, Layer: 183ce9aa]"
58410.603036,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_1,worker_1,MEM_MOVE,13.659959,0.106718,"RAM -> VRAM [Model: cdc5892e, Layer: 183ce9aa]"
58410.653036,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
58410.811036,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
59105.614998,10000,cdc5892e-be6e-409b-a561-49e0124be229,coordinator_0,worker_2,NET_TRANSFER,8.683175,694.803961,Distribute Layer ID: 6feff3aa
59105.682835,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_2,worker_2,DISK_LOAD,8.683175,0.067837,"Disk -> RAM [Model: cdc5892e, Layer: 6feff3aa]"
59105.750673,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_2,worker_2,MEM_MOVE,8.683175,0.067837,"RAM -> VRAM [Model: cdc5892e, Layer: 6feff3aa]"
59105.800673,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
59105.958673,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
59982.231890,10000,cdc5892e-be6e-409b-a561-49e0124be229,coordinator_0,worker_3,NET_TRANSFER,10.951540,876.273217,Distribute Layer ID: 9f772182
59982.389890,8000,65b497bd-36b6-48b4-a7f9-7436561e1e7a,client_8,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
59982.475449,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_3,worker_3,DISK_LOAD,10.951540,0.085559,"Disk -> RAM [Model: cdc5892e, Layer: 9f772182]"
59982.561008,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_3,worker_3,MEM_MOVE,10.951540,0.085559,"RAM -> VRAM [Model: cdc5892e, Layer: 9f772182]"
59982.611008,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_3,worker_3,GPU_COMPUTE,0.050000,0.050000,GPU Compute
59982.769008,10000,cdc5892e-be6e-409b-a561-49e0124be229,worker_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
61057.033393,10000,cdc5892e-be6e-409b-a561-49e0124be229,coordinator_0,worker_4,NET_TRANSFER,13.426430,1074.264385,Distribute Layer ID: 1a0123b0
