VirtualTime_Sec,RequestID,ModelID,OriginNode,EndNode,Operation,Size_GB,Duration_Sec,Description
0.158000,8000,b2258c25-2d41-4cb3-b175-881398024e5e,client_8,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.316000,10000,e0d7ad33-036d-4072-bd28-a207e5fe0b57,client_10,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.474000,10000,e0d7ad33-036d-4072-bd28-a207e5fe0b57,coordinator_0,client_10,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
30694.358021,10000,e0d7ad33-036d-4072-bd28-a207e5fe0b57,client_10,coordinator_0,NET_TRANSFER,383.671675,30693.884021,Upload Model Weights
31744.887144,10000,e0d7ad33-036d-4072-bd28-a207e5fe0b57,coordinator_0,worker_1,NET_TRANSFER,13.129739,1050.529124,Distribute Layer ID: 49388e03
31744.989721,10000,e0d7ad33-036d-4072-bd28-a207e5fe0b57,worker_1,worker_1,DISK_LOAD,13.129739,0.102576,"Disk -> RAM [Model: e0d7ad33, Layer: 49388e03]"
31745.092297,10000,e0d7ad33-036d-4072-bd28-a207e5fe0b57,worker_1,worker_1,MEM_MOVE,13.129739,0.102576,"RAM -> VRAM [Model: e0d7ad33, Layer: 49388e03]"
31745.142297,10000,e0d7ad33-036d-4072-bd28-a207e5fe0b57,worker_1,worker_1,GPU_COMPUTE,0.050000,0.050000,GPU Compute
31745.300297,10000,e0d7ad33-036d-4072-bd28-a207e5fe0b57,worker_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
32632.526809,10000,e0d7ad33-036d-4072-bd28-a207e5fe0b57,coordinator_0,worker_2,NET_TRANSFER,11.088456,887.226512,Distribute Layer ID: 3b28af36
32632.613437,10000,e0d7ad33-036d-4072-bd28-a207e5fe0b57,worker_2,worker_2,DISK_LOAD,11.088456,0.086629,"Disk -> RAM [Model: e0d7ad33, Layer: 3b28af36]"
32632.700066,10000,e0d7ad33-036d-4072-bd28-a207e5fe0b57,worker_2,worker_2,MEM_MOVE,11.088456,0.086629,"RAM -> VRAM [Model: e0d7ad33, Layer: 3b28af36]"
32632.750066,10000,e0d7ad33-036d-4072-bd28-a207e5fe0b57,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
32632.908066,10000,e0d7ad33-036d-4072-bd28-a207e5fe0b57,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
33573.309442,10000,e0d7ad33-036d-4072-bd28-a207e5fe0b57,coordinator_0,worker_3,NET_TRANSFER,11.753142,940.401376,Distribute Layer ID: 01a9cb1b
33573.401264,10000,e0d7ad33-036d-4072-bd28-a207e5fe0b57,worker_3,worker_3,DISK_LOAD,11.753142,0.091821,"Disk -> RAM [Model: e0d7ad33, Layer: 01a9cb1b]"
33573.493085,10000,e0d7ad33-036d-4072-bd28-a207e5fe0b57,worker_3,worker_3,MEM_MOVE,11.753142,0.091821,"RAM -> VRAM [Model: e0d7ad33, Layer: 01a9cb1b]"
