VirtualTime_Sec,RequestID,ModelID,OriginNode,EndNode,Operation,Size_GB,Duration_Sec,Description
0.158000,10000,6cbf1d5f-61b1-485f-9f8a-6958e72f14d2,client_10,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.316000,6000,e15fd538-397b-4cee-9869-ab975772a6c2,client_6,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.474000,10001,6cbf1d5f-61b1-485f-9f8a-6958e72f14d2,client_10,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.632000,1000,2dccf6bf-d383-4f51-b848-18b2e7305fac,client_1,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.790000,3000,0020a8c0-fd05-46df-8f86-0ad1cbdc6340,client_3,coordinator_0,NET_TRANSFER,0.000100,0.158000,Request Model ID
0.948000,10001,6cbf1d5f-61b1-485f-9f8a-6958e72f14d2,coordinator_0,client_10,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
1.106000,1000,2dccf6bf-d383-4f51-b848-18b2e7305fac,coordinator_0,client_1,NET_TRANSFER,0.000100,0.158000,Signal: Cache Miss / Request Weights
47013.579591,1000,2dccf6bf-d383-4f51-b848-18b2e7305fac,client_1,coordinator_0,NET_TRANSFER,587.654045,47012.473591,Upload Model Weights
47466.657071,1000,2dccf6bf-d383-4f51-b848-18b2e7305fac,coordinator_0,worker_2,NET_TRANSFER,5.661594,453.077480,Distribute Layer ID: 4b1a1b1e
47466.701303,1000,2dccf6bf-d383-4f51-b848-18b2e7305fac,worker_2,worker_2,DISK_LOAD,5.661594,0.044231,"Disk -> RAM [Model: 2dccf6bf, Layer: 4b1a1b1e]"
47466.745534,1000,2dccf6bf-d383-4f51-b848-18b2e7305fac,worker_2,worker_2,MEM_MOVE,5.661594,0.044231,"RAM -> VRAM [Model: 2dccf6bf, Layer: 4b1a1b1e]"
47466.795534,1000,2dccf6bf-d383-4f51-b848-18b2e7305fac,worker_2,worker_2,GPU_COMPUTE,0.050000,0.050000,GPU Compute
47466.953534,1000,2dccf6bf-d383-4f51-b848-18b2e7305fac,worker_2,coordinator_0,NET_TRANSFER,0.000100,0.158000,Signal Finished
48243.281503,1000,2dccf6bf-d383-4f51-b848-18b2e7305fac,coordinator_0,worker_3,NET_TRANSFER,9.702225,776.327969,Distribute Layer ID: 7457c31d
